ConversationID, SenderRole, RecieverRole, MessagePosition, PreviousRelation, Message, IsManipulative, ManipulationType, SentimentScore, ResponseType, PowerImbalance, SourceType, HasVictim
3102,8,4,1,2,This never happened; you're imagining it,1,1,0.75,4,1,3,1
3290,4,3,2,3,I never said that; you're making things up,1,2,-0.67,6,1,2,0
4952,4,0,6,2,You're overthinking this; you always do this,1,3,0.16,4,0,3,1
1999,4,7,9,4,If you didn't do that; this wouldn't be a problem,1,4,-0.59,4,1,3,0
1086,11,4,6,5,Why are you bringing up things that don't matter?,1,5,0.42,7,1,2,1
1432,3,7,8,3,You're just being sensitive again.,1,3,0.81,6,1,1,0
4504,11,7,2,4,I have no idea what you're talking about.,1,1,-0.78,7,0,3,0
1405,11,7,1,2,Stop twisting my words; you're making things up.,1,2,-0.33,4,1,2,0
3696,0,0,7,3,You're stressing over nothing; just relax.,1,3,0.46,4,1,1,1
4014,8,4,2,5,You're always trying to start an argument.,1,4,-0.76,4,0,1,0
1113,11,0,5,3,No one else understands you like I do.,1,5,-0.12,6,0,1,1
4889,4,0,2,2,You always blame me for everything.,1,4,0.52,5,0,3,1
2002,11,4,5,3,I never meant it that way; you're just taking it wrong.,1,2,0.33,	4,0,3,1
2282,0,0,2,5,You're remembering it all wrong.,1,1,-0.48,4,0,1,1
3120,11,7,7,3,Why do you always assume the worst?,1,5,-0.14,7,1,1,1
2322,0,4,7,4,You're being dramatic again.,1,3,-0.26,4,0,2,0
2171,3,7,5,4,If you trusted me; you wouldn't question me.,1,4,-0.54,5,0,1,1
2977,8,4,1,5,I wouldn't lie to you; you must be confused.,1,1,-0.27,6,1,3,1
2934,0,4,2,3,Stop overreacting; it's not a big deal.,1,3,-0.46,6,0,5,0
2616,4,4,10,4,You should be grateful for what I do for you.,1,4,-0.53,4,0,3,0
