type,sentence
0,"I feel distant lately"
0,"I feel like there’s an ever-growing chasm between us."
0,"We’ve been off lately"
0,"I feel so utterly alone in this distance."
0,"This just doesn’t feel like a safe space anymore."
0,"I’m not sure I can keep pretending everything’s fine."
0,"We’ve been so disconnected from each other recently."
0,"Something feels broken"
0,"It’s really frustrating that we can’t seem to be on the same page anymore."
0,"I wish I knew how to make this better."
0,"I’m not sure I trust myself to talk right now."
0,"This just doesn’t feel like a safe space to share my thoughts."
0,"The energy between us has changed."
0,"I am furious that I can no longer find comfort here."
0,"I can feel something is wrong"
0,"I’m struggling to connect"
0,"I’m not sure I can keep pretending everything’s fine with my heart heavy."
0,"Maybe we’ve just grown apart."
0,"I’m beyond angry that I have to keep wearing this mask."
0,"We keep circling the same problems without progress."
0,"I don’t feel heard"
0,"Something feels irreparably broken inside of me."
0,"I need time to think before we keep talking."
0,"I wish someone would understand how deeply this hurts."
0,"There’s a tension I can’t seem to shake."
0,"I want to talk"
0,"I wish I knew how to make this better for both of us."
0,"It’s not that I don’t care — I’m just tired."
0,"Please, I just need someone to guide me through this mess."
0,"I wish we could communicate better."
0,"We’ve been so disconnected lately."
0,"I’m not sure I trust myself to talk right now with all these swirling emotions."
0,"I’ve been holding things in and now it’s too much."
0,"I don’t understand how you expect me to speak when I'm feeling this way!"
0,"Even silence between us feels loud."
0,"I want to fix this"
0,"The energy between us feels so wrong lately."
0,"Sometimes I just want to run away from everything."
0,"It’s infuriating to see how everything has shifted so dramatically!"
0,"I don’t know what version of us we’re trying to be."
0,"This doesn’t feel like home anymore."
0,"I can feel that something is deeply wrong, and it gnaws at my soul."
0,"I don’t really know how to feel about what just happened."
0,"I’m lost and uncertain about how to process what just unfolded."
0,"I’m trying my best not to let anger take over."
0,"This is so painful for me to articulate."
0,"I’m not angry"
0,"I just want to be left alone for a while."
0,"Can we please discuss this once the chaos settles?"
0,"This isn’t easy for me to talk about."
0,"Lately, I'm drowning in overwhelming feelings."
0,"We never intended for things to spiral out of control like this."
0,"I just need a bit of space right now."
0,"Let’s take a moment to breathe and regain our composure."
0,"Can we talk about this when things calm down?"
0,"It feels like we’re constantly out of sync emotionally."
0,"Deep down, I understand we’re both making an effort."
0,"I’m feeling really overwhelmed lately."
0,"I'm in a fog of confusion—I'm not blaming you."
0,"This exchange is starting to suck the energy out of me."
0,"I don’t think either of us meant for it to get this far."
0,"I’m at a loss for how to mend this situation."
0,"It seems like we’re just not hearing one another at all."
0,"Let’s just pause for a second."
0,"I’m struggling to find the right words to express this."
0,"We continually find ourselves on opposing sides once more."
0,"It feels like we keep missing each other emotionally."
0,"I’m not accusing you of anything wrong—something just feels off."
0,"We’re both overwhelmed with so many responsibilities right now."
0,"I know we’re both trying in our own ways."
0,"I have no intention of putting blame on your shoulders."
0,"This back-and-forth has been challenging for both of us."
0,"I'm just confused — not pointing fingers."
0,"I can’t stand how this pattern keeps repeating between us."
0,"When we speak, I can’t shake the feeling that something is lacking."
0,"This conversation is starting to drain me."
0,"This situation isn't unfolding the way I envisioned it would."
0,"I think we really need to take a step back and reassess where we are."
0,"I’m not sure how to fix this"
0,"It often feels like we’re tiptoeing around sensitive issues."
0,"It doesn’t feel like we’re hearing each other."
0,"---"
0,"I don’t have the right words for this yet."
0,"I'm uncertain about how to feel after what just occurred."
0,"I'm trying hard not to be angry."
0,"This is really tough for me to open up about."
0,"We seem to be on different pages again."
0,"I need some distance right now, please."
