type,sentence
0,"I’ve been sitting with a lot of thoughts I haven’t shared."
0,"I've been sitting with so many thoughts that I feel I can't share, and it weighs heavily on me."
0,"We’ve let too many things go unspoken."
0,"We've allowed far too many things to go unspoken, and it feels like a silent burden."
0,"There’s a gap growing between us that we keep ignoring."
0,"There’s a growing gap between us that we choose to ignore, and it pains me to see it."
0,"I feel like you don’t really see me anymore."
0,"I feel like you don’t really see me anymore, and that feeling is crushing my heart."
0,"This isn’t about blame — it’s about clarity."
0,"This isn’t about blame; it's about seeking the clarity we so desperately need."
0,"It’s hard to keep trying when I don’t feel acknowledged."
0,"It’s hard to keep trying when I don’t feel acknowledged; it drains my spirit."
0,"We need to get real with each other."
0,"We need to get real with each other before it’s too late."
0,"I feel like I’m emotionally starving in this relationship."
0,"I feel like I’m emotionally starving in this relationship, and it’s heartbreaking."
0,"This dynamic is draining"
0,"This dynamic is so draining; I don’t know how much longer I can bear it."
0,"We’ve stopped making each other a priority."
0,"We’ve stopped prioritizing each other, and that makes me feel unimportant."
0,"I want to understand you better"
0,"I want to understand you better, but it feels like a distant dream."
0,"It’s painful watching us disconnect more each day."
0,"It’s painful to watch us disconnect more each day; I feel helpless."
0,"I don’t want to keep pretending we’re okay when we’re not."
0,"I don’t want to keep pretending we’re okay when we’re clearly not okay."
0,"Our communication is broken — we need to rebuild it."
0,"Our communication is broken, and it feels impossible to rebuild what we’ve lost."
0,"You shut down when I try to talk"
0,"You shut down every time I try to talk, and it leaves me feeling isolated."
0,"I’m tired of walking away from every talk feeling unheard."
0,"I’m exhausted from walking away from every conversation feeling unheard and invisible."
0,"We’ve been avoiding this for too long."
0,"We’ve been avoiding this for far too long, and it’s tearing us apart."
0,"You seem checked out"
0,"You seem so checked out, and it breaks my heart to witness."
0,"It feels like you’re always elsewhere"
0,"It feels like you’re always elsewhere, leaving me feeling abandoned."
0,"I’m not sure we even want the same things anymore."
0,"I’m not sure we even want the same things anymore, and that thought terrifies me."
0,"We need to reconnect before it’s too late."
0,"We need to reconnect before it’s too late; I can’t bear the thought of losing you."
0,"You seem like a stranger to me sometimes."
0,"You sometimes feel like a stranger to me, and I long for the familiarity we once had."
0,"I’m carrying a weight I shouldn’t have to carry alone."
0,"I’m carrying a weight I shouldn’t have to bear alone, and it’s overwhelming."
0,"I just want us to try — really try."
0,"I just want us to try — truly try — to salvage what we once had."
0,"This isn’t what I pictured when we started this."
0,"This isn’t what I envisioned for us when we started this journey together, and it hurts to see how far we’ve drifted."
0,"You never ask how I am anymore."
0,"You never ask how I am anymore."
0,"We’ve lost something important and I don’t know if we can get it back."
0,"Your silence feels like a void, and it’s tearing me apart."
0,"It frustrates me that you don’t seem to care about how I feel anymore!"
0,"Even when I reach out"
0,"We’ve lost something important and I don’t know if we can get it back."
0,"There’s no partnership left — just routine."
0,"I feel like we’ve let something precious slip away, and it hurts to think we might never reclaim it."
0,"It angers me that I fear we’ve lost our connection for good!"
0,"I feel stuck in a loop with no exit."
0,"Even when I reach out."
0,"We need to stop brushing everything aside."
0,"Every time I try to connect, it feels like my hand is met with emptiness."
0,"It pains me that my efforts seem to go unnoticed and unreturned!"
0,"I want to be able to be honest without fear."
0,"There’s no partnership left — just routine."
0,"You don’t open up anymore"
0,"What once felt like a beautiful dance has turned into a monotonous shuffle."
0,"It frustrates me that our love has been reduced to mere tasks!"
0,"I feel like I’ve been fighting for both of us."
0,"I feel stuck in a loop with no exit."
0,"You’re physically here"
0,"Each day feels like a repeat of the last, suffocating and unchanging."
0,"I’m heartbroken that I can’t find a way out of this cycle!"
0,"There’s a disconnect I can’t bridge alone."
0,"We need to stop brushing everything aside."
0,"I want intimacy"
0,"Ignoring the real issues is only digging us deeper into a hole."
0,"It frustrates me that we’re avoiding what truly matters!"
0,"Our conversations used to feel safe. Now they feel strategic."
0,"I want to be able to be honest without fear."
0,"We tiptoe around each other like strangers."
0,"I crave the freedom to share my thoughts without the worry of rejection."
0,"It pains me that vulnerability feels like a risk instead of a safe space!"
0,"I don’t want to lose us"
0,"You don’t open up anymore."
0,"I keep hoping for a sign that we still matter to each other."
0,"Your walls seem to have fortified, and I can’t get through."
0,"It angers me that you’ve closed off when I long for your heart!"
0,"When did we stop checking in on each other’s hearts?"
0,"I feel like I’ve been fighting for both of us."
0,"It’s not about winning — it’s about being seen."
0,"I’m exhausted from carrying the weight of our relationship on my back."
0,"It frustrates me to feel like I’m the only one trying!"
0,"You don’t react anymore"
0,"You’re physically here."
0,"I need more than silence and nods."
0,"Being near you isn’t enough when the emotional connection is lacking."
