type,sentence
0,"Let’s revisit this when things feel more settled."
0,"Let’s revisit this when things feel more settled."
0,"You’re not expected to do anything right now."
0,"I feel a bit sad that we can’t address this now when emotions are high."
0,"Whatever you choose"
0,"I’m not here to influence you"
0,"Let’s revisit this when things feel more settled."
0,"If you’re unsure"
0,"I’m frustrated that we have to put a pause on important conversations."
0,"There’s no right or wrong way to feel right now."
0,"Let’s just take this moment by moment."
0,"You’re not expected to do anything right now."
0,"I’m not trying to sway you either way."
0,"It’s reassuring to hear that I can just be for now without any expectations."
0,"We both deserve to feel heard and safe."
0,"No pressure — just openness."
0,"You’re not expected to do anything right now."
0,"I’m not assuming anything from you."
0,"I feel a bit upset knowing that you think I need to be doing something right away."
0,"Your input matters just as much as mine."
0,"I’d like to understand your thoughts better."
0,"Whatever you choose."
0,"This isn’t about what I want — it’s about what we both want."
0,"I’m scared that your choice could lead to more misunderstandings between us."
0,"There’s room for both of us to process this at our own pace."
0,"Let’s not rush to act before we’re ready."
0,"Whatever you choose."
0,"What do you need right now?"
0,"It angers me that my feelings are so dependent on the choices we make."
0,"I’m not here to make demands."
0,"We can talk about this later if you’d prefer."
0,"I’m not here to influence you."
0,"It’s okay to say no."
0,"It makes me feel sad that you think I’d manipulate your decisions."
0,"You don’t owe me anything."
0,"I just want this to feel good for both of us."
0,"If you’re unsure."
0,"There’s no need to decide anything tonight."
0,"I hope you know it’s okay to feel lost and uncertain right now."
0,"Whatever happens"
0,"Let’s figure this out without pressure or expectations."
0,"There’s no right or wrong way to feel right now."
0,"I’m still deciding what feels right for me."
0,"I'm still trying to navigate what feels right for me, and it's tough."
0,"We should both have a say in what happens next."
0,"I'm really torn, just trying to find the right path for myself amidst all this."
0,"Let’s talk about what works for both of us."
0,"We both deserve a voice in where we go from here; it's crucial."
0,"I don’t want to rush into anything without understanding it fully."
0,"It's essential that we both get to express what we want for our future."
0,"What are your thoughts on how to move forward?"
0,"Let's explore what can work for both of us in this situation."
0,"I just want an honest conversation"
0,"I'm hoping we can come together and find a solution that respects us both."
0,"We’re both allowed to take our time with this."
0,"I genuinely need us to have an honest conversation about this."
0,"I’m not asking for anything — just trying to share how I feel."
0,"All I want is transparency and openness as we discuss this together."
0,"There’s no pressure to decide right now."
0,"I believe we both should take our sweet time with this; it's important."
0,"I’d rather hear how you feel than assume anything."
0,"We're allowed the space to deliberate and reach a decision at our own pace."
0,"Let’s slow down and figure this out together."
0,"I’m not asking for much; I just want to share my feelings without pressure."
0,"It’s okay if you need space to think."
0,"It’s not about demands; it’s about expressing what’s on my mind."
0,"I respect your boundaries and want to honor them."
0,"There’s absolutely no urgency to make a decision right now; let's breathe."
0,"Take your time — I’m not in a rush."
0,"Take your time; I’m here whenever you feel ready to talk about this."
0,"I'm not trying to push you"
0,"I’d prefer to know how you're feeling instead of making assumptions."
0,"Let me know what feels right for you."
0,"Hearing your thoughts means more to me than jumping to conclusions."
0,"There’s no deadline — we’ll talk when you’re ready."
0,"Let’s take a step back and unravel this together without haste."
0,"It’s important that this decision is mutual."
0,"Slowing down to figure this out together seems like a good idea."
0,"Let’s check in again when we’re both feeling clearer."
0,"If you need time alone to think, that’s completely okay with me."
0,"We can explore options when the time is right."
0,"It’s perfectly fine if you require some space to gather your thoughts."
0,"There’s no obligation — just a conversation."
0,"I’m here to respect your boundaries because they matter."
0,"Your comfort level matters to me."
0,"I truly want to honor and adhere to the limits you’ve set."
0,"This isn’t a request"
0,"There's no rush; take your time, please."
0,"We don’t need to decide anything today."
0,"I'm not hurrying you; I want you to feel comfortable."
0,"I want to make sure you’re okay with this too."
0,"I’m not trying to push you into anything; I promise."
0,"I want to hear your perspective when you're ready."
0,"I really would love to hear your thoughts when you feel ready to share."
0,"I'm just hoping we can take this one step at a time."
0,"We can take things one step at a time."
0,"This situation isn’t about picking sides—it's about finding common ground."
0,"You don’t need to feel rushed to respond; take your time."
0,"This isn’t about choosing sides — it’s about understanding."
0,"Whatever choice you decide to make, I’ll respect it."
0,"I’m not asking for anything in return—I just felt the need to express myself."
0,"You don’t have to respond right away."
0,"It’s completely fine if your feelings differ from mine."
0,"We each deserve the space to process this in our own unique ways."
