type,sentence
0,"Let’s explore what’s really going on underneath this."
0,"Let’s explore what’s really going on underneath this; it pains me to think there might be deeper issues that you're wrestling with."
0,"It’s okay to feel upset. I’m not here to question that."
0,"It’s okay to feel upset. I’m not here to question that; it breaks my heart to see you struggle with these emotions."
0,"You deserve to feel safe expressing this."
0,"You deserve to feel safe expressing this; it troubles me to think you might have felt unsafe sharing."
0,"I didn’t know this was bothering you so deeply."
0,"I didn’t know this was bothering you so deeply; it fills me with sadness to realize how much you've been carrying alone."
0,"We don’t have to solve it — just talk about it."
0,"We don’t have to solve it — just talk about it; I feel your pain and just want to be here for you."
0,"You’re allowed to grieve"
0,"You’re allowed to grieve; it hurts to watch you wrestle with such heavy emotions."
0,"Your feelings don’t need to be justified to anyone."
0,"Your feelings don’t need to be justified to anyone; it stings to think you might feel pressured to explain your pain."
0,"Let’s sit with your experience for a moment."
0,"Let’s sit with your experience for a moment; I want to acknowledge the weight of what you're going through."
0,"You’re not overreacting — I see you."
0,"You’re not overreacting — I see you; it makes me ache to think you've felt dismissed."
0,"This has clearly been weighing on you."
0,"This has clearly been weighing on you; I feel a sense of sorrow knowing this has been a burden."
0,"Tell me more about how that felt in the moment."
0,"Tell me more about how that felt in the moment; I truly want to understand the depth of your experience."
0,"I want to get better at listening to you."
0,"I want to get better at listening to you; my heart aches to know I might have fallen short before."
0,"This isn’t about right or wrong — it’s about how you felt."
0,"This isn’t about right or wrong — it’s about how you felt; your feelings matter and deserve respect."
0,"I want to acknowledge what this has done to you."
0,"I want to acknowledge what this has done to you; I feel a deep sense of compassion for the impact it’s had on your life."
0,"I can tell this isn’t easy for you."
0,"I can tell this isn’t easy for you; it pains me to see you struggle to open up."
0,"We don’t need to minimize this just to move on."
0,"We don’t need to minimize this just to move on; I feel it's important to truly sit with the heaviness of your emotions."
0,"What you felt is important to me."
0,"What you felt is important to me; it fills me with sorrow to think that you might not have felt that way before."
0,"You’re allowed to need support without explanation."
0,"You’re allowed to need support without explanation; it saddens me to think you might feel you have to justify your needs."
0,"There’s no shame in feeling this way."
0,"There’s no shame in feeling this way; I wish you could see how normal it is to struggle without carrying that guilt."
0,"This clearly mattered to you — and that matters to me."
0,"This clearly mattered to you — and that matters to me; it hurts to realize how much pain you’ve felt over this."
0,"You’re not being dramatic. You’re being real."
0,"You’re not being dramatic. You’re being real; I genuinely want you to know that your authenticity is valued."
0,"Even if I can’t relate"
0,"Even if I can’t relate; it weighs heavily on me to think my inability to understand may add to your pain."
0,"You’ve been through a lot"
0,"You’ve been through a lot; it troubles me to see the scars you carry from your experiences."
0,"You’re not wrong for feeling the way you do."
0,"You’re not wrong for feeling the way you do; I feel a wave of sadness thinking of the unfairness in your emotions."
0,"Let’s take this seriously — your voice deserves that."
0,"Let’s take this seriously — your voice deserves that; I genuinely want to honor and validate your feelings."
0,"I’ve been trying to understand what you’re going through."
0,"I’ve been trying to understand what you’re going through."
0,"It breaks my heart to see you struggling; I genuinely want to support you through this."
0,"That must have been difficult — tell me more."
0,"That must have been difficult — tell me more."
0,"It must have been really hard on you; I’m here to listen if you want to share."
0,"I didn’t realize it affected you like that."
0,"I didn’t realize it affected you like that."
0,"I didn’t know how deeply this impacted you; it hurts to realize now."
0,"I want to make space for your feelings."
0,"I want to make space for your feelings."
0,"Your emotions deserve to be acknowledged; I want you to feel safe expressing them."
0,"Let’s slow down and talk through how you felt."
0,"Let’s slow down and talk through how you felt."
0,"I can see this is weighing on you; I want to take the time to understand together."
0,"You’re allowed to feel how you feel."
0,"You’re allowed to feel how you feel."
0,"Your feelings are important; I never want to diminish what you’re experiencing."
0,"I’m listening"
0,"I’m listening"
0,"I truly want to understand your pain; please share what’s on your mind."
0,"Thank you for being honest with me."
0,"Thank you for being honest with me."
0,"Your honesty means so much; it’s hard to face, but I appreciate your courage."
0,"I hear you"
0,"I hear you"
0,"I’m here for you, and I’m truly attempting to understand your struggles."
0,"This clearly impacted you"
0,"This clearly impacted you"
0,"It’s evident this has left a deep mark; I'm here to support you as you navigate through it."
0,"I never meant to make you feel that way — I want to do better."
0,"I never meant to make you feel that way — I want to do better."
0,"It hurts to know I caused you pain; I’m committed to making things right between us."
0,"I’m sorry if I made you feel overlooked."
0,"I’m sorry if I made you feel overlooked."
0,"It devastates me to think I’ve ignored your feelings; please know I care."
0,"You don’t need to justify your emotions to me."
0,"You don’t need to justify your emotions to me."
0,"Your feelings are valid just as they are; I want you to feel accepted without any conditions."
0,"I want to sit with you in this"
0,"I want to sit with you in this"
0,"I want to embrace this moment with you; let’s face this pain together."
0,"This sounds important — let’s unpack it together."
0,"This sounds important — let’s unpack it together."
