type,sentence
0,"I won’t keep suppressing how I feel; the weight of my emotions is becoming too much to bear."
0,"I can't keep bottling up my emotions; the weight of what I feel is becoming too much to handle."
0,"It seemed I completely overlooked your well-being."
0,"It seems I completely neglected your well-being."
0,"Even when you will be together."
0,"Even when you are with each other."
0,"I will plead with you to recognize my efforts; I just want to feel like I truly matter to you."
0,"I will urge you to acknowledge my efforts; I just want to feel like I truly matter to you."
0,"Can’t you fan those flames of love back to life?"
0,"Can’t you rekindle those flames of love?"
0,"Why can’t you just listen to me for once?"
0,"Why can’t you just hear me out this one time?"
0,"I kept saying I was fine."
0,"I kept insisting that I was okay."
0,"You hold this inner turmoil, yearning for an outlet for your emotions."
0,"You carry this internal struggle, longing for a way to express your feelings."
0,"It will be tiring to maintain a brave front every day; I will truly struggle beneath the surface."
0,"Maintaining a brave face each day will be exhausting; I will genuinely struggle beneath the surface."
0,"You wish I would help create an environment where vulnerability is welcomed and cherished."
0,"You wish I would help foster an atmosphere where vulnerability is accepted and valued."
0,"I would have appreciated it if you could have responded to me!"
0,"I would have appreciated it if you could have at least replied to me!"
0,"I long for the day when we can reconnect and find a shared understanding once more."
0,"I yearn for the day we can reconnect and rediscover our mutual understanding."
0,"It’s hard for you to feel exposed yet unwelcome when expressing your feelings."
0,"It’s challenging for you to feel exposed yet unwelcome when sharing your emotions."
0,"You shouldn’t keep your emotions hidden; the burden of your feelings is becoming unmanageable."
0,"You shouldn’t hide your feelings; the weight of your emotions is becoming excessive."
0,"It was frustrating for you to feel my absence when you wanted me close; it hurt deeply."
0,"It was painful for you to feel my absence when you needed me nearby; it hurt deeply."
0,"It frustrates you that our silence has become so stifling!"
0,"It frustrates you that our silence has become so oppressive!"
0,"You're scared to speak up at all."
0,"You're afraid to express yourself at all."
0,"You felt like you were the only one emotionally invested."
0,"You felt like you were the only one putting your heart into this."
0,"I won’t be able to keep suppressing how I feel."
0,"I cannot continue to suppress my true feelings."
0,"You’ve been feeling left out of my world."
0,"You’ve been feeling alienated from my world."
0,"Can we not fight for the unity we once had?"
0,"Can we not strive for the closeness we once shared?"
0,"It’s infuriating to think that we aren’t building anything substantial together!"
0,"It’s maddening to think we aren’t creating something meaningful together!"
0,"I will beg for a glimpse of our former selves, the duo I will fall in love with."
0,"I will plead for a glimpse of who we used to be, the pair I fell in love with."
0,"You’re begging me to find my ability to listen again; it’s vital for us to reconnect."
0,"You’re asking me to find my capacity to listen again; it’s crucial for our reconnection."
0,"It seems like your laughter has changed when we’re together."
0,"It seems your laughter has changed whenever we are together."
0,"I will feel like my voice doesn’t carry any weight here."
0,"I will feel like my words hold no significance here."
0,"I will be so frustrated that we will keep repeating this cycle; it will truly be draining!"
0,"I will be so frustrated that we keep falling into this cycle; it will truly be exhausting!"
0,"Lately, I’m questioning everything, and it feels overwhelming."
0,"Recently, I’m doubting everything, and it feels like too much to handle."
0,"You feel like you walk on eggshells."
0,"You feel as if you’re treading lightly."
0,"I just wanted us to get back to a better place."
0,"All I wanted was for us to return to a happier place."
0,"I don’t feel like our conversations are as meaningful as they once were."
0,"I don’t think our discussions carry the same depth they used to."
0,"I will wish we could rebuild."
0,"I will long for us to rebuild what we once had."
0,"But I know deep down you’re not okay."
0,"But I know in my heart that you’re struggling."
0,"You’ve been sensing emotional distance between us, and it’s a loneliness you can’t shake."
0,"You’ve been feeling the emotional gap between us, and it’s a loneliness that’s hard to shake."
0,"Can’t we fan those flames of love back to life?"
0,"Can we reignite those sparks of love once more?"
0,"The sense of insignificance will weigh heavily on your heart, leaving you desolate."
0,"The sense of being insignificant will weigh heavily on your heart, leaving you feeling empty."
0,"It felt as if we were just cohabiting without any connection."
0,"It seemed like we were simply coexisting without any real bond."
0,"It will seem like we are just sharing space rather than truly connecting."
0,"It will feel as if we are just occupying the same space instead of really connecting."
0,"It will feel like we’re merely existing together."
0,"It will seem like we’re merely surviving together."
0,"There was no warmth left in our conversations."
0,"There was a lack of warmth in our discussions."
0,"Feeling like you’re not understood is so tiring, and it’s tough bearing this burden all on your own."
0,"Feeling unheard is so tiring, and it’s tough to carry this weight alone."
0,"You will wish we could revisit that disagreement and find some peace before it really affects us."
0,"You will wish we could revisit that argument and find some resolution before it truly takes a toll on us."
0,"It will be like we live in different worlds."
0,"It will feel as though we inhabit separate worlds."
0,"The chaos reverberated in my heart, making it hard to find any peace."
0,"The turmoil echoed in my heart, making it difficult to find any tranquility."
