type,sentence
0,"The endless loop of your struggles crushed your spirit and filled you with despair."
0,"The continual cycle of your struggles has drained your spirit and left you feeling hopeless."
0,"You will need more than just silence and nods from me."
0,"You will require more than just my silence and nodding in agreement."
0,"You haven’t asked how I’m doing in quite some time."
0,"It has been a while since you’ve asked about how I’m doing."
0,"Why does it have to feel so frightening to confront the things that wound us?"
0,"Why does it have to feel so daunting to face the things that hurt us?"
0,"They turn off completely every time you attempt to communicate."
0,"They completely shut down every time you try to communicate."
0,"We will have allowed far too many things to go unspoken, and it will feel like a silent burden."
0,"We will have let too many things remain unspoken, creating a silent burden between us."
0,"Even when you try to reach out."
0,"Even when you attempt to reach out."
0,"Can you both find a calm space to share your feelings without the heat of anger?"
0,"Can you both find a peaceful moment to share your feelings without the heat of anger?"
0,"You won’t be here to argue — you just want to be heard."
0,"You don’t want to argue — you just want to be heard."
0,"Ignoring the real problems is only going to make things worse in the long run."
0,"Avoiding the real issues will only worsen the situation over time."
0,"I will feel as though we’re orbiting each other without any meaningful connection."
0,"I will feel as though we are merely circling each other without a true connection."
0,"I want to be able to be honest without fear."
0,"I want to be honest without the fear of repercussions."
0,"It truly angered you that we’d grown so distant from the bond we once cherished!"
0,"It genuinely frustrated you that we had become so distant from the bond we once treasured!"
0,"In your search for understanding, you will feel the weight of my silence, yearning for a connection."
0,"In your quest for understanding, you will feel the heaviness of my silence, longing for a connection."
0,"There was a lot of pain that hadn’t been explored."
0,"There was a great deal of pain that had not yet been addressed."
0,"Why can’t you create an environment where you can genuinely express yourself without fear?"
0,"Why can’t you foster an environment where you can authentically express yourself without fear?"
0,"You’re carrying a burden you shouldn't have to handle on your own, and it’s really overwhelming."
0,"You're shouldering a burden that you don’t need to bear alone, and it’s incredibly overwhelming."
0,"Can’t you open up your hearts to each other and recognize each other’s truths?"
0,"Can’t you both open your hearts to one another and acknowledge each other's truths?"
0,"It frustrates you that we’re avoiding what truly matters!"
0,"It frustrates you that we’re skirting around what truly matters!"
