type,sentence
0,"I’m not overstating — I’m simply trying to be honest with you."
0,"I'm not exaggerating—I'm just trying to be honest with you."
0,"It was difficult to speak up."
0,"It was hard for me to express myself."
0,"We couldn’t move forward unless we talked about what caused us pain."
0,"We couldn't progress without discussing the sources of our pain."
0,"The pain lingered beneath the surface, growing heavier as time passed, weighing me down."
0,"The pain lingered just below the surface, growing heavier over time and weighing me down."
0,"We haven’t really talked about how that affected your emotions."
0,"We haven't truly explored how that affected your feelings."
0,"It wasn’t easy to bring this up."
0,"Bringing this up wasn’t easy for me."
0,"In the depths of your struggles, you felt utterly abandoned, and it broke you inside back then."
0,"During your struggles, you felt completely abandoned, and that broke you inside back then."
0,"Facing your truth courageously is essential for your heart to heal."
0,"It's vital for your heart to brave your truth if you want to heal."
0,"There will be things I will regret not saying sooner."
0,"There will be things I wish I had said sooner."
0,"Your heart will compel you to reach out, driven by a deep well of love and concern."
0,"Your heart will urge you to reach out, fueled by a deep sense of love and concern."
0,"This seems to keep coming up in your thoughts."
0,"This keeps surfacing in your mind."
0,"I have been bottling this up."
0,"I have been keeping this inside."
0,"It angers me when my honesty is confused with dramatics!"
0,"It frustrates me when my honesty is mistaken for theatrics!"
0,"I will have held back so much because I doubt you will truly listen."
0,"I will have restrained so much because I question whether you will really listen."
0,"Can we set aside our fears and confront this together instead of letting it grow?"
0,"Can we put our fears aside and face this together rather than letting it fester?"
0,"It made you furious that your thoughts weren’t valued when all you wanted was to be heard!"
0,"It made you extremely angry that your thoughts were overlooked when all you wanted was to be heard!"
0,"Why can't you just let me speak without cutting me off in the future?"
0,"Why can't you just let me talk without interrupting me in the future?"
0,"It still stings — even now."
0,"It still hurts—even now."
0,"You want to share how it felt without being judged."
0,"You want to express how it felt without fear of judgment."
0,"Please understood that I had been opening this painful door because I truly loved you!"
0,"Please understand that I opened this painful door because I loved you deeply!"
0,"I felt small and invisible in that situation."
0,"In that moment, I felt small and unnoticed."
0,"It makes me upset that I can’t find the words to convey my feelings clearly."
0,"It makes me frustrated that I can't express my feelings clearly."
0,"I just wanted you to grasp how this had impacted me."
0,"I just wanted you to understand how this has affected me."
0,"It matters to you even if it didn’t to me."
0,"It means a lot to you, even if it didn’t mean the same to me."
0,"You had felt disregarded when you had tried to share how you were feeling."
0,"You felt ignored when you attempted to convey how you were feeling."
0,"You won’t exaggerate — you will be trying to be real with me."
0,"You won't embellish — you'll try to be honest with me."
0,"It pains me to need validation for something so real within me."
0,"It hurts to require validation for something so genuine within me."
0,"This memory tends to create a bit of discomfort for me."
0,"This recollection often brings me a little discomfort."
0,"Why did I question your feelings when they were absolutely legitimate?"
0,"Why did I doubt your feelings when they were completely justified?"
0,"I need you to genuinely hear everything I’m about to say."
0,"I need you to authentically listen to everything I’m about to say."
0,"I’ve thought about this over and over again."
0,"I've reflected on this repeatedly."
0,"I wanted to discuss what happened if you were willing to hear me out."
0,"I wanted to talk about what transpired if you were open to hearing me."
0,"Why did that moment have to change everything between us so drastically?"
0,"Why did that instant have to alter everything between us so drastically?"
0,"I will need comfort."
0,"I will require some comfort."
0,"It won’t be easy for you to bring this up."
0,"It won't be easy for you to raise this topic."
0,"Why is it so difficult to have a genuine conversation about this instead of skirting around it?"
