type,sentence
0,"I’m not being dramatic. I’m being real; you genuinely want me to know that my authenticity is valued."
0,"I’m not being dramatic; I’m being genuine, and I truly want you to know that my authenticity is valued."
0,"It was devastating to know that anyone could have overlooked my voice like that."
0,"It was heartbreaking to discover that someone could overlook my voice in such a way."
0,"You weren’t being dramatic. You were being real; I genuinely wanted you to know that your authenticity was valued."
0,"You weren’t being dramatic; you were being sincere, and I truly wanted you to recognize that your authenticity matters."
0,"You will have every right to grieve; it will hurt to see you struggle with such heavy emotions."
0,"You are entirely justified in your grief; it will be painful to witness your struggle with such intense emotions."
0,"I want to be present with you in this moment."
0,"I want to be here with you in this moment."
0,"I wasn’t being excessive — this was important."
0,"I wasn’t being over the top — this truly mattered."
0,"My honesty will be important; it will be tough to confront, but I will value your bravery."
0,"My honesty is essential; it will be challenging to face, but I will appreciate your courage."
0,"It’s truly annoying to feel that I have to validate my own emotions."
0,"It’s really frustrating to feel the need to justify my own feelings."
0,"I’m really listening to you, and I want to make real changes."
0,"I’m genuinely listening to you, and I want to make meaningful changes."
0,"It breaks my heart to know it affected you so deeply, and I’m grateful you shared that with me."
0,"It breaks my heart to know how deeply it affected you, and I’m thankful you opened up about it."
0,"You appreciate my honesty."
0,"You value my honesty."
0,"Even if you don’t get it,"
0,"Even if you find it hard to understand,"
0,"I know you will hear me."
0,"I trust that you will listen to me."
0,"You have every right to feel how you feel."
0,"You have every right to feel what you are feeling."
0,"How could you think I wouldn't trust your experiences?"
0,"How could you think that I wouldn’t trust your experiences?"
0,"You will want to acknowledge what this has done to me; you will feel a deep sense of compassion for the impact it has on my life."
0,"You will want to recognize the impact this has had on me; you will feel a profound compassion for how it affects my life."
0,"You absolutely shouldn’t have had to endure that all by yourself."
0,"You absolutely shouldn’t have had to face that alone."
0,"I wanted to make space for your feelings."
0,"I wanted to create a safe space for your emotions."
0,"This will clearly impact you."
0,"This will undoubtedly affect you."
0,"It’s evident that this is something that impacted me, and you’re eager to explore it more."
0,"It’s clear that this is something that has impacted me, and you are eager to delve into it further."
0,"Why didn’t I notice you were carrying such a heavy burden on your own?"
0,"Why didn’t I realize you were carrying such a heavy load by yourself?"
0,"This clearly meant a lot to you—and that is important to me; it’s painful to realize how much hurt you’ve experienced over this."
0,"This clearly meant a great deal to you — and that matters to me; it’s painful to see how much hurt you’ve gone through because of it."
0,"Please, let’s not have brushed past the weight of what I was carrying."
0,"Please, let’s not gloss over the weight of what I’ve been dealing with."
0,"You didn’t realize it affected me like that."
0,"You didn’t realize how much this affected me."
0,"I want to understand the layers behind what you’re feeling."
0,"I want to understand the complexities behind what you’re feeling."
0,"This clearly meant something to you — and that resonates with me."
0,"This clearly held significance for you — and that resonates deeply with me."
0,"This clearly mattered to me — and that matters to you; it hurts you to realize how much pain I’ve felt over this."
0,"This clearly was important to me — and that matters to you; it pains you to see how much suffering I’ve endured because of it."
0,"I recognized this wasn’t easy for you, and it hurt me to see how hard it was for you to open up."
0,"I understood that this wasn’t easy for you, and it pained me to witness the struggle you faced in opening up."
0,"It's truly heartbreaking to think I ever felt I had to prove my truth."
0,"It’s truly heartbreaking to consider that I ever thought I needed to validate my truth."
0,"I’m valid."
0,"I am valid."
0,"Why do you have to carry the burden of being too intense or too emotional?"
0,"Why do you feel the need to bear the weight of being too intense or overly emotional?"
0,"Your struggles deserve attention and care."
0,"Your challenges deserve attention and compassion."
0,"You really admired my bravery for being open; it was incredibly important to you that I shared."
0,"You truly appreciated my courage in being vulnerable; it meant a lot to you that I was willing to share."
0,"Your feelings mattered more than anything; I was here to listen without judgment."
0,"Your emotions were of utmost importance; I was here to listen without any judgment."
0,"We don’t need to downplay this just to move forward together."
0,"We shouldn't minimize this just to progress together."
0,"I’m so tired of carrying this weight alone, it hurts too much."
0,"I'm so weary of carrying this burden alone; it hurts too much."
0,"You had been through a lot; it troubled me to see the scars you carried from your experiences."
0,"You had experienced so much; it upset me to see the scars you bore from your past."
0,"This clearly mattered to me — and that mattered to you."
0,"This clearly was important to me — and that was important to you."
0,"It will be okay to feel upset. I won’t be here to question that."
0,"It's okay to feel upset. I won't be here to question your feelings."
0,"This will clearly have an effect on me."
0,"This will undoubtedly impact me."
0,"I’m allowed to need support without explanation; it saddens you to think I might feel I have to justify my needs."
0,"I have the right to seek support without needing to explain; it saddens you that I might feel I need to justify my needs."
0,"I seem upset, and you want to help."
0,"I may appear upset, and you want to assist me."
0,"I will completely understand why you might carry that burden."
0,"I will fully understand why you might be carrying that weight."
0,"It's such a lonely place to feel like your experience doesn't matter."
0,"It’s incredibly isolating to feel as if your experience is unimportant."
0,"Please share how that made you feel."
0,"Please express how that made you feel."
0,"It's really painful to think you might feel overwhelmed by what you feel."
0,"It’s truly painful to think you may be feeling overwhelmed by your emotions."
0,"Why can’t I just take a moment to ensure every aspect is recognized?"
0,"Why can’t I take a moment to ensure every detail is acknowledged?"
0,"I’m not being too sensitive — I’m being real."
0,"I’m not overly sensitive — I’m being genuine."
0,"This will clearly leave a mark — let’s talk about it."
0,"This will certainly leave an impression — let’s discuss it."
0,"That must’ve been exceptionally difficult for you to carry for such a long time."
0,"That must have been extremely challenging for you to bear for such a long time."
0,"It was really upsetting to think that anyone could have disregarded my voice like that."
0,"It was truly distressing to think that anyone could dismiss my voice in such a way."
0,"That feeling makes sense"
0,"That feeling is completely understandable."
0,"Your feelings matter more than anything; I’m here to listen without judgment."
0,"Your feelings are incredibly important; I’m here to listen without any judgment."
0,"It must be profoundly lonely to feel as if your experiences are overlooked."
0,"It must feel incredibly isolating to have your experiences overlooked."
0,"You will be exhausted from carrying this burden alone; it will be truly painful."
0,"You must be feeling drained from bearing this burden alone; it truly must be painful."
0,"How was it fair that you had to endure that kind of dismissal?"
0,"Thank you for helping me see this through your eyes."
0,"How is it fair that you had to go through that kind of dismissal?"
0,"I wasn’t wrong for feeling the way I did."
0,"Thank you for providing me with insight from your perspective."
0,"Please don’t hesitate to be as open as you need!"
0,"I was justified in feeling how I did."
0,"You notice I'm upset, and you genuinely want to assist."
