type,sentence
0,"I want to fix this"
0,"You want to fix this."
0,"It’s infuriating to see how everything has shifted so dramatically!"
0,"It’s infuriating for you to see how everything has shifted so dramatically!"
0,"It's as if I've become emotionally numb around you lately."
0,"It's as if you've become emotionally numb around me lately."
0,"We’ve had a lot on our plates lately."
0,"You've had a lot on your plate lately."
0,"I'm puzzled—this isn’t about placing blame."
0,"You're puzzled—this isn’t about placing blame."
0,"I’m not sure how to fix this"
0,"You're not sure how to fix this."
0,"I feel so lost trying to bring this up again."
0,"You feel so lost trying to bring this up again."
0,"This isn’t a blame game — it’s about clarity."
0,"This isn’t a blame game — it’s about clarity."
0,"I don’t feel heard"
0,"You don’t feel heard."
0,"I don’t know what version of us we’re trying to be."
0,"You don’t know what version of yourselves you’re trying to be."
0,"We both have had a lot on our minds in recent times."
0,"You both have had a lot on your minds in recent times."
0,"I'm so frustrated with the distance between us; it's tearing me apart!"
0,"You're so frustrated with the distance between you; it's tearing you apart!"
0,"I know we are both attempting to connect in our own unique ways."
0,"You know you are both attempting to connect in your own unique ways."
0,"I wish we could communicate better."
0,"You wish you could communicate better."
0,"I'm terrified of what this widening gap between us could mean."
0,"You're terrified of what this widening gap between you could mean."
0,"I’m feeling really overwhelmed lately."
0,"You're feeling really overwhelmed lately."
0,"I just want to be left alone for a while."
0,"You just want to be left alone for a while."
0,"I'm unsure what we're even fighting for anymore."
0,"You're unsure what you're even fighting for anymore."
0,"I’m absolutely not saying you’ve done anything wrong—something just feels off."
0,"You're absolutely not saying I've done anything wrong—something just feels off."
0,"I need time to think before we keep talking."
0,"You need time to think before we keep talking."
0,"We’ve drifted and I don’t know how to pull us back."
0,"You've drifted and you don’t know how to pull you back."
0,"I'm so angry that you can't see this isn't about pointing fingers but truly understanding each other."
0,"You're so angry that I can't see this isn't about pointing fingers but truly understanding each other."
0,"Let’s take a beat and collect ourselves for a moment."
0,"Let’s take a beat and collect ourselves for a moment."
0,"Every time we speak, I can feel how heavy things have become, and it's suffocating."
0,"Every time you speak, you can feel how heavy things have become, and it's suffocating."
0,"I feel really stressed and overwhelmed these days."
0,"You feel really stressed and overwhelmed these days."
0,"I want us to move forward without more damage."
0,"You want us to move forward without more damage."
0,"I'm so deeply tired from this emotional turmoil; it feels endless."
0,"You're so deeply tired from this emotional turmoil; it feels endless."
0,"I’m not trying to win — I just want peace."
0,"You're not trying to win — you just want peace."
0,"It feels like we keep missing each other emotionally."
0,"It feels like you keep missing me emotionally."
0,"We need more than just words right now."
0,"You need more than just words right now."
0,"I’m not sure if we’re growing together anymore."
0,"You’re not sure if you’re growing together anymore."
0,"This is really tough for me to open up about."
0,"This is really tough for you to open up about."
0,"I feel like we’re both avoiding the real issue."
0,"You feel like we’re both avoiding the real issue."
0,"When we’re together, I feel an emptiness in our conversations."
0,"When you’re together, you feel an emptiness in our conversations."
0,"We’ve been so disconnected lately."
0,"You’ve noticed we’ve been so disconnected lately."
0,"We need more than just empty words; we need genuine connection."
0,"You need more than just empty words; you need genuine connection."
0,"We’ve been off lately"
0,"You’ve sensed we’ve been off lately."
0,"I'm not trying to cast any accusations your way."
0,"You're not trying to cast any accusations my way."
0,"I can feel that something is deeply wrong, and it gnaws at my soul."
0,"You can feel that something is deeply wrong, and it gnaws at your soul."
0,"This just doesn’t feel like a safe space anymore."
0,"This just doesn’t feel like a safe space for you anymore."
0,"I don’t understand how you expect me to speak when I'm feeling this way!"
0,"You don’t understand how I expect you to speak when you're feeling this way!"
