type,sentence
0,"There’s a reason your voice shakes when you talk about this. Let’s explore it."
0,"There’s a reason my voice shakes when I talk about this. Let’s explore it."
0,"You’re not making this up — I believe you."
0,"I’m not making this up — you believe me."
0,"Let’s explore what’s really going on underneath this."
0,"Let’s explore what’s really going on underneath this."
0,"You shouldn’t have had to go through that alone."
0,"I shouldn’t have had to go through that alone."
0,"You’re not being too sensitive — you’re being real."
0,"I’m not being too sensitive — I’m being real."
0,"You’re allowed to feel how you feel."
0,"I’m allowed to feel how I feel."
0,"How can you expect me to just dismiss what I'm feeling inside?"
0,"How can I expect you to just dismiss what you're feeling inside?"
0,"I want to understand your experience better."
0,"You want to understand my experience better."
0,"This isn’t about right or wrong — it’s about how you felt."
0,"This isn’t about right or wrong — it’s about how I felt."
0,"Your journey matters to me; I want to grasp the depth of what you’ve faced."
0,"My journey matters to you; you want to grasp the depth of what I’ve faced."
0,"This clearly left a mark — let’s talk about it."
0,"This clearly left a mark on me — let’s talk about it."
0,"This is a conversation I want to have"
0,"This is a conversation you want to have."
0,"I want to meet you where you are"
0,"You want to meet me where I am."
0,"Why didn’t I reach out sooner to offer you support?"
0,"Why didn’t you reach out sooner to offer me support?"
0,"It’s evident this has left a deep mark; I'm here to support you as you navigate through it."
0,"It’s evident this has left a deep mark on me; you’re here to support me as I navigate through it."
0,"You’re allowed to grieve"
0,"I’m allowed to grieve."
0,"Even if I can’t relate"
0,"Even if you can’t relate."
0,"I didn’t know this was bothering you so deeply."
0,"You didn’t know this was bothering me so deeply."
0,"Your feelings are important; I never want to diminish what you’re experiencing."
0,"My feelings are important; you never want to diminish what I’m experiencing."
0,"It's such a lonely place to feel like your experience doesn't matter."
0,"It's such a lonely place for you to feel like your experience doesn't matter."
0,"Even if I can’t relate; it weighs heavily on me to think my inability to understand may add to your pain."
0,"Even if you can’t relate; it weighs heavily on me to think my inability to understand may add to your pain."
0,"We don’t need to minimize this just to move on."
0,"We don’t need to minimize this just to move on together."
0,"You’re allowed to grieve; it hurts to watch you wrestle with such heavy emotions."
0,"You’re allowed to grieve; it hurts me to watch you wrestle with such heavy emotions."
0,"What you felt is important to me; it fills me with sorrow to think that you might not have felt that way before."
0,"What you felt is important to me; it fills you with sorrow to think that you might not have felt that way before."
0,"You don’t need to justify your emotions to me."
0,"You don’t need to justify your emotions to me."
0,"I want to embrace this moment with you; let’s face this pain together."
0,"I want to embrace this moment with you; let’s face this pain together."
0,"You don’t owe me a perfectly worded explanation."
0,"You don’t owe me a perfectly worded explanation."
0,"Why didn’t I listen more closely before?"
0,"Why didn’t you listen more closely before?"
0,"Let’s create space for all the emotions that come with this."
0,"Let’s create space for all the emotions that come with this."
0,"Why do you want to belittle something so real and genuine?"
0,"Why do I want to belittle something so real and genuine?"
0,"There’s a sadness that lingers in knowing that my own feelings might cloud my understanding."
0,"There’s a sadness that lingers in knowing that your own feelings might cloud your understanding."
0,"Whatever this is"
0,"Whatever this is."
0,"You deserve to feel safe expressing this; it troubles me to think you might have felt unsafe sharing."
0,"You deserve to feel safe expressing this; it troubles me to think you might have felt unsafe sharing."
0,"I’m sorry if I made you feel overlooked."
0,"I’m sorry if I made you feel overlooked."
0,"Your voice is powerful; I want you to know that I value your truth immensely."
0,"Your voice is powerful; I want you to know that I value your truth immensely."
0,"I’m not here to argue — I’m here to listen."
0,"I’m not here to argue — I’m here to listen to you."
0,"Please don’t hold back — your true feelings deserve to shine without restraint!"
0,"Please don’t hold back — your true feelings deserve to shine without restraint!"
0,"You’re allowed to carry that emotion without explanation."
0,"You’re allowed to carry that emotion without explanation."
0,"Tell me more about how that felt in the moment; I truly want to understand the depth of your experience."
0,"Tell me more about how that felt in the moment; I truly want to understand the depth of your experience."
0,"I sense the weight of what you’re saying; I want to support you in exploring it."
0,"I sense the weight of what you’re saying; I want to support you in exploring it."
0,"You have every right to feel hurt."
