type,sentence
0,"We haven’t really connected in a long time."
0,"We haven’t really connected in quite some time."
0,"You just want to feel close to me again, but the distance between us feels insurmountable."
0,"I can sense that you want to feel closer to me, but the gap between us seems too vast."
0,"It’s painful to feel vulnerable yet unwelcome in sharing my thoughts."
0,"It’s tough to feel vulnerable and yet feel unwelcome when sharing what’s on my mind."
0,"There’s no warmth left in your conversations."
0,"Your conversations seem to lack warmth these days."
0,"Please help me salvage what you have before it’s lost!"
0,"I’m asking you to please help me save what we have before it slips away!"
0,"It’s so sad to look back on the simplicity we once shared; it feels like a distant memory."
0,"It’s heartbreaking to reflect on the simplicity we once enjoyed; it truly seems like a distant memory."
0,"It makes me so angry that I have to carry all this alone; why can’t you see it?"
0,"I can’t help but feel so frustrated that I have to bear all of this alone; can’t you see it?"
0,"Why won’t I let you feel included?"
0,"What’s stopping me from letting you feel included?"
0,"I’m furious that I can’t pinpoint the issue—it feels so frustrating!"
0,"I’m really annoyed that I can’t identify the root cause—it’s incredibly frustrating!"
0,"You’re not sure what we’re holding onto anymore."
0,"You seem uncertain about what we’re still holding onto."
0,"It hurts that you can’t share your true feelings without fear; you desperately need a safe space."
0,"It’s painful that you’re unable to share your true feelings out of fear; you really need a safe space."
0,"Why won’t you let me in like you used to?"
0,"Why won’t you allow me to be part of your life like you once did?"
0,"Your joy feels so far removed from our moments together."
0,"Your happiness seems so disconnected from the moments we used to share."
0,"You’re tired of pretending like you’re fine."
0,"You’re exhausted from pretending that everything is okay."
0,"Your heart feels heavy from the exhaustion of being unable to express yourself."
0,"Your heart feels weighed down by the struggle of not being able to express yourself."
0,"You seem distant"
0,"You appear to be distant."
0,"Please help me salvage what we have before it’s lost!"
0,"I really hope you can help me save what we have before it’s gone!"
0,"Can you try to understand my struggle?"
0,"Can you make an effort to understand what I’m dealing with?"
0,"I don’t know how to show you I’m hurting."
0,"I find it difficult to demonstrate how much I’m hurting."
0,"The chaos echoes in my heart, preventing me from finding any solace."
0,"The chaos reverberates in my heart, making it hard to find any peace."
0,"You can’t believe how angry it makes you feel like you don’t matter to them anymore!"
0,"You can’t begin to express how furious it makes you feel like you’ve lost your significance to them!"
0,"My feelings seem to overwhelm you, pushing you away."
0,"My feelings seem to be too much for you, causing you to retreat."
0,"You're struggling to find peace in this relationship."
0,"You're finding it hard to achieve peace within this relationship."
0,"Even when we’re together"
0,"Even when we’re physically together."
0,"Please help me carry this burden together!"
0,"I’m really asking for your help to share this burden with me!"
0,"Every word feels futile, echoing against walls that refuse to listen to you."
0,"Every word seems pointless, bouncing off walls that just won’t listen."
0,"Lately it feels like I’m the only one trying."
0,"Recently, it feels like I’m the only one making an effort."
0,"We don’t seem to understand each other like we used to."
0,"It seems we no longer understand each other as we once did."
0,"This silence is starting to feel like a wall for you."
0,"This silence is beginning to feel like an obstacle standing between us."
0,"Your emotions are a tangled mess that you can’t untie."
0,"Your feelings are a chaotic knot that you can’t seem to unravel."
0,"The silence of unaddressed issues creates a heaviness I can’t ignore."
0,"The quiet of unresolved issues brings a weight that I can’t overlook."
0,"You’ve been questioning everything lately, and the uncertainty gnaws at your very core."
0,"You’ve been questioning everything recently, and that uncertainty really eats at you."
0,"Won’t I please just listen to you?"
0,"Won’t I please just take the time to listen to what you have to say?"
0,"They keep reaching out."
0,"They keep trying to reach out to you."
0,"The moments of being unseen cut deeply, leaving you feeling like a ghost."
