type,sentence
0,"I’ve been thinking about what you said."
0,"I've been reflecting on what you expressed."
0,"This has been bothering you for a while and you think we should talk."
0,"This has clearly been troubling you for some time, and you believe we should address it."
0,"You’ve been carrying this for a while now."
0,"You've been holding onto this for quite a while now."
0,"This keeps replaying in my head."
0,"This thought keeps echoing in my mind."
0,"Please don't downplay what I need to share; it matters!"
0,"Please don't minimize what I need to share; it genuinely matters!"
0,"The wounds may seem old, but they still ache like fresh scars for you."
0,"The wounds may appear old, yet they still throb like fresh injuries for you."
0,"You need me to truly hear what you're about to say."
0,"You require me to genuinely listen to what you're about to tell me."
0,"Can I please acknowledge how that affected you?"
0,"Can I please acknowledge the impact this has had on you?"
0,"Silence enveloped you like a suffocating blanket, and you regret not speaking up."
0,"Silence wrapped around you like an overwhelming shroud, and you now regret not voicing your feelings."
0,"You want to say this out loud before you lose the courage."
0,"You wish to vocalize this before your courage fades away."
0,"Please, can’t I just listen to how deeply this affected you?"
0,"Please, can’t I simply listen to how profoundly this has affected you?"
0,"Why do you keep ignoring this? It’s driving you mad that you’re not tackling it!"
0,"Why do you continue to overlook this? It’s driving you insane that you’re not confronting it!"
0,"It breaks your heart every time you struggle to share your thoughts with me."
0,"It breaks your heart each time you find it difficult to express your thoughts to me."
0,"Regret floods me, aching to have spoken my truth when it mattered most."
0,"Regret engulfs me, yearning to have voiced my truth when it truly mattered."
0,"Why did that moment have to change everything between you two so drastically?"
0,"Why did that moment have to alter everything between you two so drastically?"
0,"It pains me to feel like my words are falling on deaf ears."
0,"It pains me to sense that my words are going unheard."
0,"You need to be able to say this without being interrupted."
0,"You need to be able to express this without facing interruptions."
0,"I want to say this out loud before I lose the courage."
0,"I need to vocalize this before I lose my courage."
0,"My heart sinks at the thought of not being able to express my truth fully without barriers."
0,"My heart grows heavy at the thought of missing out on sharing my truth entirely without obstacles."
0,"I don’t want this swept under the rug again."
0,"I don't want this to be brushed aside once more."
0,"My experience matters"
0,"My experiences are significant."
0,"Why must I carry this burden alone, trapped under its weight?"
0,"Why am I forced to bear this burden alone, weighed down by its heaviness?"
0,"This heavy weight has lingered too long, suffocating my spirit day by day."
0,"This oppressive weight has hung around for too long, stifling my spirit with each passing day."
0,"My need for honesty fights against the façade of calm, unveiling the pain beneath."
0,"My need for truth struggles against the mask of tranquility, revealing the hurt underneath."
0,"There’s a lot you wish you had said in the heat of the moment."
0,"There are many things you wish you had articulated in that heated moment."
0,"I didn’t feel supported"
0,"I didn't really feel supported."
0,"Why do we keep pretending that moment never happened?"
0,"Why do we keep acting like that moment never happened?"
0,"I need space to express myself fully."
0,"I need some space to fully express how I feel."
0,"It hurts deeply that my honesty feels like it’s dismissed as overreacting."
0,"It hurts to feel like my honesty is dismissed as an overreaction."
0,"I know it’s been a while"
0,"I know it's been some time."
0,"You can't shake the frustration you feel about what I said — it’s still there nagging at you!"
0,"You can't seem to shake the frustration about what I said — it lingers!"
0,"We keep avoiding this and it’s not helping."
0,"We keep avoiding this issue, and it's not doing us any favors."
0,"Let’s talk about what’s been going unsaid."
0,"Let's discuss what has been left unsaid."
0,"Why does it feel like your pain doesn’t matter to me at all?"
0,"Why does it seem like your pain isn’t important to me at all?"
0,"It hurts me deeply that I feel like my words are falling on deaf ears."
0,"It truly saddens me that it feels like my words are going unheard."
0,"It infuriates you that I might dismiss it as insignificant!"
0,"It frustrates you to think I might consider it trivial!"
0,"It hurts to think we might ignore this pain and let it fester."
0,"It's painful to imagine we could ignore this hurt and let it grow."
0,"I can't shake the frustration I feel about what you said — it’s still there nagging at me!"
0,"I can't seem to shake the frustration about what you said—it’s still bothering me!"
0,"Your need for honesty fights against the façade of calm, unveiling the pain beneath."
0,"Your desire for honesty clashes with your calm demeanor, revealing the hurt underneath."
0,"Please understand that you're opening this painful door because you truly love me!"
0,"Please realize that you're bringing up this painful topic because you truly care about me!"
0,"The pain lingers, sharp and undeniable, like a thorn you can’t remove."
0,"The pain persists, sharp and undeniable, like a thorn that won't come out."
0,"You’ve been thinking about what they said."
0,"You've been contemplating their words."
0,"Even if it seemed small to you"
0,"Even if it seemed minor to you."
0,"Please try to understand this from my perspective."
0,"Please consider this from my viewpoint."
0,"The silence after that moment felt like rejection."
0,"The silence after that incident felt like you were rejecting me."
0,"The haunting echo of that moment plays relentlessly for you, stealing your peace."
0,"The memory of that moment echoes in your mind, disturbing your peace."
0,"I’ve been bottling this up"
0,"I've been keeping this bottled up."
0,"Can’t we set aside our fears and confront this together instead of letting it grow?"
0,"Can't we set our fears aside and face this together rather than letting it fester?"
0,"It slays you to think that your need for empathy is ignored."
0,"It breaks your heart to think that your need for empathy is overlooked."
0,"I know this might sound emotional from your perspective."
0,"I realize that this might come across as overly emotional from your standpoint."
0,"It infuriates me that you can’t see how deeply this affects me!"
0,"It frustrates me that you can’t see how much this impacts me!"
0,"It angers me that you’re oblivious to the profound effects this has on me!"
0,"I’ve been keeping this inside because I just couldn’t figure out how to express it."
0,"I have a right to express this without being brushed aside."
0,"I felt overlooked when I tried to share my thoughts."
0,"I need the chance to express this without interruption."
0,"The feelings within me are overwhelming, and it's stifling."
0,"That moment changed your perspective on our relationship."
0,"I’m unsure how to articulate this."
0,"Please don’t dismiss this — it’s important to me."
0,"Just because some time has passed doesn’t mean the pain has faded."
0,"How could I have missed your sadness and isolation then?"
0,"You felt insignificant and unnoticed in that moment."
0,"We can’t just gloss over the difficult subjects; they require our focus."
0,"There are things you wish you had expressed sooner."
0,"Why weren’t you there to hold me when I desperately needed it?"
0,"I’ve thought about this repeatedly, searching for understanding."
0,"Bringing this up seems like dragging a heavy burden along."
0,"Just because time has moved on doesn’t mean it doesn’t still hurt you."
0,"All I want is acknowledgment of my feelings; I don’t need accusations thrown at me."
0,"It wasn’t insignificant — it meant something to me."
0,"Can’t you recognize that my story matters and deserves attention?"
0,"Please, can’t you just hear how profoundly this impacted me?"
0,"It’s disheartening to bottle up your emotions for the sake of peace."
0,"You want the ability to express this without it being downplayed."
0,"Why can’t you understand that dismissing this will only cause more damage?"
0,"Why can’t you see that ignoring this will only lead to greater harm?"
0,"Why can’t you realize that brushing this aside will only result in more hurt?"
0,"It’s not about making a scene — it’s about being real to you."
0,"It’s not about making a fuss — it’s about being honest with you."
0,"It’s not about creating a scene — it’s about being authentic with you."
0,"I’m so angry that you think I want answers when really, I just want your compassion!"
0,"I’m incredibly upset that you think I’m looking for answers when all I truly want is your empathy!"
0,"I’m so frustrated that you believe I’m seeking solutions when really, I just need your understanding!"
0,"I just want you to know how it made me feel."
0,"I just want you to grasp how this has impacted me."
0,"I want you to understand how this situation made me feel."
0,"You want me to hear you without trying to fix it right away."
0,"You hope I’ll listen without jumping to fix things right away."
0,"You want me to hear you without immediately trying to solve it."
0,"You need space to express yourself fully."
0,"You need the freedom to fully express your feelings."
0,"You require the space to articulate yourself completely."
0,"Even if it wasn’t my intention."
0,"Even if it wasn’t what I intended."
0,"Even if I didn’t mean to."
0,"I’ve held back a lot because I didn’t think you’d listen."
0,"I’ve held back so much because I doubted you would truly listen."
0,"I’ve kept a lot inside because I didn’t think you’d be open to listening."
0,"I just need you to take me seriously when I bring things up."
0,"I just need you to take my concerns seriously when I bring them to you."
0,"I need you to acknowledge my feelings when I try to discuss them with you."
0,"I'm so frustrated that I've been holding back when I really need to speak up."
0,"I’m really frustrated that I’ve been holding back when I desperately need to voice my thoughts."
0,"I feel so exasperated that I’ve been silent when I should have spoken up."
0,"You don’t have to agree with me"
0,"You don’t have to share my opinion."
0,"It's okay if you don’t agree with me."
0,"How can I not see that you’re being genuine and truthful about your feelings?"
0,"How can I not recognize that you’re being genuine and honest about your emotions?"
0,"How can I fail to see that you're truly expressing your feelings?"
0,"Can I please recognize how much you needed to express yourself then?"
0,"Can I please acknowledge how crucial it was for you to express yourself back then?"
0,"Could I understand how much you needed to share your thoughts at that moment?"
0,"Why does it feel like my pain doesn’t matter to you at all?"
0,"Why does it seem like my suffering is insignificant to you?"
0,"Why does it feel like what I'm going through doesn't matter to you at all?"
0,"You felt dismissed when you tried to express yourself."
0,"You felt overlooked when you attempted to communicate your feelings."
0,"You felt disregarded when you tried to share how you were feeling."
0,"I know this might sound emotional."
0,"I know this may come across as overly emotional."
0,"I understand this might seem a bit emotional."
0,"Can't I see how important this is for your heart and mind?"
0,"Can't I grasp how vital this is for your heart and mind?"
0,"Can’t I realize how significant this is for your emotional well-being?"
0,"You want to discuss what happened if I’m willing to hear you out."
0,"You want to talk about what occurred if I’m open to listening."
