type,sentence
0,"You crave the feeling of emotional safety again; you miss the warmth of my love."
0,"You miss the warmth of my love; you crave the feeling of emotional safety again."
0,"Why can’t you see that your desire to be right is choking our communication?"
0,"The feeling of emotional safety again is what you crave; you miss my love's warmth."
0,"There was an emotional barrier between us that you couldn’t break through."
0,"Why can’t you see that our communication is being choked by your desire to be right?"
0,"You no longer expressed how you truly felt; it left you in a state of confusion."
0,"Your wish to be right is choking our communication; why can’t you see that?"
0,"It makes me feel incredibly alone to know that my happiness seems unimportant to you right now."
0,"An emotional barrier stood between us that you couldn't break through."
0,"I cared about your feelings much more in the past than I seem to now."
0,"Between us was an emotional barrier that you couldn't overcome."
0,"I truly desire to feel safe emotionally once more; why can’t you see how much I will crave that?"
0,"You left in a state of confusion by no longer expressing your true feelings."
0,"It could hurt you to imagine facing rejection when you long for compassion."
0,"No longer expressing how you truly felt left you confused."
0,"You’re likely to respond with frustration instead of directly addressing this issue!"
0,"Knowing that my happiness seems unimportant to you right now makes me feel incredibly alone."
0,"We tread lightly around crucial topics, afraid to reveal the truth."
0,"It makes me feel so alone to realize that my happiness appears unimportant to you currently."
0,"Our relationship resembled a mere shadow of its former self; it was truly heartbreaking to witness this decline."
0,"In the past, I cared much more about your feelings than I seem to now."
0,"You used to notice the little things — now they’re invisible; it’s maddening that you've become blind to what really matters!"
0,"I seem to care less about your feelings now compared to how I did in the past."
0,"You always divert the conversation when things get serious."
0,"Why can’t you see how much I will crave emotional safety once more?"
0,"It will be disheartening for you that this turns into a rivalry rather than a meaningful exchange."
0,"I truly desire to feel safe emotionally again; can't you recognize how much I crave that?"
0,"It's disheartening to think the openness we once had has been substituted with barriers."
0,"Imagining facing rejection when you long for compassion could hurt you."
0,"It breaks my heart to feel locked out of your feelings when I only wish to be near you."
0,"It could be painful for you to envision facing rejection while longing for compassion."
0,"When I open up"
0,"Instead of directly addressing this issue, you’re likely to respond with frustration!"
0,"It hurt me so much to realize our relationship no longer felt like a safe haven."
0,"You’re likely to react with frustration rather than tackle this issue head-on!"
0,"It feels like I’ve stopped investing emotionally."
0,"Afraid to reveal the truth, we tread lightly around crucial topics."
