type,sentence
0,"You've grown distant, and you’re uncertain how to bring that back."
0,"You grew distant, and you were uncertain how to bring that back."
0,"You're begging me, let's just move forward without causing more pain."
0,"You are begging me, let's just move forward without causing more pain."
0,"It seems you might need some emotional distance."
0,"You seemed to need some emotional distance."
0,"It’s really frustrating that we can’t seem to be on the same page anymore."
0,"It was really frustrating that we couldn’t seem to be on the same page anymore."
0,"I just need a bit of space right now."
0,"I needed a bit of space at that time."
0,"This conversation is starting to drain you."
0,"This conversation was starting to drain you."
0,"You're unsure what you're even fighting for anymore."
0,"You were unsure what you were even fighting for back then."
0,"It’s hard for you to bring this up."
0,"It was hard for you to bring this up."
0,"This doesn’t feel like home for you anymore."
0,"That didn’t feel like home for you anymore."
0,"I'm tired of being overly cautious around you."
0,"I was tired of being overly cautious around you."
0,"I can feel something is wrong"
0,"I felt something was wrong."
0,"We never intended for things to spiral out of control like this."
0,"We had never intended for things to spiral out of control like this."
0,"I long for the way we used to communicate with one another."
0,"I longed for the way we used to communicate with one another."
0,"When you talk, I sometimes feel like there's a missing element."
0,"When you talked, I sometimes felt like there was a missing element."
0,"It seems like we’re just not hearing one another at all."
0,"It seemed like we weren’t hearing one another at all."
0,"You're in a fog of confusion—I'm not blaming you."
0,"You were in a fog of confusion—I didn’t blame you."
0,"It really feels like there’s a growing divide separating us."
0,"It really felt like there was a growing divide separating us."
0,"I’m at a loss for how to mend this situation."
0,"I was at a loss for how to mend that situation."
0,"I’m losing parts of myself in this silence."
0,"I lost parts of myself in that silence."
0,"You don’t feel heard."
0,"You didn't feel heard."
0,"It's as if I've become emotionally numb around you lately."
0,"It felt as if I had become emotionally numb around you."
0,"You feel like we’re both avoiding the real issue."
0,"You felt like we were both avoiding the real issue."
0,"You want nothing more than to be left alone for a while."
0,"You wanted nothing more than to be left alone for a while."
0,"Even the silence between us is deafening."
0,"Even the silence between us was deafening."
0,"It’s clear that you both said hurtful things you didn't really intend."
0,"It was clear that you both said hurtful things you didn't really intend."
0,"I absolutely need some distance at this moment, please."
0,"I absolutely needed some distance at that moment, please."
0,"I will absolutely need some distance at that moment, please."
0,"Once again, it feels like we’re completely misunderstood by each other."
0,"Once again, it felt like we were completely misunderstood by each other."
0,"Once again, it will feel like we are completely misunderstood by each other."
0,"Sometimes you just want to run away from everything."
0,"Sometimes you just wanted to run away from everything."
0,"Sometimes you will just want to run away from everything."
0,"I hope we can progress without inflicting more harm."
0,"I hoped we could progress without inflicting more harm."
0,"I will hope we can progress without inflicting more harm."
0,"You keep circling the same problems without progress."
0,"You kept circling the same problems without progress."
0,"You will keep circling the same problems without progress."
0,"This just doesn’t feel like a safe space for you anymore."
