type,sentence
0,"I don’t feel like we talk the way we used to."
0,"I don’t feel like we talk the way we used to."
0,"I didn’t feel like we talked the way we used to."
0,"I won’t feel like we talk the way we used to."
0,"There’s a lot you want to say."
0,"There’s a lot you want to say."
0,"There was a lot you wanted to say."
0,"There will be a lot you want to say."
0,"I wish I could explain what’s happening inside me."
0,"I wish I could explain what’s happening inside me."
0,"I wished I could explain what was happening inside me."
0,"I will wish I could explain what’s happening inside me."
0,"Please, can we just talk without it turning into chaos?"
0,"Please, can we just talk without it turning into chaos?"
0,"Please, could we just talk without it turning into chaos?"
0,"Please, can we just talk without it turning into chaos in the future?"
0,"Can I try to understand your struggle?"
0,"Can I try to understand your struggle?"
0,"Could I have tried to understand your struggle?"
0,"Can I try to understand your struggle in the future?"
0,"When did you start tuning me out?"
0,"When did you start tuning me out?"
0,"When did you start tuning me out in the past?"
0,"When will you start tuning me out?"
0,"I feel so alone in my emotional investment in this relationship."
0,"I feel so alone in my emotional investment in this relationship."
0,"I felt so alone in my emotional investment in this relationship."
0,"I will feel so alone in my emotional investment in this relationship."
0,"My words often seem hollow, like they lack sincerity."
0,"My words often seem hollow, like they lack sincerity."
0,"My words often seemed hollow, like they lacked sincerity."
0,"My words will often seem hollow, like they lack sincerity."
0,"It pains me to consider that you might be the root of our problems; you sense this isolation."
0,"It pains me to consider that you might be the root of our problems; you sense this isolation."
0,"It pained me to consider that you might have been the root of our problems; you sensed this isolation."
0,"It will pain me to consider that you might be the root of our problems; you will sense this isolation."
0,"It feels as though I overlook when you’re having a hard time."
0,"It feels as though I overlook when you’re having a hard time."
0,"It felt as though I overlooked when you were having a hard time."
0,"It will feel as though I overlook when you’re having a hard time."
0,"I can’t keep suppressing how I feel."
0,"I can’t keep suppressing how I feel."
0,"I couldn’t keep suppressing how I felt."
0,"I won’t be able to keep suppressing how I feel."
0,"It hurts that you’ve grown this distant."
0,"It hurts that you’ve grown this distant."
0,"It hurt that you grew this distant."
0,"It will hurt that you’ve grown this distant."
0,"Can’t you find happiness with me once again?"
0,"Can’t you find happiness with me once again?"
0,"Couldn’t you have found happiness with me once again?"
0,"Can’t you find happiness with me again in the future?"
0,"You’re not sure what love looks like for us anymore."
0,"You’re not sure what love looks like for us anymore."
0,"You weren’t sure what love looked like for us anymore."
