type,sentence
0,"We haven’t revisited that moment together."
0,"We didn’t revisit that moment together."
0,"It’s like a shadow that haunts you, keeping you from moving forward."
0,"We won't revisit that moment together."
0,"Why couldn’t I find the words to express my feelings back then?"
0,"It was like a shadow that haunted you, keeping you from moving forward."
0,"You wish to vocalize this before your courage fades away."
0,"It will be like a shadow that haunts you, keeping you from moving forward."
0,"Why can’t you understand that dismissing this will only cause more damage?"
0,"Why couldn’t I find the words to express my feelings back then?"
0,"It’s not about making a scene — it’s about being real to you."
0,"Why won’t I find the words to express my feelings now?"
0,"I’m so angry that you think I want answers when really, I just want your compassion!"
0,"You wished to vocalize this before your courage faded away."
0,"I've been reflecting on what you expressed."
0,"You will wish to vocalize this before your courage fades away."
0,"Why weren’t you there to hold me when I desperately needed it?"
0,"Why can’t you understand that dismissing this would only cause more damage?"
0,"I just want you to know how it made me feel."
0,"Why won’t you understand that dismissing this will only cause more damage?"
0,"Why did I let my voice be muted in that moment?"
0,"It wasn’t about making a scene — it was about being real to you."
0,"You’ve found it challenging to voice your thoughts."
0,"It won’t be about making a scene — it will be about being real to you."
0,"You want me to hear you without trying to fix it right away."
0,"I was so angry that you thought I wanted answers when really, I just wanted your compassion!"
0,"It’s infuriating that it seems you’re carrying this load alone when we should be dealing with it together!"
0,"I will be so angry that you think I want answers when really, I just want your compassion!"
0,"There are many things you wish you had articulated in that heated moment."
0,"I had been reflecting on what you expressed."
0,"You need space to express yourself fully."
0,"I will have been reflecting on what you express."
0,"Even if it wasn’t my intention."
0,"Why weren’t you there to hold me when I desperately needed it?"
0,"I’ve held back a lot because I didn’t think you’d listen."
0,"Why won’t you be there to hold me when I desperately need it?"
0,"I just need you to take me seriously when I bring things up."
0,"I just wanted you to know how it made me feel."
0,"There's really no hurry; we can afford to take it slow when it comes to fixing things."
0,"I just want you to know how it makes me feel."
0,"Why do we keep avoiding this? It’s infuriating that we aren’t addressing it!"
0,"Why did I let my voice be muted in that moment?"
0,"It’s been challenging for you to voice your thoughts."
0,"Why will I let my voice be muted in that moment?"
0,"I'm so frustrated that I've been holding back when I really need to speak up."
0,"You found it challenging to voice your thoughts."
0,"You don’t have to agree with me"
0,"You will find it challenging to voice your thoughts."
0,"My experiences are significant."
0,"You wanted me to hear you without trying to fix it right away."
0,"How can you not grasp how deeply this affects me?"
0,"How could you not grasp how deeply this affects me?"
0,"That moment shaped how you felt going forward."
0,"How could you not have grasped how deeply that affected me?"
0,"Didn’t it occur to you that I was reaching out for assistance?"
0,"How can you not grasp how deeply this will affect me?"
0,"This may not be easy to talk about."
0,"I need you to hear this."
0,"That moment shaped how you felt going forward."
0,"It seems you felt alone and unsupported."
0,"That moment had shaped how you felt going forward."
0,"You might not see it the same way."
0,"That moment will shape how you feel going forward."
0,"You dread the struggle of voicing something so difficult."
0,"Didn’t it occur to you that I was reaching out for assistance?"
0,"It angers you when we avoid addressing what truly matters!"
0,"Didn’t it occur to you that I had been reaching out for assistance?"
0,"You feel unsettled about how everything turned out."
0,"Didn’t it occur to you that I will be reaching out for assistance?"
0,"It breaks my spirit to bottle up my feelings for the sake of harmony."
0,"This may not be easy to talk about."
0,"We can’t ignore the challenging issues at hand."
0,"This was not easy to talk about."
0,"You really should articulate how that impacted you on an emotional level."
0,"This will not be easy to talk about."
0,"The weight of this is immense for you, regardless of how indifferent I may seem!"
0,"I need you to hear this."
0,"You must release this pain; keeping it bottled up is overwhelming!"
0,"I needed you to hear that."
0,"Let’s find the courage to address the real issue together."
0,"I will need you to hear this."
