type,sentence
0,"I truly hear you — and I'm determined to do better from here on out."
0,"I truly heard you — and I was determined to do better from that point on."
0,"I can see that this is challenging for you; it truly pains me to witness your struggle to express yourself."
0,"I can see that this was challenging for you; it truly pained me to witness your struggle to express yourself."
0,"I’m not trying to debate — my focus is on listening to you."
0,"I focused on listening to you — I wasn't trying to debate."
0,"It's such a lonely place to feel like your experience doesn't matter."
0,"It was such a lonely place to feel like your experience didn't matter."
0,"Please share how that made you feel."
0,"Please shared how that made you feel."
0,"Your feelings are valid just as they are; you want me to feel accepted without any conditions."
0,"Your feelings were valid just as they were; you wanted me to feel accepted without any conditions."
0,"This is valid."
0,"This was valid."
0,"You have every right to feel hurt."
0,"You had every right to feel hurt."
0,"Even if you can’t relate."
0,"Even if you couldn't relate."
0,"It's such a lonely place for you to feel like your experience doesn't matter."
0,"It was such a lonely place for you to feel like your experience didn't matter."
0,"It's really painful to think you might feel overwhelmed by what you feel."
0,"It was really painful to think you might have felt overwhelmed by what you felt."
0,"It devastates you to think you’ve ignored my feelings; please know you care."
0,"It devastated you to think you had ignored my feelings; please knew you cared."
0,"You’ve been trying to understand what I’m going through."
0,"You had been trying to understand what I was going through."
0,"I’m not being too sensitive — I’m being real."
0,"I wasn't being too sensitive — I was being real."
0,"Why can’t I just take a moment to ensure every aspect is recognized?"
0,"Why couldn’t I just take a moment to ensure every aspect was recognized?"
0,"I’ve carried this longer than anyone should have to."
0,"I had carried this longer than anyone should have had to."
0,"That must’ve been exceptionally difficult for you to carry for such a long time."
0,"That must have been exceptionally difficult for you to carry for such a long time."
0,"I’m allowed to feel how I feel."
0,"I was allowed to feel how I felt."
0,"I want to get better at listening to you."
0,"I wanted to get better at listening to you."
0,"It hurts to know I caused you pain; I’m committed to making things right between us."
0,"It hurt to know I caused you pain; I was committed to making things right between us."
0,"I deeply wish to understand your hardships; please share whatever you can!"
0,"I deeply wished to understand your hardships; please shared whatever you could!"
0,"It's so sad to realize how long I've suffered in silence."
0,"It was so sad to realize how long I had suffered in silence."
0,"How can you expect me to just dismiss what I'm feeling inside?"
0,"How could you expect me to just dismiss what I was feeling inside?"
0,"I never intended to make you feel that way — I genuinely want to improve."
0,"I never intended to make you feel that way — I genuinely wanted to improve."
0,"There’s no shame in feeling this way; you wish I could see how normal it is to struggle without carrying that guilt."
0,"There was no shame in feeling this way; you wished I could see how normal it was to struggle without carrying that guilt."
0,"I respect your strength in being vulnerable; it means a lot to me that you shared."
0,"I respected your strength in being vulnerable; it meant a lot to me that you shared."
0,"I want to ensure your experience receives the attention it deserves."
0,"I respect your strength in being vulnerable; it means a lot to me that you shared."
0,"Let's approach this with the seriousness it deserves — your perspective is important."
0,"I will respect your strength in being vulnerable; it will mean a lot to me that you shared."
0,"I recognize this isn’t easy for you, and it hurts me to see how hard it is for you to open up."
0,"I wanted to ensure your experience received the attention it deserved."
0,"It’s perfectly fine for us to sit with this discomfort together."
0,"I want to ensure your experience receives the attention it deserves."
0,"I sincerely ask you to let me be your safe space at this moment!"
