cluster_id,type,sentence
205,2,"We wouldn't be lost if you had followed the directions"
205,2,"We wouldn't be lost if you had followed the directions."
205,2,"It feels so frustrating that we’re wandering aimlessly because you couldn't stick to the plan."
205,2,"Why does it have to be this hard? Just following the directions would have saved us!"
205,2,"I can’t believe we’re lost right now; we had clear directions to follow!"
206,2,"Your unwillingness to compromise is the issue"
206,2,"Your unwillingness to compromise is the issue."
206,2,"It's really disheartening that you cling so tightly to your stance instead of meeting me halfway."
206,2,"I feel so overwhelmed by how you refuse to bend even a little; it's driving us apart."
206,2,"Can’t you see how your stubbornness is tearing us down? It makes me feel helpless."
207,2,"We wouldn't have these problems if you communicated better"
207,2,"We wouldn't have these problems if you communicated better."
207,2,"I'm so frustrated that miscommunication keeps spiraling into bigger problems for us."
207,2,"It hurts that we continually face these issues just because we can’t talk openly."
207,2,"The lack of clear communication is tearing us apart; why can't we just be honest?"
208,2,"If you had reminded me, I wouldn't have forgotten our anniversary"
208,2,"If you had reminded me, I wouldn't have forgotten our anniversary."
208,2,"It pains me that I missed our special day; a gentle reminder would have meant the world."
208,2,"I can’t express how disappointed I am about forgetting; I feel like I let you down."
208,2,"You knew how much it mattered to me, and now it feels like I've lost something precious."
209,2,"If you weren't so arrogant, people would approach you"
209,2,"If you weren't so arrogant, people would approach you."
209,2,"It’s heartbreaking to see that your attitude is pushing people away; they need to feel welcome."
209,2,"I wish you could see how your arrogance makes others hesitant to engage with you."
209,2,"It’s truly sad that your pride keeps you from building connections; you're missing out!"
210,2,"Your impatience is causing unnecessary stress"
210,2,"Your impatience is causing unnecessary stress."
210,2,"I'm at my wit's end with how your impatience is adding so much pressure on all of us."
210,2,"It’s exhausting to constantly deal with your need for haste; calm down a little, please!"
210,2,"Why does your urgency have to impact everyone negatively? It’s overwhelming!"
211,2,"Your procrastination put us in this position"
211,2,"Your procrastination put us in this position."
211,2,"I feel frustrated that your delay has led us to this challenging circumstance."
211,2,"It’s disappointing to realize how your tendency to put things off has gotten us here."
211,2,"I can’t help but feel anxious thinking about how your procrastination has messed us up."
212,2,"If you had been more attentive, this wouldn't have happened"
212,2,"If you had been more attentive, this wouldn't have happened."
212,2,"It really hurts that your lack of attention led to this situation; it means so much to me."
212,2,"I can’t shake this feeling of disappointment that a little more focus could have avoided this."
212,2,"It’s just sad to see how negligence can lead to such issues between us."
213,2,"I wouldn't feel insecure if you didn't flirt with others"
213,2,"I wouldn't feel insecure if you didn't flirt with others."
213,2,"It’s painful to watch you flirt; it makes me feel so inadequate and insecure."
213,2,"You have no idea how your flirting with others makes my heart ache with doubt."
213,2,"I wish you could understand the sadness I'm feeling when you engage with them like that."
214,2,"If you hadn't agreed to that, we wouldn't be in this mess"
214,2,"If you hadn't agreed to that, we wouldn't be in this mess."
214,2,"It’s incredibly frustrating that your agreement has landed us in this situation; I'm upset."
214,2,"Why didn't you think things through before agreeing? Now, look at where we are!"
214,2,"I can’t believe we’re dealing with this chaos because of your hasty commitment."
215,2,"We wouldn't be in debt if you didn't spend so much"
215,2,"We wouldn't be in debt if you didn't spend so much."
215,2,"I’m overwhelmed by the stress of our debt; your spending habits are really weighing me down."
215,2,"It hurts to see our financial struggles when it feels like your choices are leading us there."
215,2,"I just wish we could be more careful with money; it’s so stressful right now!"
216,2,"If you had communicated better, this misunderstanding wouldn't have occurred"
216,2,"If you had communicated better, this misunderstanding wouldn't have occurred."
216,2,"I'm so disappointed that our lack of clear communication led to this confusion."
216,2,"It’s frustrating that we could have avoided this if we had just talked openly."
216,2,"I feel hurt that this misunderstanding is driving a wedge between us; we shouldn’t be here."
217,2,"We wouldn't argue so much if you weren't so sensitive"
217,2,"We wouldn't argue so much if you weren't so sensitive."
217,2,"It’s exhausting to see arguments flare up when it feels like everything offends you."
217,2,"I wish you could see how your sensitivity is bringing tension into our relationship!"
217,2,"Can’t you realize that your reactions create needless conflict? I feel drained."
218,2,"If you were more supportive, I'd be more successful"
218,2,"If you were more supportive, I'd be more successful."
218,2,"It really hurts that I don’t feel your support; I need you to uplift me more."
218,2,"I feel so discouraged by the lack of encouragement; I wish you could believe in me."
218,2,"Your absence as a supporter makes me feel alone in my endeavors; it’s disheartening."
219,2,"If you hadn't borrowed the car, I wouldn't have been late"
219,2,"If you hadn't borrowed the car, I wouldn't have been late."
219,2,"I can’t help but feel frustrated that your decision directly caused this delay; it's upsetting."
219,2,"I’m really disappointed that my punctuality is affected because of your choice to borrow the car."
219,2,"It's hard to deal with the consequences of being late because of your borrowing; it feels unfair."
220,2,"Your carelessness led to this mistake"
220,2,"Your carelessness led to this mistake."
220,2,"I can’t help but feel so exasperated that a moment of carelessness has led to this mishap."
220,2,"It’s really frustrating to think that a little more attention could have prevented this error."
220,2,"I'm upset that your lack of care has caused such a significant mistake; it feels avoidable."
221,2,"If you were more attentive, you'd notice these details"
221,2,"If you were more attentive, you'd notice these details."
221,2,"I’m genuinely frustrated that your lack of attention is causing you to overlook important things."
221,2,"It’s disappointing to see how little focus you have on the details that matter; please notice!"
221,2,"I really wish you could see the significance of these details; it’s affecting us!"
222,2,"I wouldn't have overreacted if you hadn't lied"
222,2,"I wouldn't have overreacted if you hadn't lied."
222,2,"It’s really painful to know that your dishonesty pushed me to a breaking point; I regret it."
