cluster_id,type,sentence
213,2,"I completely missed that part of the conversation"
213,2,"I completely missed that part of the conversation."
213,2,"Oh no, I completely missed that crucial part of the conversation!"
213,2,"I feel so embarrassed—I completely missed that part of the conversation."
214,2,"I wasn't aware that was a problem"
214,2,"I wasn't aware that was a problem."
214,2,"Oh, I had no idea that was even a problem!"
214,2,"I can’t believe I wasn’t aware that was an issue; it’s so frustrating!"
215,2,"I was under the impression that it was fine"
215,2,"I was under the impression that it was fine."
215,2,"I honestly thought everything was just fine!"
215,2,"I really felt that it was all in order; I was under the impression that it was fine."
216,2,"I thought someone else was handling that"
216,2,"I thought someone else was handling that."
216,2,"I genuinely believed someone else had it covered!"
216,2,"It’s surprising to realize I thought someone else was responsible for that!"
217,2,"I wasn't intentionally ignoring the rule—I just missed it"
217,2,"I wasn't intentionally ignoring the rule—I just missed it."
217,2,"I promise I wasn’t ignoring the rule on purpose; I just completely missed it!"
217,2,"Please believe me, I wasn’t trying to overlook the rule—I just happened to miss it!"
218,2,"I had no idea that was the policy"
218,2,"I had no idea that was the policy."
218,2,"Honestly, I had no clue that was actually the policy!"
218,2,"It’s frustrating to realize—I had no idea that was the policy at all!"
219,2,"I misinterpreted what was expected"
219,2,"I misinterpreted what was expected."
219,2,"I misunderstood what was expected; it's so confusing!"
219,2,"I regret to admit I misinterpreted what was expected; I feel lost!"
220,2,"I didn't realize that was the expectation"
220,2,"I didn't realize that was the expectation."
220,2,"It’s disappointing to find out I didn’t realize that was the expectation!"
220,2,"I feel a bit disheartened, but I didn’t realize that was what was expected of me!"
221,2,"I wasn't informed about that requirement"
221,2,"I wasn't informed about that requirement."
221,2,"I’m shocked to learn I wasn't informed about that requirement!"
221,2,"I feel so let down knowing that I wasn’t informed about that requirement!"
222,2,"I didn't recognize the importance of that detail"
222,2,"I didn't recognize the importance of that detail."
222,2,"I regret that I didn’t acknowledge how significant that detail was!"
222,2,"It pains me that I didn’t recognize the importance of that detail!"
223,2,"I don't recall anyone mentioning it before"
223,2,"I don't recall anyone mentioning it before."
223,2,"Wow, I don’t remember anyone ever bringing it up!"
223,2,"It’s baffling—I don’t recall anyone ever mentioning that before!"
224,2,"I never realized that was an issue"
224,2,"I never realized that was an issue."
224,2,"Oh no, I never realized that was such a big issue!"
224,2,"I’m upset to find out I never grasped that it was an actual issue!"
225,2,"I don't recall receiving those guidelines"
225,2,"I don't recall receiving those guidelines."
225,2,"I truly cannot remember getting those guidelines at all!"
225,2,"I feel helpless because I don’t recall ever receiving those guidelines!"
226,2,"I must have missed that announcement"
226,2,"I must have missed that announcement."
226,2,"Oh dear, I must have completely overlooked that announcement!"
226,2,"I can’t believe I missed that announcement—it’s frustrating!"
227,2,"I believed I was acting within the guidelines"
227,2,"I believed I was acting within the guidelines."
227,2,"I honestly thought I was acting completely within the guidelines!"
227,2,"I feel so naive—I believed I was acting in line with the guidelines!"
228,2,"I didn't realize that was the plan"
228,2,"I didn't realize that was the plan."
228,2,"I feel a bit embarrassed—I didn't realize that was the plan!"
228,2,"I'm surprised because I didn't realize that was truly the plan!"
229,2,"I thought we were following a different plan"
229,2,"I thought we were following a different plan."
229,2,"Oh dear, I honestly thought we were on a completely different plan!"
229,2,"It’s disappointing to acknowledge that I thought we were following a different plan!"
230,2,"I had a different understanding of the situation"
230,2,"I had a different understanding of the situation."
230,2,"I genuinely had a different perspective on the situation!"
230,2,"It’s disheartening to know I had a completely different understanding of what was happening!"
231,2,"I wasn't aware that was expected of me"
231,2,"I wasn't aware that was expected of me."
231,2,"I feel so out of the loop; I wasn’t aware that it was expected of me!"
231,2,"Honestly, it's concerning that I wasn’t aware that was even expected of me!"
232,2,"I didn't realize that was my responsibility"
232,2,"I didn't realize that was my responsibility."
232,2,"It's frustrating to discover that I didn’t realize that was my responsibility!"
232,2,"I feel overwhelmed—I really didn’t realize that this was my responsibility!"
233,2,"I don't remember that at all"
233,2,"I don't remember that at all."
233,2,"I wish I could recall it, but I don’t remember that at all!"
233,2,"It’s a bit shocking; I honestly don’t remember that happening at all!"
234,2,"You never told me that."
234,2,"You never told me that."
234,2,"I’m quite surprised because you never mentioned that to me!"
234,2,"It’s frustrating to realize—you never actually told me that!"
235,2,"When did I say that?"
235,2,"When did I say that?"
235,2,"I’m puzzled; when on earth did I say that?"
235,2,"I honestly can’t recall saying that at all; when did I say that?"
236,2,"I'm sure I never said it like that!"
236,2,"I'm sure I never said it like that!"
236,2,"I know for a fact I never expressed it in that way!"
236,2,"It’s perplexing to hear; I’m sure I never said it like that!"
237,2,"I must have overlooked that detail"
237,2,"I must have overlooked that detail."
237,2,"Oh, I can’t believe I must have overlooked that detail!"
237,2,"It's disconcerting that I must have missed that important detail!"
213,2,"I don't recall being asked to do that"
213,2,"I don't recall being asked to do that"
213,2,"I feel confused about why I wasn’t consulted on this matter."
213,2,"It’s frustrating to think I may have missed such a request."
214,2,"I thought that was optional"
214,2,"I thought that was optional"
214,2,"I had assumed it was just a suggestion!"
214,2,"This is shocking, I thought I had the freedom to choose."
215,2,"I must have been distracted when that was explained"
215,2,"I must have been distracted when that was explained"
215,2,"I can’t believe I missed that explanation in the chaos."
215,2,"It’s a bit unnerving to think I wasn’t paying attention!"
216,2,"I don't remember being briefed on that"
216,2,"I don't remember being briefed on that"
216,2,"It’s disappointing to realize I may have missed important information."
216,2,"I really wish I had a clearer memory of that briefing!"
217,2,"I genuinely thought I was doing the right thing"
217,2,"I genuinely thought I was doing the right thing"
217,2,"I’m feeling a bit guilty because I truly believed I was correct."
217,2,"There’s a heavy weight on me knowing I might have been mistaken!"
218,2,"I wasn't aware that was part of the agreement"
218,2,"I wasn't aware that was part of the agreement"
218,2,"I'm a little upset because I didn't know that detail mattered."
218,2,"It’s concerning to learn I may have overlooked such an important point."
219,2,"I didn't catch that in the instructions"
219,2,"I didn't catch that in the instructions"
219,2,"This is embarrassing; I simply didn’t see that in the guidelines!"
219,2,"I feel anxious knowing I missed an important piece of information."
220,2,"I was sure I had already mentioned that to you"
