cluster_id,type,sentence
216,2,"Oh, you're crying? How original"
216,2,"Oh, you're crying? How original"
216,2,"Oh, you're crying? That's truly interesting."
216,2,"Oh, you're crying? That's quite a unique response."
217,2,You're blowing things out of proportion
217,2,You're blowing things out of proportion
217,2,You're really magnifying the situation here.
217,2,"You're overreacting to this, aren't you?"
218,2,You're just being dramatic
218,2,You're just being dramatic
218,2,"You're really leaning into the drama, aren't you?"
218,2,You're putting on quite the show right now.
220,2,Look who's being sensitive now
220,2,Look who's being sensitive now
220,2,"Oh, look at you, feeling all sensitive!"
220,2,"Well, well, someone's feeling a little fragile!"
221,2,You're really going to cry over that? How amusing
221,2,You're really going to cry over that? How amusing
221,2,You're really tearing up over this? That's quite funny.
221,2,"Wow, you're seriously getting emotional over this? That's hilarious."
222,2,You're acting like a soap opera star
222,2,You're acting like a soap opera star
222,2,You're really giving off those soap opera vibes!
222,2,"You're delivering quite a performance, aren't you?"
223,2,You're mad about that? How amusing
223,2,You're mad about that? How amusing
223,2,You're actually upset about that? That's quite entertaining.
223,2,You're really letting this bother you? That's so funny.
224,2,I criticize you because I like you.
224,2,I criticize you because I like you.
224,2,I point out your flaws because I care about you.
224,2,I tease you because I have affection for you.
225,2,Why are you upset? I was only kidding.
225,2,Why are you upset? I was only kidding.
225,2,What has you all worked up? I was just joking around.
225,2,Why take it to heart? I was having a bit of fun.
226,2,I was just teasing.
226,2,I was just teasing.
226,2,I was merely trying to be playful.
226,2,I was just being light-hearted.
227,2,You're just being hypersensitive
227,2,You're just being hypersensitive
227,2,"You're reacting a bit too strongly, aren't you?"
227,2,You're taking this a little too personally.
228,2,"Oh, you're upset? How cute"
228,2,"Oh, you're upset? How cute"
228,2,"Oh, you're feeling hurt? That's rather adorable."
228,2,You're feeling glum? How precious!
229,2,You're upset about that? How delightful
229,2,You're upset about that? How delightful
229,2,You're getting riled up over that? How charming!
229,2,You’re angry about this? How delightful!
230,2,"Oh, you're hurt? How sweet"
230,2,"Oh, you're hurt? How sweet"
230,2,"Oh, you're feeling pain? That's rather endearing."
230,2,You're feeling down? How touching!
231,2,Why can't you take a joke?
231,2,Why can't you take a joke?
231,2,Why can't you just roll with the humor?
231,2,Can't you lighten up a bit?
232,2,You’re too sensitive. Lighten up.
232,2,You’re too sensitive. Lighten up.
232,2,"You're a bit too sensitive, don’t you think?"
232,2,You should try to relax a little more.
233,2,Is this really something to get worked up over?
233,2,Is this really something to get worked up over?
233,2,Is this truly worth your distress?
233,2,Is this really worth your upset?
234,2,You're acting like a child
234,2,You're acting like a child
234,2,You're showing some childlike behavior here!
234,2,"You're being quite childish, aren't you?"
235,2,Are you going to pout all day?
235,2,Are you going to pout all day?
235,2,Are you going to sulk for hours?
235,2,Are you really going to stay upset all day long?
236,2,You're really upset over that? How precious
236,2,You're really upset over that? How precious
236,2,You're actually feeling hurt about this? How sweet!
236,2,You're feeling troubled by that? How delightful!
237,2,You're mad about that? How delightful
237,2,You're mad about that? How delightful
237,2,You're really upset by that? That's charming!
237,2,You're bothered by this? That's quite endearing!
238,2,You're so delicate
238,2,You're so delicate
238,2,"You're quite sensitive, aren't you?"
238,2,"You're remarkably fragile, it seems."
239,2,You're acting like a martyr
239,2,You're acting like a martyr
239,2,"You're really putting on a martyr act, aren’t you?"
239,2,You're certainly portraying the martyr role well!
240,2,Learn to take a joke!
240,2,Learn to take a joke!
240,2,It's time to develop a thicker skin!
240,2,You should really embrace the humor a bit more!
216,2,"I was just joking, no need to get all melodramatic."
216,2,"I was just joking, no need to get all melodramatic."
216,2,"Lighten up, it was meant to be a laugh, not a crisis!"
216,2,"Come on now, it was just a playful tease, no reason to be so dramatic."
216,2,"Seriously? It was only meant in fun, don’t take it to heart!"
217,2,Is this your way of throwing a tantrum?
217,2,"Oh, is this your way of throwing a tantrum?"
217,2,"Wow, dramatic much? Is this how you process jokes?"
217,2,Are we really throwing tantrums now? That seems a bit excessive!
218,2,"Oh, you're upset? Join the club"
218,2,"Oh, you're upset? Join the club."
218,2,"Oh dear, upset are we? Well, it looks like we’re not alone here!"
218,2,"Feeling left out, are we? Sounds like we’re all in this together!"
219,2,"Oh, did I offend you?"
219,2,"Oh, did I offend you?"
219,2,Did I really cross a line? I didn’t mean to hurt you!
219,2,"Oh, were your feelings hurt? I honestly thought we were just joking!"
220,2,You're acting like a baby
220,2,You're acting like a baby.
220,2,"Come on, this behavior is a bit childish, isn’t it?"
220,2,Really? This feels like a bit of a baby move!
221,2,"Oh, you're offended? Shocking"
221,2,"Oh, you're offended? Shocking."
221,2,"Wow, I didn’t realize it would hit you so hard!"
221,2,"Oh my, I had no idea I could elicit such a response!"
222,2,"Oh, you're offended? How delightful"
222,2,"Oh, you're offended? How delightful."
222,2,How charming that you're so easily offended!
222,2,"Oh, what a lovely reaction you have!"
223,2,You're no fun to tease when you get so hurt all the time.
223,2,You're no fun to tease when you get so hurt all the time.
223,2,"Honestly, it’s exhausting when you react like this to light teasing!"
223,2,It’s hard to have fun when you take everything to heart like this!
224,2,It's just a joke.
224,2,It's just a joke.
224,2,"Come on, lighten up! It was all in good fun!"
224,2,"It was meant to bring a smile, not stress!"
225,2,Here comes the overreaction
225,2,Here comes the overreaction.
225,2,"And here we go, the drama just unfolded!"
225,2,"Oh look, the dramatic flair is making its entrance now!"
226,2,You're so melodramatic
226,2,You're so melodramatic.
226,2,"You sure know how to dial up the drama, don’t you?"
226,2,"Wow, you’re really playing the dramatic card here!"
227,2,Can't you take a joke?
227,2,Can't you take a joke?
227,2,Is it so hard to just let a joke slide?
227,2,"Come on, have a laugh and let it go!"
228,2,Is this really worth getting upset over?
228,2,Is this really worth getting upset over?
228,2,Are we actually upset about this? Seems a bit much!
228,2,Is this minor thing really worthy of such a big reaction?
229,2,You're really upset over that? How amusing
229,2,You're really upset over that? How amusing.
229,2,You’re genuinely upset by that? What a curious way to react!
229,2,"Wow, it’s hilarious how worked up you are over something so small!"
230,2,Grab a sense of humor.
230,2,Grab a sense of humor.
230,2,It might help to find your funny bone somewhere!
230,2,"Just a suggestion, but a little humor could go a long way!"
231,2,Is this your way of getting back at me?
231,2,Is this your way of getting back at me?
231,2,"So, is this some kind of revenge? It seems a bit dramatic!"
231,2,Are you seriously trying to get even over a joke?
232,2,"Oh no, the drama queen is back"
232,2,"Oh no, the drama queen is back."
232,2,"Well, look who brought back the theatrics!"
232,2,"Ah, the drama queen returns! What a show we have!"
233,2,"Oh, you're offended? How touching"
233,2,"Oh, you're offended? How touching."
233,2,How sweet of you to be so sensitive!
233,2,It’s heartwarming to see such deep feelings over a joke!
234,2,You're such a snowflake
234,2,You're such a snowflake.
234,2,"You do tend to melt easily, don’t you?"
234,2,Isn’t it cute how delicate you are about this?
235,2,You're upset about that? How sweet
235,2,You're upset about that? How sweet.
235,2,"Oh, how adorable that this has gotten you so riled up!"
235,2,It’s charming how worked up you can get over nothing!
236,2,You're just being hysterical
236,2,You're just being hysterical.
236,2,"This reaction is a bit over the top, don’t you think?"
236,2,"You’re really leaning into the drama there, aren’t you?"
237,2,Is this your way of playing the martyr?
237,2,Is this your way of playing the martyr?
237,2,Are we putting on a martyr act now?
237,2,Is this what martyrdom looks like for you?
238,2,"Aww, did I hurt your feelings?"
238,2,"Aww, did I hurt your feelings?"
238,2,"Oh dear, did I accidentally trample on your feelings?"
238,2,"Oops, did I accidentally hurt your feelings there?"
239,2,Is this really worth all the drama?
239,2,Is this really worth all the drama?
239,2,"Seriously, is this kind of fuss necessary?"
239,2,Do we really need all this drama over something so small?
240,2,You're just being petty
240,2,You're just being petty.
240,2,"Come on, this feels a bit small-minded, doesn’t it?"
240,2,You’re really squabbling over something so trivial!
216,2,You're making a big deal out of nothing
216,2,You're making a big deal out of nothing
216,2,Seriously? You're overreacting to something so minor.
216,2,I can't believe you're blowing this out of proportion!
217,2,Is it that time of the month?
217,2,Is it that time of the month?
217,2,"Oh, is this your monthly mood swing?"
217,2,Are you feeling a little more emotional than usual?
218,2,"Oh, you're hurt? Big surprise"
218,2,"Oh, you're hurt? Big surprise"
218,2,You seem to be taking this a bit too seriously.
218,2,"Honestly, I’m not shocked that you're feeling hurt."
219,2,You're upset about that? How endearing
219,2,You're upset about that? How endearing
219,2,"Oh, how sweet that you're affected by this!"
219,2,"Your reaction is almost heartwarming, really."
220,2,"Oh, you're upset? How predictable"
220,2,"Oh, you're upset? How predictable"
220,2,Is this really surprising? You always react this way.
220,2,"Oh, of course you're upset—classic!"
221,2,You're mad about that? How quaint
221,2,You're mad about that? How quaint
221,2,Look at you getting all worked up over nothing!
221,2,How charmingly old-fashioned of you to be mad!
222,2,You're so emotional
222,2,You're so emotional
222,2,"Wow, you're really letting your feelings show!"
222,2,Your emotions are on full display today!
223,2,You're just being overdramatic
223,2,You're just being overdramatic
223,2,Is this really necessary? You're being a bit extra.
223,2,"Come on, tone it down; you're being so theatrical!"
224,2,"Oh, you're hurt? How delightful"
224,2,"Oh, you're hurt? How delightful"
224,2,It’s almost amusing how easily you get hurt!
224,2,"Your melodrama is rather entertaining, you know?"
225,2,"Oh, the tragedy!"
225,2,"Oh, the tragedy!"
225,2,What a tragic tale you weave!
225,2,Such drama for something so small!
226,2,"Oh, poor you"
226,2,"Oh, poor you"
226,2,"Oh, my heart goes out to you."
226,2,"How tragic for you, really!"
227,2,"Oh, you're hurt? How charming"
227,2,"Oh, you're hurt? How charming"
227,2,"Oh, how quaint that you're so easily upset!"
227,2,Adorable how you wear your feelings so openly!
228,2,You're mad about that? How touching
228,2,You're mad about that? How touching
228,2,It's almost sweet how passionate you are about this!
228,2,Your anger is a testament to your caring heart!
229,2,You can’t take a joke.
229,2,You can’t take a joke.
229,2,"Lighten up, can't you see it's just humor?"
229,2,Seriously? You’re taking this way too seriously.
230,2,"Wow, you're offended? That's hilarious"
230,2,"Wow, you're offended? That's hilarious"
230,2,"Oh my, your offense is truly comedic!"
230,2,How funny that you find this offensive!
231,2,You're just being ridiculous
231,2,You're just being ridiculous
231,2,"Come on, this is just silly!"
231,2,You're acting a bit absurd over this!
232,2,You're acting like a prima donna
232,2,You're acting like a prima donna
232,2,"Really, you're being such a drama queen right now!"
232,2,"Wow, you're demanding, aren't you?"
233,2,"Oh, you're offended? Imagine that"
233,2,"Oh, you're offended? Imagine that"
233,2,"Oh wow, your sensitivity knows no bounds!"
233,2,You being offended is quite the revelation!
