cluster_id,type,sentence
208,2,After all I’ve done for you.
208,2,After all I’ve done for you.
208,2,"Can't you see the weight of my sacrifices? After everything we've been through, this hurts more than I can express."
208,2,"I gave everything for you, only to feel abandoned—what happened to our bond?"
209,2,"I thought family meant supporting each other, but I guess I was wrong"
209,2,"I thought family meant supporting each other, but I guess I was wrong"
209,2,"My heart aches realizing the truth; I believed in us, but now I feel so alone."
209,2,"Family was supposed to be our safe haven, yet here I stand, feeling betrayed and let down."
210,2,"I endured pain for your sake, and now you turn away from me"
210,2,"I endured pain for your sake, and now you turn away from me"
210,2,"The sacrifices I made were monumental, yet your rejection feels like a dagger to my heart."
210,2,How could you turn your back on me after everything I endured for you?
211,2,"I gave up everything to support you, and now you won't even consider my feelings"
211,2,"I gave up everything to support you, and now you won't even consider my feelings"
211,2,It's heartbreaking to see my selfless love and support met with such indifference.
211,2,The devotion I showed seems to mean nothing when I needed you to feel the same.
212,2,"I gave you the best years of my life, and now you treat me this way"
212,2,"I gave you the best years of my life, and now you treat me this way"
212,2,"You were once my world, but now that light dims as I face your coldness."
212,2,The years I devoted to you now feel like a burden I carry alone; it's unbearable.
213,2,"I sacrificed my dreams for yours, and this is how you repay me"
213,2,"I sacrificed my dreams for yours, and this is how you repay me"
213,2,"I'd always believed in your potential, only to find mine tossed aside and forgotten."
213,2,The dreams I let go of weigh heavy on my soul as I watch you overlook my sacrifices.
214,2,I do everything for you.
214,2,I do everything for you.
214,2,Each gesture is met with silence; I wish you could understand how deeply this affects me.
214,2,It's exhausting giving my all when I feel invisible in the eyes of the one I cherish.
215,2,"I thought you'd remember my kindness, but clearly, you don't"
215,2,"I thought you'd remember my kindness, but clearly, you don't"
215,2,"Fading kindness is painful; I thought it would remain remembered, yet here we are..."
215,2,Did my compassion mean so little to you? It feels like it was cast aside.
216,2,"But I got you this, you're being ungrateful."
216,2,"But I got you this, you're being ungrateful."
216,2,"This moment stings because my intentions were for you, and yet, I'm met with such disappointment."
216,2,"Every effort, every piece of my heart I gave feels worthless when you don't appreciate it."
217,2,"I gave up my passions for you, and now you ignore mine"
217,2,"I gave up my passions for you, and now you ignore mine"
217,2,My heart aches as I watch you thrive while my own passions wither away in silence.
217,2,"I hoped you would honor my sacrifices, but it feels like I'm lost in your shadow."
218,2,"I thought you'd appreciate my sacrifices, but clearly, you don't"
218,2,"I thought you'd appreciate my sacrifices, but clearly, you don't"
