cluster_id,type,sentence
101,1,"I thought you'd appreciate my efforts"
101,1,"I thought you'd appreciate my efforts"
101,1,"I truly believed that my hard work would mean something to you."
101,1,"I really hoped you'd value what I've done and acknowledge it."
101,1,"I was under the impression that you would genuinely recognize my dedication."
102,1,"I didn't think you'd disappoint me like this"
102,1,"I didn't think you'd disappoint me like this"
102,1,"I never imagined you would let me down in such a painful way."
102,1,"I'm crushed to see that you could betray my trust like this."
102,1,"I honestly thought you would rise to the occasion, not let me down."
103,1,"I see where your priorities lie"
103,1,"I see where your priorities lie"
103,1,"It's become painfully clear to me what truly matters to you."
103,1,"I finally understand the hierarchy of your interests now."
103,1,"I've come to realize where your true commitments stand."
104,1,"I guess I'm just a burden to you"
104,1,"I guess I'm just a burden to you"
104,1,"I can't help but feel like I'm more of a hindrance than a help."
104,1,"It's hard to accept, but I feel like I'm just in your way."
104,1,"I fear I've become an unwelcome weight in your life."
105,1,"Don't worry about me; I'll manage somehow"
105,1,"Don't worry about me; I'll manage somehow"
105,1,"You needn't concern yourself; I'll find a way through this."
105,1,"I assure you, I'll figure things out on my own, no matter what."
105,1,"It's alright; I'll cope and manage just fine by myself."
106,1,"I've done everything for you and you treat me like a piece of shit!"
106,1,"I've done everything for you and you treat me like a piece of shit!"
106,1,"After all my sacrifices, the disrespect I've faced is devastating!"
106,1,"I've poured my heart into this, and yet you devalue me utterly!"
106,1,"It's infuriating to be dismissed like I'm worthless after all I've done!"
107,1,"Don't worry about me; I'll just suffer in silence"
107,1,"Don't worry about me; I'll just suffer in silence"
107,1,"You won't hear a peep from me as I quietly endure this pain."
107,1,"I'll keep my struggles to myself; no need for your concern."
107,1,"I'll bear this burden alone, without a word of complaint."
108,1,"I was always there for you, but I can't say the same now"
108,1,"I was always there for you, but I can't say the same now"
108,1,"I stood by your side unwaveringly, but that loyalty feels one-sided now."
108,1,"I was your steadfast support, but I can't feel that from you anymore."
108,1,"My dedication to you has been met with indifference; it's heartbreaking."
109,1,"I didn't think you'd let me down like this"
109,1,"I didn't think you'd let me down like this"
109,1,"I never predicted you would falter in such a significant way."
109,1,"This disappointment is something I truly didn't see coming."
109,1,"I genuinely thought you would hold to your promises, not disappoint me."
110,1,"I didn't realize you'd abandon me"
110,1,"I didn't realize you'd abandon me"
110,1,"I was blind to the fact that you'd walk away when I needed you most."
110,1,"It astonishes me to see you turn your back and leave me behind."
110,1,"I never expected you to leave me feeling so utterly forsaken."
111,1,"I guess I'm not important to you"
111,1,"I guess I'm not important to you"
111,1,"It’s clear to me now that I don’t matter as I thought I did."
111,1,"I have come to understand my place in your life, and it's not significant."
111,1,"I painfully realize that my existence does not impact you deeply."
112,1,"I suppose I expected too much from you"
112,1,"I suppose I expected too much from you"
112,1,"I recognize now that my hopes for you were perhaps unrealistic."
112,1,"Maybe my belief in what you could offer was overly optimistic."
112,1,"I guess I set my expectations higher than you were willing to meet."
113,1,"I suppose my needs aren't important"
113,1,"I suppose my needs aren't important"
113,1,"I've come to terms with the fact that my desires don't seem to matter to you."
113,1,"It feels like my needs have become inconsequential in your eyes."
113,1,"I recognize now that what I want isn’t a priority for you at all."
114,1,"I see now how much you really care"
114,1,"I see now how much you really care"
114,1,"The reality of your indifference has finally hit me hard."
114,1,"It's apparent to me now just how little you value our connection."
114,1,"I've come to realize that your care for me isn't as strong as I thought."
115,1,"I see now that I can't count on you"
115,1,"I see now that I can't count on you"
115,1,"I've come to grips with the heartbreaking truth that I cannot rely on you."
115,1,"It's become painfully obvious that your support is a fantasy for me."
115,1,"I recognize now that depending on you would be futile."
116,1,"I see now that I was wrong about you"
116,1,"I see now that I was wrong about you"
116,1,"I must accept the harsh truth that my perceptions of you were misguided."
116,1,"This realization that I was mistaken about your character cuts deep."
116,1,"It's disheartening to see now that I misjudged who you truly are."
117,1,"After all I've done for you, this is how you repay me?"
117,1,"After all I've done for you, this is how you repay me?"
117,1,"After my sacrifices, this betrayal feels like a cruel joke."
117,1,"Is this really what my unwavering support has amounted to?"
117,1,"It’s astonishing to think that my dedication has led to such a betrayal!"
118,1,"We'd be living in a car if I didn't work so hard."
118,1,"We'd be living in a car if I didn't work so hard."
118,1,"Without my relentless efforts, our situation would be dire, to say the least."
118,1,"It's my hard work that keeps us afloat; I wonder if you realize that."
118,1,"Without my striving, our lives would have fallen apart by now."
119,1,"I thought you'd be there when I needed you"
119,1,"I thought you'd be there when I needed you"
119,1,"I truly believed you would step up and support me during my struggles."
119,1,"My heart is heavy knowing I hoped for your presence and you weren’t there."
119,1,"I expected your support at my lowest, but you left me alone instead."
120,1,"I hope you're happy with the choice you've made"
120,1,"I hope you're happy with the choice you've made"
120,1,"I genuinely wish you fulfillment in whatever you’ve decided."
120,1,"May you find joy in your choices, even if they're at my expense."
120,1,"I sincerely hope you are content with the path you’ve chosen."
121,1,"I guess I'm just here for your convenience"
121,1,"I guess I'm just here for your convenience"
