cluster_id,type,sentence
1,0,"I can tell this isn’t easy for you."
1,0,"I can tell this isn’t easy for you."
1,0,"I can see that this is really challenging for you."
1,0,"It's clear that this is quite difficult for you to handle."
1,0,"I sense that this situation is not easy for you at all."
2,0,"I didn’t realize that affected you so deeply — thank you for telling me."
2,0,"I didn’t realize that affected you so deeply — thank you for telling me."
2,0,"I was unaware of how profoundly that impacted you — I genuinely appreciate your openness."
2,0,"I truly didn't understand the depth of that impact on you — thank you for sharing."
2,0,"I wasn’t aware of how seriously that affected you — I'm grateful you felt comfortable to tell me."
3,0,"You’re not making this up — I believe you."
3,0,"You’re not making this up — I believe you."
3,0,"I can see you're being sincere — I trust your feelings."
3,0,"Your words are authentic, and I wholeheartedly believe you."
3,0,"I want you to know that I recognize your truth — I believe you completely."
4,0,"I appreciate your honesty, even if it’s difficult to hear."
4,0,"I appreciate your honesty, even if it’s difficult to hear."
4,0,"Your truth is valuable to me, even though it's hard to digest."
4,0,"I value your openness, even when it’s challenging to listen to."
4,0,"I recognize the courage it takes to be honest, and I appreciate it, despite the discomfort."
5,0,"Let’s explore what’s really going on underneath this."
5,0,"Let’s explore what’s really going on underneath this."
5,0,"Let’s dig deeper into what lies beneath this situation."
5,0,"I think we should investigate what is truly happening under the surface."
5,0,"Let's uncover the real issues that might be hidden in this matter."
6,0,"What you felt is important to me."
6,0,"What you felt is important to me."
6,0,"Your feelings truly matter to me."
6,0,"I find your feelings significant and worthy of attention."
6,0,"I consider what you felt to be incredibly important."
7,0,"We don’t have to resolve it all — let’s just start with listening."
7,0,"We don’t have to resolve it all — let’s just start with listening."
7,0,"There’s no need to fix everything right now — let's focus on listening for the moment."
7,0,"We don’t need to find solutions just yet; let’s begin by simply listening."
7,0,"It's okay if we can't solve everything — let's prioritize listening first."
8,0,"We’ve both held in too much — it’s time to let it out."
8,0,"We’ve both held in too much — it’s time to let it out."
8,0,"We've both bottled up so many emotions — it's essential that we release them now."
8,0,"We have kept too much inside — now is the moment to express ourselves."
8,0,"We've been holding back for too long — it's finally time to share what we've kept in."
9,0,"That feeling makes sense, given what you went through."
9,0,"That feeling makes sense, given what you went through."
9,0,"Your feelings are completely understandable based on your experiences."
9,0,"Given your journey, your emotions are completely justified."
9,0,"In light of your past, it's reasonable for you to feel that way."
10,0,"This sounds important — let’s unpack it together."
10,0,"This sounds important — let’s unpack it together."
10,0,"This seems significant — let's break it down together."
10,0,"What you're saying appears to be crucial — let's take the time to explore it."
10,0,"This feels like a vital topic — how about we delve into it together?"
11,0,"You don’t need to justify your emotions to me."
11,0,"You don’t need to justify your emotions to me."
11,0,"There’s no need for you to explain your feelings to me; they are valid as they are."
11,0,"You shouldn’t feel obligated to rationalize your emotions to me."
11,0,"Your feelings stand on their own, and you owe no one an explanation."
12,0,"This has clearly been weighing on you."
12,0,"This has clearly been weighing on you."
12,0,"It’s evident that this has been a burden for you."
12,0,"It’s obvious that this has been heavy on your heart."
12,0,"This has undoubtedly been a significant weight for you to carry."
13,0,"This clearly left a mark — let’s talk about it."
13,0,"This clearly left a mark — let’s talk about it."
13,0,"It’s plain to see that this had a profound effect on you — let’s discuss it."
13,0,"This has definitely impacted you — I'm here to talk whenever you're ready."
13,0,"It’s apparent that this has affected you deeply — let’s open up about it."
14,0,"Please tell me how that made you feel."
14,0,"Please tell me how that made you feel."
14,0,"I invite you to share your feelings about that experience with me."
14,0,"Can you express how that affected you emotionally?"
14,0,"Please share your feelings regarding that situation with me."
15,0,"Let’s sit with your experience for a moment."
15,0,"Let’s sit with your experience for a moment."
15,0,"How about we take a moment to reflect on your experience?"
15,0,"Let’s pause and really contemplate what you’ve gone through."
15,0,"Let's take a moment to truly acknowledge your experience."
16,0,"Even if I don’t get it, I still support you."
16,0,"Even if I don’t get it, I still support you."
16,0,"I may not fully understand, but know that I am here for you."
16,0,"I might not grasp it completely, but my support for you is unwavering."
16,0,"Even if it's unclear to me, my support for you remains strong."
17,0,"You shouldn’t have had to go through that alone."
17,0,"You shouldn’t have had to go through that alone."
17,0,"You deserved support during that time; you shouldn’t have faced it alone."
17,0,"No one should have to experience that in solitude."
17,0,"You absolutely should not have had to endure that by yourself."
18,0,"There’s a reason your voice shakes when you talk about this. Let’s explore it."
18,0,"There’s a reason your voice shakes when you talk about this. Let’s explore it."
18,0,"Your trembling voice has a story — let’s investigate what’s behind it together."
18,0,"The quiver in your voice signifies something important — let’s uncover it together."
18,0,"Your shaky voice speaks volumes — let’s delve into what that means."
19,0,"You’re not being dramatic — you’re being human."
19,0,"You’re not being dramatic — you’re being human."
19,0,"This isn’t theatrics; it’s a valid human response."
19,0,"What you're feeling is not over-the-top; it’s purely human."
19,0,"You're expressing genuine human emotions, not drama."
20,0,"You’re allowed to carry that emotion without explanation."
20,0,"You’re allowed to carry that emotion without explanation."
20,0,"Your feelings are valid and do not require justification."
20,0,"You are entitled to hold that emotion without having to explain it."
20,0,"It's perfectly acceptable for you to feel that way without needing to clarify."
21,0,"I’m listening, and I want to understand."
21,0,"I’m listening, and I want to understand."
21,0,"I’m here, ready to listen, and eager to understand your perspective."
21,0,"I’m attentively listening and hoping to grasp what you’re expressing."
21,0,"I’m open to hearing you out, and I genuinely want to comprehend."
22,0,"I want to do better at understanding you."
22,0,"I want to do better at understanding you."
22,0,"I aspire to improve my ability to understand your thoughts and feelings."
22,0,"My goal is to enhance my understanding of you."
22,0,"I’m committed to becoming better at comprehending your experiences."
23,0,"I want to make space for your feelings."
23,0,"I want to make space for your feelings."
23,0,"I aim to create an environment where your emotions can be expressed freely."
23,0,"My wish is to provide room for your feelings to be shared."
23,0,"I want to cultivate a space that honors and welcomes your emotions."
24,0,"You didn’t deserve to feel silenced."
24,0,"You didn’t deserve to feel silenced."
24,0,"No one should ever have to feel muted like that — you deserve to be heard."
