cluster_id,type,sentence
365,3,I didn't avoid your family; I was feeling unwell that day
365,3,I didn't avoid your family; I was feeling unwell that day
365,3,"I swear, I didn't mean to steer clear of your family! I was just really feeling under the weather that day."
365,3,"Please understand, it wasn’t intentional—my only concern was my health that day."
366,3,I didn't criticize your choices; I was offering alternative suggestions
366,3,I didn't criticize your choices; I was offering alternative suggestions
366,3,I would never criticize your choices; I intended to suggest other options you might like.
366,3,"Trust me, I wasn't judging—I was simply trying to offer some alternative ideas to consider."
367,3,"I didn't break your trust; I made a mistake, and I'm willing to fix it"
367,3,"I didn't break your trust; I made a mistake, and I'm willing to fix it"
367,3,"I can’t express how sorry I am; I made an error, but I want to earn your trust back."
367,3,"I didn’t mean to betray you; I made a mistake, and I’m here to make things right again."
368,3,I wasn't being inattentive; I was multitasking and might have missed some details
368,3,I wasn't being inattentive; I was multitasking and might have missed some details
368,3,"I know it seemed like I was distracted, but I was trying to juggle a lot at once, and I may have missed some details."
368,3,"Honestly, I didn’t mean to seem dismissive; I was just caught up in several things simultaneously."
369,3,I didn't exclude you from the decision; I thought you trusted my judgment
369,3,I didn't exclude you from the decision; I thought you trusted my judgment
369,3,I didn’t mean to leave you out; I assumed you had faith in my judgment.
369,3,It wasn’t my intention to cut you out—I honestly believed you trusted me to handle it.
370,3,I wasn't avoiding you; I was giving you time to relax after your long day
370,3,I wasn't avoiding you; I was giving you time to relax after your long day
370,3,I promise I wasn’t trying to avoid you; I thought you really needed a moment to unwind after that exhausting day.
370,3,"Please believe me, I wasn’t shunning you; I just thought you could use some space to recuperate."
371,3,I wasn't being lazy; I was conserving energy for later tasks
371,3,I wasn't being lazy; I was conserving energy for later tasks
371,3,I really wasn’t being lazy; I was just saving my energy for what needed to be done later.
371,3,"I need you to know, I wasn’t idle; I was actually reserving my energy for the tasks ahead."
372,3,I thought we already talked about that.
372,3,I thought we already talked about that.
372,3,Didn’t we already discuss this? I could’ve sworn we covered it earlier!
372,3,I feel as if we’ve touched on this; it seems we already had that conversation.
373,3,I didn't exclude you; I assumed you wouldn't be interested
373,3,I didn't exclude you; I assumed you wouldn't be interested
373,3,I swear I didn't leave you out; I just thought you might not be that interested.
373,3,"Honestly, my intention wasn’t exclusion; I merely assumed it wasn’t your cup of tea."
374,3,I wasn't being evasive; I needed time to gather my thoughts
374,3,I wasn't being evasive; I needed time to gather my thoughts
374,3,It’s not that I was avoiding you; I simply needed a moment to collect my thoughts.
374,3,"I didn't mean to seem evasive; the truth is, I needed a little time to think things through."
375,3,I didn't criticize your cooking; I was just suggesting ways to make it even better
375,3,I didn't criticize your cooking; I was just suggesting ways to make it even better
