cluster_id,type,sentence
101,1,I'm the chief adjudicator; my decisions are conclusive
101,1,"I am the chief adjudicator, and my decisions are final and binding, setting the tone for all proceedings."
101,1,"As the chief adjudicator, I must emphasize that my decisions are the ultimate authority in this matter."
101,1,"I hold the title of chief adjudicator, where my rulings stand resolute and must be accepted by all."
102,1,"As your advisor, my suggestions are to be followed strictly"
102,1,"As your advisor, I urge you to adhere to my guidance with diligence."
102,1,"Please remember, as your advisor, my suggestions are in your best interest and should be followed closely."
102,1,"With profound insight, as your advisor, my suggestions are crafted for your success and must be taken to heart."
103,1,"As the head of the disciplinary board, my sanctions are binding"
103,1,"As the head of the disciplinary board, the ramifications of my sanctions are non-negotiable and firm."
103,1,"I must remind you, as the head of the disciplinary board, my sanctions carry the weight of authority and must be respected."
103,1,"As the head of the disciplinary board, I impose sanctions that are obligatory and crucial for order."
104,1,"As your supervisor, it's imperative you adhere to my guidelines"
104,1,"As your supervisor, it's crucial that you follow my guidelines without fail for our team's success."
104,1,"It is essential that you adhere to my guidelines as your supervisor, as they ensure the smooth functioning of our tasks."
104,1,You must recognize the importance of my guidelines as your supervisor; they are vital for our collective progress.
105,1,I'm the head of public relations; media interactions go through me
105,1,I am the head of public relations; all interactions with the media must be coordinated through me.
105,1,"As the head of public relations, it is imperative that all media communications pass through my oversight."
105,1,"In my role as head of public relations, I insist that all media engagements are funneled through my leadership."
106,1,I'm the team leader; you need to follow my instructions
106,1,"As the team leader, you need to follow my instructions for our success as a unit."
106,1,I expect you to adhere to my instructions as your team leader; it is key to our effectiveness together.
106,1,"It's absolutely vital, as your team leader, that you comply with my instructions to ensure our objectives are met."
107,1,I'm the studio head; creative decisions are under my jurisdiction
107,1,"As the studio head, creative decisions rest solely within my authority."
107,1,"I call the shots on all creative decisions as the studio head, so please bring your ideas through me first."
107,1,"As the studio head, please understand that all creative decisions lie within my domain, and must be honored."
108,1,"As the senior partner, my approach to the case is what we'll adopt"
108,1,"As the senior partner, my strategic approach to the case is what will guide our actions."
108,1,"I expect my approach to the case as senior partner to lead our direction, so let’s align on this."
108,1,"Being the senior partner, I lay out the strategic direction we will adopt for the case, and it's important we follow it."
109,1,I'm the head of customer service; client protocols are mine to establish
109,1,I am the head of customer service; I set the protocols for client interactions.
109,1,"As the head of customer service, it's my responsibility to establish and enforce the client protocols you must follow."
109,1,"In my role as head of customer service, I have the authority to determine the protocols for our client relations."
110,1,"Being the editor-in-chief, I decide what gets published"
110,1,"As the editor-in-chief, I possess the final say on what content is worthy of publication."
110,1,"In my position as editor-in-chief, it is my duty to decide what we publish, a responsibility I take seriously."
110,1,Being the editor-in-chief means I have the authority to determine what content meets our publication standards.
111,1,"As the chief of staff, I manage the executive agenda"
111,1,"As chief of staff, I am in control of managing the executive agenda."
111,1,"It falls to me, as chief of staff, to effectively manage the executive agenda and keep everything on track."
111,1,"My role as chief of staff encompasses the management of the executive agenda, a responsibility I uphold with care."
112,1,"Being the CEO, my vision dictates our direction"
112,1,"As the CEO, my vision sets the trajectory for our organization."
112,1,"In my capacity as CEO, I have a clear vision that defines the direction in which we must head."
112,1,"Being the CEO means my vision dictates the future of our company, and it's crucial everyone aligns with it."
113,1,"As the head of marketing, I set the campaign strategies"
113,1,"As the head of marketing, I am responsible for devising and implementing effective campaign strategies."
113,1,"It's my job as the head of marketing to craft our campaign strategies, so your compliance is imperative."
113,1,"In the role of head of marketing, I set the campaign strategies that drive our outreach and success."
114,1,"As your director, my vision is what you need to execute"
114,1,"As your director, you need to turn my vision into action to achieve our goals."
114,1,My role as your director means that my vision must guide your execution of our initiatives.
114,1,I carry the responsibility of director; your tasks must reflect the vision I lay out for our success.
115,1,I'm the head of environmental policy; sustainability measures are my decision
115,1,"As head of environmental policy, the sustainability measures we take fall under my authority."
