type,sentence
0,"This isn't a battle of right or wrong; it's about being truthful with each other."
0,"This isn't a matter of right versus wrong; it's about being honest with one another."
0,"You're feeling lost about what this argument is even about anymore."
0,"It's hard to figure out what this disagreement is truly about now."
0,"It’s hard to bring this up"
0,"Bringing this up is challenging."
0,"You doubt either of us intended for this to escalate like it has."
0,"I doubt either of us meant for things to escalate to this point."
0,"This will be incredibly difficult for you to bring up."
0,"This will be very tough for you to approach."
0,"I was still searching for the right way to express that."
0,"I was still looking for the best way to say that."
0,"You wanted something to change."
0,"You wanted a change."
0,"There's a heaviness in the air whenever you talk."
0,"There's a weightiness in the conversation whenever you speak."
0,"You've grown distant, and you’re uncertain how to bring that back."
0,"You've become more distant, and you're unsure how to bridge that gap."
0,"You needed some distance right then, please."
0,"You needed some space at that moment, please."
0,"It was almost as if we had drifted apart from being so close."
0,"It felt like we had grown apart despite once being so close."
0,"I will still be searching for the right words to express this."
0,"I will continue to seek the right words to convey this."
0,"It’s really frustrating that we can’t seem to be on the same page anymore."
0,"It's really disappointing that we can’t seem to agree anymore."
0,"I will try my best not to let anger take over."
0,"I will do my utmost to keep anger in check."
0,"It’s hard for you to bring this up."
0,"You find it difficult to raise this issue."
0,"I'm tired of being overly cautious around you."
0,"I'm weary of being excessively cautious around you."
0,"I wasn’t sure if we were growing together anymore."
0,"I wasn't certain if we were still growing together."
0,"I can feel something is wrong"
0,"I sense that something is off."
0,"It didn’t feel like we were hearing each other."
0,"It felt like we weren’t truly listening to each other."
0,"When you talk, I sometimes feel like there's a missing element."
0,"When you speak, I sometimes perceive an element that’s lacking."
0,"Both of you will need to feel secure in this environment."
0,"Both of you need to feel at ease in this setting."
0,"You were really tired of pretending that everything was fine between us when it wasn’t."
0,"You were exhausted from pretending that everything was okay between us when it truly wasn’t."
0,"I’m losing parts of myself in this silence."
0,"I'm losing pieces of myself because of this silence."
0,"It’s clear that you both said hurtful things you didn't really intend."
0,"It's evident that both of you said hurtful things without meaning to."
0,"You dreaded what that increasing distance meant for our relationship."
0,"You feared what that growing distance would signify for our relationship."
0,"You want to fix this."
0,"You want to resolve this."
0,"You will be making a strong effort to keep your anger in check."
0,"You will be making a significant effort to control your anger."
0,"That back-and-forth was truly exhausting you, wasn’t it?"
0,"That back-and-forth was genuinely tiring for you, wasn't it?"
0,"You’re confused about what emotions to embrace after everything that has transpired."
0,"You're unsure about which emotions to accept after everything that has happened."
0,"You will seem really frustrated, and this situation will feel off somehow."
0,"You will appear quite frustrated, and this situation will feel strange in some way."
0,"When we spoke, I couldn’t shake the feeling that something was lacking."
0,"When we talked, I couldn't help but feel that something was missing."
0,"You've both been distant lately."
0,"You've both been a bit detached recently."
0,"You’re not angry — you’re just completely worn out emotionally."
0,"You're not angry — you're simply thoroughly exhausted emotionally."
0,"I’m feeling really overwhelmed lately."
0,"I’m feeling quite overwhelmed these days."
0,"I am really scared about what this expanding gap between us might lead to."
0,"I'm genuinely worried about where this widening distance between us might lead."
0,"I was begging you, let’s just have moved forward without causing more pain."
0,"I was pleading with you, let's just proceed without inflicting more pain."
0,"You were making a strong effort to keep your anger in check."
0,"You were trying hard to manage your anger."
0,"You feel emotionally invisible."
0,"You feel like your emotions are invisible to others."
0,"I’m struggling to see how you think I can share when I'm feeling like this."
0,"I'm finding it difficult to understand how you expect me to share when I'm in this state."
0,"Can we please discuss this once the chaos settles?"
0,"Can we talk about this once the chaos has calmed down?"
0,"That didn’t feel like the relationship we had."
0,"That didn’t replicate the relationship we once had."
0,"It truly doesn't feel like home for you these days."
0,"It certainly doesn't feel like home for you nowadays."
0,"We kept circling the same problems without progress."
0,"We kept going in circles with the same issues without making any headway."
0,"I'm absolutely tired of this ridiculous charade of acting like we're fine when we're not."
0,"I'm completely fed up with this absurd pretense of being okay when we clearly aren't."
0,"Can we put this discussion on hold until things are less chaotic?"
0,"Can we table this conversation until things are a bit less hectic?"
0,"I want us to move forward without more damage."
0,"I want us to progress without causing further harm."
0,"You are feeling lost about what this argument is even about anymore."
0,"You are feeling uncertain about what this argument really entails anymore."
