type,sentence
0,"Please understand how your dismissal will shake my trust!"
0,"Please realize how your dismissal impacts my trust!"
0,"It will be beyond frustrating to be met with such disrespect!"
0,"It will be incredibly frustrating to encounter such disrespect!"
0,"Why couldn’t we break free from this endless loop?"
0,"Why couldn’t we escape this perpetual cycle?"
0,"It’s beyond frustrating for you to be met with such disrespect!"
0,"It’s exceedingly frustrating for you to be faced with such disrespect!"
0,"I will sense that I’m giving so much more than what I receive in return."
0,"I will feel that I'm giving far more than what I get in return."
0,"Please comprehended how your disregard undermined my trust!"
0,"Please recognize how your indifference has eroded my trust!"
0,"You're not okay with how you've been treated."
0,"You’re not comfortable with how you've been treated."
0,"It was challenging to feel secure when I was always being brushed aside."
0,"It was tough to feel secure when I was consistently overlooked."
0,"You’re here."
0,"You’re present."
0,"I didn’t want to keep revisiting the same argument; it drained my energy then."
0,"I didn't want to keep going over the same argument; it drained my energy back then."
0,"You’re tired of carrying the emotional weight."
0,"You’re weary of shouldering the emotional burden."
0,"It's frustrating that you seem unwilling to acknowledge your role in this situation."
0,"It's frustrating that you seem reluctant to acknowledge your part in this situation."
0,"It will be incredibly annoying to face such blatant disrespect!"
0,"It will be immensely irritating to confront such open disrespect!"
0,"It hurts to feel as though your needs are just an obligation for me."
0,"It hurts to feel like your needs are just a duty for me."
0,"You were scared of where this was headed — not because of threats."
0,"You were anxious about where this would lead — not due to threats."
0,"Why was it so difficult for me to express my truth?"
0,"Why was it so hard for me to share my truth?"
0,"I absolutely need time to sort through all of this!"
0,"I genuinely need time to work through all of this!"
0,"You manipulate silence as a tool whenever your preferences aren't met."
0,"You use silence as a tactic whenever your wishes aren't fulfilled."
0,"In the future, the exhaustion from feeling ignored will be just too much to bear."
0,"In the future, the exhaustion from being ignored will become unbearable."
0,"I was completely drained emotionally and felt invisible."
0,"I felt completely emotionally drained and invisible."
0,"I could really use some time to think through everything, if that's alright."
0,"I could really benefit from some time to reflect on everything, if that's okay."
0,"In the future, honesty will be what you really need."
0,"Moving forward, honesty will be what you truly require."
0,"Right then, it felt like I didn’t hold any value in your eyes, and it cut deep."
0,"At that moment, it felt like I didn't mean anything to you, and it hurt deeply."
0,"I don’t have to agree with everything."
0,"I don’t have to agree with every single thing."
0,"I felt like I had reached my limit, and it had been incredibly overwhelming."
0,"I felt I had hit my limit, and it was overwhelmingly intense."
0,"I am definitely not the same person I was when we began this journey!"
0,"I have certainly changed since the start of this journey!"
0,"I can't stand feeling trapped in this cycle of hurt any longer!"
0,"I can't handle being stuck in this cycle of pain any longer!"
0,"You had hit a wall with how much you could tolerate."
0,"You reached your limit regarding what you could put up with."
0,"Currently, can't you acknowledge how far apart we've grown as a couple?"
0,"Can't you see how much we've drifted apart as a couple?"
0,"You are worthy of better than this, and it’s maddening to come to terms with that."
0,"You deserve so much more than this, and it's frustrating to confront that."
0,"I’m present, despite how deeply this hurts me."
0,"I'm here, even though this is deeply painful for me."
0,"It didn’t seem fair that I was always the one making the effort to reach out."
0,"It felt unfair that I was always the one trying to connect."
0,"This version of our relationship will be untenable for you."
0,"This iteration of our relationship won't work for you."
0,"Why did you have to plead for basic decency?"
0,"Why did you have to beg for simple respect?"
0,"You genuinely wished to resolve things instead of feeling like we were constantly at odds."
0,"You truly wanted to find a solution instead of feeling constantly opposed."
0,"It’s tough for me to hold everything together; the situation is quite overwhelming."
0,"It's challenging for me to keep everything intact; the situation feels overwhelming."
0,"Please tell me this isn’t what love is meant to feel like for you!"
0,"Can you please assure me that this isn’t what love means to you?"
0,"I'm starting to feel unsafe opening my heart to you, and it truly hurts inside."
0,"I'm beginning to feel insecure about opening my heart to you, and it genuinely hurts me inside."
0,"Can’t you see how unsustainable that is for your heart?"
0,"Can't you recognize how unsustainable that is for your well-being?"
0,"Being cautious around you had been more than exhausting; it was absolutely heart-wrenching."
0,"Being careful around you has been more exhausting than I can express; it's incredibly heartbreaking."
0,"It sends me into despair when my emotions are ignored until they explode!"
0,"When my feelings are overlooked until they explode, it sends me into despair!"
0,"I was overwhelmed with anger, and I felt like I couldn't contain it any longer!"
0,"I was flooded with rage, and I felt unable to hold it in any longer!"
0,"I’m reaching my limit with this dynamic."
0,"I’m nearing my breaking point with this situation."
0,"You will need me to take accountability for once."
0,"You will need to take responsibility for once."
0,"It stings that you have to plead for basic respect."
0,"It hurts that you have to ask for basic dignity."
0,"I was sad that you seemed to value your time over our connection."
0,"I felt sorrowful that you appeared to prioritize your time over our relationship."
0,"You will have been holding back how much this will affect you."
0,"You must have been holding back the impact this would have on you."
0,"How can I feel secure when my emotions seem to be set aside?"
0,"How can I feel safe when my feelings are put on the back burner?"
0,"Can't you understand how exposing your feelings weighs on you?"
0,"Can't you see how much emotional vulnerability burdens you?"
0,"You only show up when there’s a crisis."
0,"You only appear when there’s a problem."
0,"You will be allowed to express disappointment."
0,"You will have the opportunity to express your disappointment."
0,"When I twist your words, you feel like a puppet, strung along and controlled."
0,"When I manipulate your words, you end up feeling like a marionette, controlled and led along."
0,"It was so exhausting and sad that we were stuck in this endless conflict."
0,"It was incredibly tiring and disheartening to be caught in this never-ending conflict."
0,"You don’t get to decide how much something hurts me."
0,"You don't have the authority to determine how much something affects me."
0,"I will be holding myself together with mere duct tape."
0,"I will be keeping myself intact with nothing but duct tape."
0,"This behavior has consequences for our relationship"
0,"This behavior will impact our relationship negatively."
0,"As I will share more of my thoughts, I will feel..."
0,"As I express more of my thoughts, I will experience..."
0,"Talking to you often feels like shouting into a void; my words just vanish."
0,"Engaging with you often feels like shouting into an empty space; my words simply disappear."
0,"It seems like you're looking for me to take responsibility this time."
0,"It appears that you're expecting me to take responsibility this time."
0,"Why won't you share how profoundly this will affect you?"
0,"Why won't you express how deeply this will impact you?"
0,"I wish for change from you, but every moment feels like it’s tearing me apart."
0,"I desire change from you, but every moment feels like it’s pulling me apart."
0,"I found myself justifying my feelings to you endlessly, and it was exhausting and discouraging."
0,"I found myself endlessly trying to justify my emotions to you, and it was draining and disheartening."
0,"It’s painful for you to feel like you have to plead for even the simplest courtesy."
0,"It’s hurtful for you to feel as if you have to beg for basic respect."
0,"You won’t be able to remain in a relationship that will feel more like imprisonment."
0,"You won’t be able to stay in a relationship that feels more like confinement."
0,"It’s so exhausting and sad that we’re stuck in this endless conflict."
0,"It's so draining and disheartening that we're caught in this unending conflict."
0,"The more I open up, the more strained I become."
0,"The more I reveal, the more strained I feel."
0,"It will terrify you to think about what this could become; it will feel so hopeless."
0,"The thought of what this could evolve into will terrify you; it will seem utterly hopeless."
0,"You wish you could resolve things instead of constantly fighting."
0,"You long to resolve issues instead of being in constant battle."
0,"Every argument ends with me feeling ashamed for speaking up."
0,"Each disagreement leaves me feeling ashamed for voicing my thoughts."
0,"I no longer feel safe sharing my heart with you, and it breaks something inside me."
