cluster_id,type,sentence
223,2,It hurts to see how much better things could have been if only you'd listened to me.
223,2,It hurts to see how much better things could have been if only I had listened to you.
214,2,I wish you had taken the time to plan ahead; now we’re all in a frantic rush because of it.
214,2,I wish I had taken the time to plan ahead; now you’re all in a frantic rush because of it.
225,2,"If you were more decisive, we could move forward."
225,2,"If I were more decisive, we could move forward."
212,2,It's concerning to see how your forgetfulness has led to all these complications; we need to address it.
212,2,It's concerning to see how my forgetfulness has led to all these complications; I need to address it.
215,2,I feel frustrated that your delay has led us to this challenging circumstance.
215,2,You feel frustrated that my delay has led you to this challenging circumstance.
216,2,"If you hadn't forgotten to pay the bill, we wouldn't have a late fee"
216,2,"If I hadn't forgotten to pay the bill, you wouldn't have a late fee."
206,2,The jealousy you express is tearing us apart in ways I can't ignore.
206,2,The jealousy I express is tearing us apart in ways you can't ignore.
216,2,"If you weren't so controlling, we'd have more freedom"
216,2,"If I weren't so controlling, you'd have more freedom."
222,2,It’s tough when emotions cloud our conversations; I long for us to communicate better!
222,2,It’s tough when emotions cloud our conversations; you long for us to communicate better!
216,2,It’s really frustrating that we missed the movie because of your tardiness; we had been looking forward to it.
216,2,It’s really frustrating that you missed the movie because of my tardiness; you had been looking forward to it.
222,2,"If you had just taken care of the bill, we wouldn’t be dealing with these extra charges."
222,2,"If I had just taken care of the bill, you wouldn’t be dealing with these extra charges."
224,2,I'm genuinely worried for you; being so gullible makes it too easy for others to mislead you.
224,2,You're genuinely worried for me; being so gullible makes it too easy for others to mislead me.
205,2,Your constant worrying is affecting everyone
205,2,My constant worrying is affecting everyone.
228,2,I feel a heavy weight of sadness because the time you’ve dedicated to work has hurt our bond.
228,2,You feel a heavy weight of sadness because the time I’ve dedicated to work has hurt our bond.
208,2,"If you hadn't made that decision, we wouldn't be facing these consequences"
208,2,"If I hadn't made that decision, you wouldn't be facing these consequences."
211,2,It's really concerning to see you neglect your health—worrying about you is exhausting!
211,2,It's really concerning to see me neglect my health—worrying about me is exhausting!
219,2,I'm upset that your lack of care has caused such a significant mistake; it feels avoidable.
219,2,You're upset that my lack of care has caused such a significant mistake; it feels avoidable.
227,2,It’s painful to realize that your thoughtlessness for others is driving a wedge between us.
227,2,It’s painful to realize that my thoughtlessness for others is driving a wedge between us.
225,2,Your forgetfulness is causing problems
225,2,My forgetfulness is causing problems.
207,2,"If you were more affectionate, I wouldn't seek attention elsewhere"
207,2,"If I were more affectionate, you wouldn't seek attention elsewhere."
224,2,"If only your decisions were wiser, we wouldn’t find ourselves in this difficult position."
224,2,"If only my decisions were wiser, you wouldn’t find yourself in this difficult position."
205,2,"If only you had stepped up, we might have avoided this troubling situation together."
205,2,"If only I had stepped up, we might have avoided this troubling situation together."
228,2,"If you were more organized, our plans wouldn't fall apart"
228,2,"If I were more organized, your plans wouldn't fall apart."
216,2,Your unrealistic expectations are the issue
216,2,My unrealistic expectations are the issue.
225,2,I feel a sense of disappointment because your overconfidence steered us all into this failure.
225,2,You feel a sense of disappointment because my overconfidence steered us all into this failure.
223,2,It's hard to believe how we ended up here; your failure to plan ahead created this mess.
223,2,It's hard to believe how you ended up here; my failure to plan ahead created this mess.
214,2,I can’t express how disappointed I am about forgetting; I feel like I let you down.
214,2,You can’t express how disappointed you are about forgetting; you feel like you let me down.
225,2,I wouldn't have overreacted if you hadn't lied.
225,2,You would have overreacted if I hadn't lied.
212,2,I wish we could create more order; it feels like disorganization is dragging us down!
212,2,You wish we could create more order; it feels like disorganization is dragging you down!
215,2,"If you had better judgment, we wouldn't be here"
215,2,"If I had better judgment, we wouldn't be here."
216,2,"If you were more punctual, we wouldn't have missed it"
216,2,"If I were more punctual, we wouldn't have missed it."
206,2,Your selfishness is the root of the problem
206,2,My selfishness is the root of the problem.
216,2,"If only there had been some foresight, we could have sidestepped this problematic situation."
216,2,"If only there had been some foresight, you could have sidestepped this problematic situation."
222,2,"If you had just paid attention, we would have avoided this entire mess!"
222,2,"If I had just paid attention, we would have avoided this entire mess!"
216,2,I wouldn't have lied if you weren't so judgmental
216,2,You wouldn't have lied if I weren't so judgmental.
222,2,We wouldn't be lost if you had followed the directions.
222,2,We wouldn't be lost if I had followed the directions.
224,2,Your unwillingness to compromise is the issue.
224,2,My unwillingness to compromise is the issue.
205,2,"You knew how much it mattered to me, and now it feels like I've lost something precious."
205,2,"I knew how much it mattered to you, and now it feels like you've lost something precious."
228,2,It’s like pulling teeth to get you to do things right; I hate having to nag!
228,2,It’s like pulling teeth to get me to do things right; you hate having to nag!
208,2,It’s disheartening to face these challenges knowing that planning ahead could have changed everything.
208,2,It’s disheartening to face these challenges knowing that planning ahead could have changed everything for you.
211,2,It pains me that I missed our special day; a gentle reminder would have meant the world.
211,2,It pains you that you missed our special day; a gentle reminder would have meant the world.
219,2,"If you had offered more encouragement, we would likely be in a better place now."
219,2,"If I had offered more encouragement, we would likely be in a better place now."
227,2,I can’t shake this feeling of disappointment that a little more focus could have avoided this.
227,2,You can’t shake this feeling of disappointment that a little more focus could have avoided this.
225,2,The expectations you set are simply out of reach and causing frustration.
225,2,The expectations I set are simply out of reach and causing frustration for you.
207,2,I feel so discouraged by the lack of encouragement; I wish you could believe in me.
207,2,You feel so discouraged by the lack of encouragement; you wish I could believe in you.
224,2,"If only you had respected my wishes, we wouldn’t be stuck in this difficult conversation right now."
224,2,"If only I had respected your wishes, you wouldn’t be stuck in this difficult conversation right now."
205,2,It truly saddens me that your inability to commit is causing us so much trouble.
205,2,It truly saddens you that my inability to commit is causing us so much trouble.
228,2,I feel a deep sense of regret because I felt compelled to lie due to your harsh judgment.
228,2,You feel a deep sense of regret because you felt compelled to lie due to my harsh judgment.
216,2,Can you see how your distraction is holding us back? It's really frustrating!
216,2,Can I see how my distraction is holding you back? It's really frustrating!
225,2,"If you had communicated better, this misunderstanding wouldn't have occurred."
225,2,"If I had communicated better, this misunderstanding wouldn't have occurred."
223,2,It's exhausting listening to that snoring; I wish you would do something about it!
223,2,You're exhausting to listen to when you snore; I wish you would do something about it!
214,2,I feel so frustrated that your inability to make decisions has kept us stuck for so long!
214,2,You feel so frustrated that my inability to make decisions has kept us stuck for so long!
225,2,I wish we could address issues without being overwhelmed by feelings; it’s frustrating!
225,2,You wish we could address issues without being overwhelmed by feelings; it’s frustrating!
212,2,The lack of your willingness to adapt is a major barrier to our success.
212,2,The lack of your willingness to adapt is a major barrier to our success.
215,2,We wouldn't have missed the show if you booked the tickets earlier
215,2,You wouldn’t have missed the show if I had booked the tickets earlier.
216,2,"If only you had tackled things head-on instead of procrastinating, we wouldn’t be scrambling right now."
216,2,"If only I had tackled things head-on instead of procrastinating, you wouldn’t be scrambling right now."
206,2,I can’t help but feel that I had to hide the truth because your judgment tone leaves no room for honesty.
206,2,You can’t help but feel that you had to hide the truth because my judgmental tone leaves no room for honesty.
216,2,"If you weren't so pessimistic, we'd see more opportunities"
216,2,"If I weren't so pessimistic, you’d see more opportunities."
222,2,I wouldn't have to micromanage if you were more responsible
222,2,I wouldn’t have to micromanage if you were more responsible.
216,2,Your procrastination put us in this position
216,2,Your procrastination put us in this position.
222,2,"Had you chosen not to splurge, we would be enjoying a vacation right now."
222,2,"Had I chosen not to splurge, you would be enjoying a vacation right now."
224,2,"Had you remembered to make that payment, we would be in a much better situation now."
224,2,"Had I remembered to make that payment, you would be in a much better situation now."
205,2,"If you hadn't agreed to that, we wouldn't be in this mess"
205,2,"If I hadn't agreed to that, we wouldn't be in this mess."
228,2,We wouldn't be in this situation if you had planned ahead
228,2,We wouldn't be in this situation if I had planned ahead.
208,2,It’s exhausting to see arguments flare up when it feels like everything offends you.
208,2,It’s exhausting to see arguments flare up when it feels like everything offends me.
211,2,"If you hadn't agreed to that, we wouldn't be in this mess."
211,2,"If I hadn't agreed to that, we wouldn't be in this mess."
219,2,I can’t help but feel sad that your work commitments took away from us; it’s strained our relationship.
219,2,You can’t help but feel sad that my work commitments took away from us; it’s strained our relationship.
227,2,It's really sad to see how your gullibility has left you vulnerable to being misled.
227,2,It's really sad to see how my gullibility has left me vulnerable to being misled.
225,2,I wouldn't have to complain if you did your share
225,2,I wouldn't have to complain if you did your share.
207,2,It's disheartening that your lack of ambition is holding us back from a better future.
207,2,It's disheartening that my lack of ambition is holding us back from a better future.
224,2,We wouldn't be arguing if you didn't always bring up the past
224,2,We wouldn't be arguing if I didn't always bring up the past.
