cluster_id,type,sentence
23,0,"I don’t want this to fester — I want to face it together."
23,0,"You don’t want this to fester — you want to face it together."
11,0,"In that stillness, I felt the weight of rejection pressing down on me."
11,0,"In that stillness, you felt the weight of rejection pressing down on you."
21,0,"I deserve to speak on what I experienced."
21,0,"You deserve to speak on what you experienced."
4,0,"It wasn't your intent, but the impact was still painful for me."
4,0,"It wasn't your intent, but the impact was still painful for you."
6,0,"I need a space where my words are valued and acknowledged."
6,0,"You need a space where your words are valued and acknowledged."
4,0,"This might not seem like a big deal to you, but it hurt me."
4,0,"This might not seem like a big deal to me, but it hurt you."
21,0,"The thought of it still makes my body tense up with discomfort."
21,0,"The thought of it still makes your body tense up with discomfort."
5,0,"We must summon our courage to discuss what's truly at stake."
5,0,"You must summon your courage to discuss what's truly at stake."
1,0,"The effects of it crept up on me, surprising me with their weight."
1,0,"The effects of it crept up on you, surprising you with their weight."
11,0,"It’s crucial for me to express this fully without interruptions."
11,0,"It’s crucial for you to express this fully without interruptions."
9,0,"That moment transformed how I perceive our connection now."
9,0,"That moment transformed how you perceive our connection now."
18,0,"Leaving like that made me feel as if my worth was diminished."
18,0,"Leaving like that made you feel as if your worth was diminished."
18,0,"Let’s not skip past the hard stuff."
18,0,"Let’s not skip past the hard stuff."
3,0,"I long for my words to be valued and taken seriously, not dismissed."
3,0,"You long for your words to be valued and taken seriously, not dismissed."
12,0,"I just want to get to the core of things—this focuses on honesty, not theatrics."
12,0,"You just want to get to the core of things—this focuses on honesty, not theatrics."
4,0,"You might not see it the same way, but it affected me."
4,0,"I might not see it the same way, but it affected you."
7,0,"Just because time has passed doesn’t mean it doesn’t hurt."
7,0,"Just because time has passed doesn’t mean it doesn’t hurt you."
15,0,"This isn’t about pointing fingers; it's about making sure we both feel understood."
15,0,"This isn’t about pointing fingers; it's about making sure we both feel understood."
20,0,"This is a serious matter for me, centered on authentic truth rather than any dramatic flair."
20,0,"This is a serious matter for you, centered on authentic truth rather than any dramatic flair."
5,0,"I can't seem to escape this memory; it clings to me."
5,0,"You can't seem to escape this memory; it clings to you."
2,0,"Our avoidance is making matters worse rather than better."
2,0,"Our avoidance is making matters worse rather than better."
12,0,"While discussing this may be tough, I feel I must do it."
12,0,"While discussing this may be tough, you feel you must do it."
12,0,"I can't shake the thoughts of your words, and they linger heavily with me."
12,0,"You can't shake the thoughts of my words, and they linger heavily with you."
22,0,"It’s time to confront the things we’ve both hesitated to say."
22,0,"It’s time to confront the things we’ve both hesitated to say."
14,0,"Growth demands that we engage with uncomfortable truths—avoiding them won’t help us."
14,0,"Growth demands that you engage with uncomfortable truths—avoiding them won’t help you."
23,0,"Let’s discuss the true significance of this for my journey."
23,0,"Let’s discuss the true significance of this for your journey."
11,0,"It’s essential to face the tough topics head-on rather than glossing over them."
11,0,"It’s essential for you to face the tough topics head-on rather than glossing over them."
21,0,"I need space to express myself fully."
21,0,"You need space to express yourself fully."
4,0,"I hesitated to speak before, but now I’m ready to voice my feelings."
4,0,"You hesitated to speak before, but now you’re ready to voice your feelings."
6,0,"I need to share what this really meant to me, when I finally have the chance."
6,0,"You need to share what this really meant to you when you finally have the chance."
4,0,"Even if it seemed small to you, it wasn’t to me."
4,0,"Even if it seemed small to me, it wasn’t to you."
21,0,"I’m not overreacting — I’m just finally reacting."
21,0,"You’re not overreacting — you’re just finally reacting."
5,0,"This burden has weighed me down for far too long."
5,0,"This burden has weighed you down for far too long."
1,0,"Let’s bravely confront the real issue together."
1,0,"Let’s bravely confront the real issue together."
11,0,"I deserve to say this without being dismissed."
11,0,"You deserve to say this without being dismissed."
9,0,"We keep avoiding this and it’s not helping."
9,0,"You keep avoiding this and it’s not helping."
18,0,"I just want you to know how it made me feel."
18,0,"I just want you to know how it made you feel."
18,0,"There are unspoken thoughts I wish I had voiced earlier."
18,0,"There are unspoken thoughts you wish you had voiced earlier."
3,0,"We never actually addressed how that made me feel."
3,0,"We never actually addressed how that made you feel."
12,0,"Your departure left me feeling dismissed and undervalued."
12,0,"My departure left you feeling dismissed and undervalued."
4,0,"This isn’t about anger; it’s about the pain that lingers within me."
4,0,"This isn’t about anger; it’s about the pain that lingers within you."
7,0,"We can't allow this to be overlooked again; it needs attention now."
7,0,"We can't allow this to be overlooked again; it needs attention now."
15,0,"I want to rebuild what we had, but we must start with truth."
15,0,"You want to rebuild what you had, but you must start with truth."
20,0,"I require a chance to share my thoughts without being cut off."
20,0,"You require a chance to share your thoughts without being cut off."
5,0,"For some time now, this matter has been an ache on my heart."
5,0,"For some time now, this matter has been an ache on your heart."
2,0,"Though it may seem trivial, the pain lingers within me."
2,0,"Though it may seem trivial, the pain lingers within you."
12,0,"At that moment, I sensed a lack of genuine attention from you."
12,0,"At that moment, you sensed a lack of genuine attention from me."
12,0,"Agreement isn’t necessary; what I crave is to be recognized and heard."
12,0,"Agreement isn’t necessary; what you crave is to be recognized and heard."
22,0,"I may come across as emotional, but my intent is pure honesty."
22,0,"You may come across as emotional, but your intent is pure honesty."
14,0,"I’m ready to express the emotional toll that experience took on me."
14,0,"You’re ready to express the emotional toll that experience took on you."
23,0,"I must be able to share my feelings without feeling dismissed."
23,0,"You must be able to share your feelings without feeling dismissed."
11,0,"Regardless of your intentions, I felt hurt by what happened."
11,0,"Regardless of my intentions, you felt hurt by what happened."
21,0,"The pain was deeper than I understood in that moment—an ache I’ve come to recognize now."
21,0,"The pain was deeper than you understood in that moment—an ache you’ve come to recognize now."
4,0,"Given another opportunity, I would definitely say much more then."
4,0,"Given another opportunity, you would definitely say much more then."
6,0,"That experience etched itself onto my heart, despite my silence."
6,0,"That experience etched itself onto your heart, despite your silence."
4,0,"I've carried this feeling for longer than I can bear."
4,0,"You've carried this feeling for longer than you can bear."
21,0,"If you're willing, I'd really like to discuss the events that unfolded."
21,0,"If I'm willing, you'd really like to discuss the events that unfolded."
5,0,"What happened truly mattered, even if it seemed trivial to others."
5,0,"What happened truly mattered, even if it seemed trivial to you."
1,0,"It’s been on my chest for a long time."
1,0,"It’s been on your chest for a long time."
11,0,"I've been cautious about sharing my true thoughts out of fear you wouldn’t care."
11,0,"You've been cautious about sharing your true thoughts out of fear I wouldn’t care."
9,0,"I know it’s been a while, but I still need closure."
9,0,"You know it’s been a while, but you still need closure."
18,0,"In my time of need, I craved support but felt brushed aside."
18,0,"In your time of need, you craved support but felt brushed aside."
18,0,"It’s been a heavy weight to carry alone, and I'm ready for an open conversation."
18,0,"It’s been a heavy weight to carry alone, and you're ready for an open conversation."
3,0,"I came away from that feeling abandoned, and it’s crucial I express this."
3,0,"You came away from that feeling abandoned, and it’s crucial you express this."
12,0,"I fear bringing this up, yet it's crucial for my peace."
12,0,"You fear bringing this up, yet it's crucial for your peace."
4,0,"Can we open a dialogue about the emotions associated with that moment?"
4,0,"Can we open a dialogue about the emotions associated with that moment?"
7,0,"It’s important for me to articulate the emotional impact it had on me."
7,0,"It’s important for you to articulate the emotional impact it had on you."
15,0,"I’m eager to bring this up, even if it feels uneasy."
15,0,"You’re eager to bring this up, even if it feels uneasy."
20,0,"I'm not searching for solutions — I just need you to listen."
20,0,"You're not searching for solutions — you just need me to listen."
5,0,"What I’m saying is crucial to me; I seek your genuine consideration."
5,0,"What you’re saying is crucial to you; you seek my genuine consideration."
2,0,"I’m not seeking answers; my only wish is for you to hear me."
2,0,"You’re not seeking answers; your only wish is for me to hear you."
12,0,"Even now, I feel the sting of that experience deeply."
12,0,"Even now, you feel the sting of that experience deeply."
12,0,"Even if it appears minor, it has left a lasting impression."
12,0,"Even if it appears minor, it has left a lasting impression on you."
22,0,"I felt small and invisible in that situation."
22,0,"You felt small and invisible in that situation."
14,0,"Even if it seems small, it hurt deeply."
14,0,"Even if it seems small, it hurt you deeply."
23,0,"It's vital for me to express myself freely without judgment."
23,0,"It's vital for you to express yourself freely without judgment."
11,0,"I can’t seem to escape the thoughts swirling in my head—I’ve revisited this too often."
11,0,"You can’t seem to escape the thoughts swirling in your head—you’ve revisited this too often."
21,0,"I want to say this without fear of being misunderstood."
21,0,"You want to say this without fear of being misunderstood."
4,0,"All I ask is for your ears and your heart, not for answers."
4,0,"All you ask is for my ears and my heart, not for answers."
6,0,"Please don’t brush this off — it matters to me."
6,0,"Please don’t brush this off — it matters to you."
4,0,"What feels trivial to you really stung for me."
4,0,"What feels trivial to you really stung for you."
21,0,"It altered my view of us in a way I cannot overlook."
21,0,"It altered your view of us in a way you cannot overlook."
5,0,"Though it’s challenging to address, I feel it’s time to speak up."
5,0,"Though it’s challenging to address, you feel it’s time to speak up."
1,0,"My feelings may seem intense right now, but I'm striving for truth."
1,0,"Your feelings may seem intense right now, but you're striving for truth."
11,0,"It matters to me even if it didn’t to you."
11,0,"It matters to you even if it didn’t to me."
9,0,"I would like to address what happened, provided you're receptive to it."
9,0,"You would like to address what happened, provided I'm receptive to it."
18,0,"I kindly ask you to see things through my eyes."
18,0,"You kindly ask me to see things through your eyes."
18,0,"What may seem like an overreaction is actually a genuine release of pent-up feelings."
18,0,"What may seem like an overreaction is actually a genuine release of pent-up feelings for you."
3,0,"Your words have stuck with me, creating a heavy burden in my mind."
3,0,"My words have stuck with you, creating a heavy burden in your mind."
12,0,"Please let me finish what I need to say; it’s important to me."
12,0,"Please let you finish what you need to say; it’s important to you."
4,0,"This isn’t a plea for drama; it’s a sincere expression of my reality."
4,0,"This isn’t a plea for drama; it’s a sincere expression of your reality."
7,0,"I’m tired of pushing everything down just to keep the peace."
7,0,"You’re tired of pushing everything down just to keep the peace."
15,0,"It still stings — even now."
15,0,"It still stings — even now for you."
20,0,"I've held in my emotions, and now it's crucial that we discuss them."
20,0,"You've held in your emotions, and now it's crucial that we discuss them."
5,0,"I’m asking for your understanding, not a quick fix; I want you to truly hear me."
5,0,"You’re asking for my understanding, not a quick fix; you want me to truly hear you."
2,0,"It may look like a small issue, but its impact is profound."
2,0,"It may look like a small issue, but its impact is profound for you."
12,0,"I’ve been bottling this up, and it’s time to talk about it."
12,0,"You’ve been bottling this up, and it’s time to talk about it."
12,0,"I simply want you to understand how that experience affected me."
12,0,"You simply want me to understand how that experience affected you."
22,0,"I’m choosing to talk about this because I care."
22,0,"You’re choosing to talk about this because you care."
14,0,"I’m struggling to articulate it, but I sense an underlying discomfort."
14,0,"You’re struggling to articulate it, but you sense an underlying discomfort."
23,0,"We failed to confront the feelings that event stirred inside me."
23,0,"You failed to confront the feelings that event stirred inside you."
11,0,"It's important to recognize that my emotions matter — they are real."
11,0,"It's important to recognize that your emotions matter — they are real."
21,0,"I wish we could’ve handled that differently."
21,0,"You wish you could’ve handled that differently."
4,0,"It’s time for us to be courageous and talk about what really matters."
4,0,"It’s time for you to be courageous and talk about what really matters."
6,0,"It was as if I were merely a shadow, unnoticed and unacknowledged."
6,0,"It was as if you were merely a shadow, unnoticed and unacknowledged."
4,0,"This is significant to me; I ask that you take it seriously."
4,0,"This is significant to you; you ask that I take it seriously."
21,0,"I experienced a profound sense of being overlooked and unworthy."
21,0,"You experienced a profound sense of being overlooked and unworthy."
5,0,"Could we take a moment to discuss the emotions that arose from that?"
5,0,"Could we take a moment to discuss the emotions that arose from that?"
1,0,"We can’t heal if we don’t talk about what hurt us."
1,0,"You can’t heal if you don’t talk about what hurt you."
11,0,"Speaking up has been tough, but I'm finally taking that step."
