cluster_id,type,sentence
367,3,"Unfortunately, I did attempt to reach out, but connectivity let me down."
367,3,"Unfortunately, you did attempt to reach out, but connectivity let you down."
369,3,"I didn't raise my voice; I was just passionate about the topic"
369,3,"You didn't raise your voice; you were just passionate about the topic."
380,3,"I genuinely wanted to assist your growth, not criticize your efforts."
380,3,"You genuinely wanted to assist my growth, not criticize my efforts."
366,3,"Believe me, it wasn’t sarcasm; I sincerely meant what I said about you."
366,3,"Believe me, it wasn’t sarcasm; you sincerely meant what you said about me."
366,3,"I didn't ignore you at the party; I was giving you space to enjoy yourself"
366,3,"You didn't ignore me at the party; you were giving me space to enjoy myself."
372,3,"I can understand how it felt harsh, but my intention was only to offer you sincere feedback for your benefit."
372,3,"You can understand how it felt harsh, but your intention was only to offer me sincere feedback for my benefit."
375,3,"I reached out to notify you ahead of time; it wasn’t a cancellation at all."
375,3,"You reached out to notify me ahead of time; it wasn’t a cancellation at all."
375,3,"I was under the impression that flexibility was our plan all along."
375,3,"You were under the impression that flexibility was our plan all along."
380,3,"I wasn't criticizing you; I was offering constructive feedback to help you improve"
380,3,"You weren't criticizing me; you were offering constructive feedback to help me improve."
367,3,"I didn't forget to call; I tried, but there was a network issue"
367,3,"You didn't forget to call; you tried, but there was a network issue."
370,3,"I wasn’t trying to forget; my mind has just been so scattered with everything going on."
370,3,"You weren’t trying to forget; your mind has just been so scattered with everything going on."
387,3,"Really, I was simply extending kindness—nothing more, nothing less."
387,3,"Really, you were simply extending kindness—nothing more, nothing less."
385,3,"I would never criticize your choices; I intended to suggest other options you might like."
385,3,"You would never criticize my choices; you intended to suggest other options I might like."
374,3,"It may have seemed selfish, but I assure you, my intention was to weigh what’s best for both of us."
374,3,"It may have seemed selfish, but I assure you, your intention was to weigh what’s best for both of us."
382,3,"I didn't criticize your cooking; I was just suggesting ways to make it even better"
382,3,"You didn't criticize my cooking; you were just suggesting ways to make it even better."
378,3,"My teasing came from a place of affection, not mockery at all."
378,3,"Your teasing came from a place of affection, not mockery at all."
374,3,"I didn't undermine you; I was supporting you in my own way"
374,3,"You didn't undermine me; you were supporting me in your own way."
371,3,"It may have seemed like I was hiding things, but my heart was set on preparing something wonderful for you!"
371,3,"It may have seemed like you were hiding things, but your heart was set on preparing something wonderful for me!"
376,3,"I wasn't being judgmental; I was concerned about the consequences"
376,3,"You weren't being judgmental; you were concerned about the consequences."
383,3,"Honestly, my shyness made it tough for me to engage; it wasn’t intentional."
383,3,"Honestly, your shyness made it tough for you to engage; it wasn’t intentional."
385,3,"I promise I wasn’t trying to avoid you; I thought you really needed a moment to unwind after that exhausting day."
385,3,"You promise you weren’t trying to avoid me; you thought I really needed a moment to unwind after that exhausting day."
372,3,"It wasn’t intentional; I was just flooded with responsibilities at that time."
372,3,"It wasn’t intentional; you were just flooded with responsibilities at that time."
374,3,"I really thought we were both on the same page about altering our plans."
374,3,"You really thought we were both on the same page about altering our plans."
367,3,"Please understand, it wasn’t jealousy; I was simply feeling anxious about the state of our relationship."
367,3,"Please understand, it wasn’t jealousy; you were simply feeling anxious about the state of our relationship."
379,3,"I didn't mean to seem evasive; the truth is, I needed a little time to think things through."
379,3,"You didn't mean to seem evasive; the truth is, you needed a little time to think things through."
367,3,"In fact, my feelings were rooted in worry for you, not anger at all."
367,3,"In fact, your feelings were rooted in worry for me, not anger at all."
369,3,"I might have seemed neglectful, but really, I was just struggling under the weight of work responsibilities."
369,3,"You might have seemed neglectful, but really, you were just struggling under the weight of work responsibilities."
380,3,"I wasn't ignoring you at the party; I was giving you space to enjoy yourself"
380,3,"You weren't ignoring me at the party; you were giving me space to enjoy myself."
366,3,"I didn't avoid you during the event; I was networking to support our future"
366,3,"You didn't avoid me during the event; you were networking to support our future."
366,3,"Honestly, your version doesn’t quite fit the reality I recall!"
366,3,"Honestly, your version doesn’t quite fit the reality you recall!"
372,3,"I absolutely wasn’t trying to be secretive; I was working on something special just for you!"
372,3,"You absolutely weren’t trying to be secretive; you were working on something special just for me!"
375,3,"I promise you I wasn’t trying to manipulate you; I genuinely wanted to steer you towards a better choice!"
375,3,"I promise you weren't trying to manipulate me; you genuinely wanted to steer me towards a better choice!"
375,3,"I didn't forget our plans; I thought we agreed to be flexible"
375,3,"You didn't forget our plans; you thought we agreed to be flexible."
380,3,"I didn't break my promise; circumstances changed, and I had to adapt"
380,3,"You didn't break your promise; circumstances changed, and you had to adapt."
367,3,"Please know, my feedback was intended to uplift you, not to tear you down."
367,3,"Please know, your feedback was intended to uplift me, not to tear me down."
370,3,"I didn't ignore your feelings; I was trying to lighten the mood"
370,3,"You didn't ignore my feelings; you were trying to lighten the mood."
387,3,"I wasn't dismissing your ideas; I was encouraging you to think them through more thoroughly"
387,3,"You weren't dismissing my ideas; you were encouraging me to think them through more thoroughly."
385,3,"I could never forget your birthday; I'm actually working on a special surprise for you."
385,3,"You could never forget my birthday; you were actually working on a special surprise for me."
374,3,"I can see how it seemed controlling, but please know that my intentions were rooted in genuine concern for you."
374,3,"You can see how it seemed controlling, but please know that your intentions were rooted in genuine concern for me."
382,3,"I truly didn’t mean to seem distant; I was just respecting your space so you could really celebrate."
382,3,"You truly didn’t mean to seem distant; you were just respecting my space so I could really celebrate."
378,3,"I really wasn’t being lazy; I was just saving my energy for what needed to be done later."
378,3,"You really weren’t being lazy; you were just saving your energy for what needed to be done later."
374,3,"I wasn't being forgetful; I had too many things on my mind"
374,3,"You weren't being forgetful; you had too many things on your mind."
371,3,"I genuinely had to revise my plans due to unforeseen circumstances."
371,3,"You genuinely had to revise your plans due to unforeseen circumstances."
376,3,"I might be getting it all mixed up; my recollection isn’t as sharp as I thought it was."
376,3,"You might be getting it all mixed up; your recollection isn’t as sharp as you thought it was."
383,3,"Please know, I wasn’t being negative about your cooking; my intention was to help it shine even more."
383,3,"Please know, you weren’t being negative about my cooking; your intention was to help it shine even more."
385,3,"I hoped to reinforce you, not undermine; my intention was supportive."
385,3,"You hoped to reinforce me, not undermine; your intention was supportive."
372,3,"I thought we already talked about that."
372,3,"You thought we already talked about that."
374,3,"I was truly tied up in important discussions; your messages were on my mind."
374,3,"You were truly tied up in important discussions; my messages were on your mind."
367,3,"I assure you, I didn’t forget your request; I intended to get to it later on."
367,3,"I assure you, you didn’t forget my request; you intended to get to it later on."
379,3,"I wasn't being ungrateful; I was overwhelmed and forgot to express my thanks"
379,3,"You weren't being ungrateful; you were overwhelmed and forgot to express your thanks."
367,3,"My intention was to inspire further reflection, not to brush off your concept."
367,3,"Your intention was to inspire further reflection, not to brush off my concept."
369,3,"I swear I didn’t ignore your needs; I was just buried under a mountain of work."
369,3,"You swear you didn’t ignore my needs; you were just buried under a mountain of work."
380,3,"It wasn’t disregard; I was earnestly seeking a way forward."
380,3,"It wasn’t disregard; you were earnestly seeking a way forward."
366,3,"I assure you, my intentions were purely friendly and not flirtatious in any way."
366,3,"You assure me, your intentions were purely friendly and not flirtatious in any way."
366,3,"My outlook was more about readiness, rather than a negative perspective."
366,3,"Your outlook was more about readiness, rather than a negative perspective."
372,3,"Your memory certainly has a unique twist to it, doesn’t it?"
372,3,"My memory certainly has a unique twist to it, doesn’t it?"
375,3,"It was not about minimizing your success; I wanted you to see the bigger picture."
375,3,"It was not about minimizing my success; you wanted me to see the bigger picture."
375,3,"Believe me, I was merely being courteous, not trying to lead anyone on."
375,3,"Believe me, you were merely being courteous, not trying to lead anyone on."
380,3,"I wasn't being controlling; I was concerned about your well-being"
380,3,"You weren't being controlling; you were concerned about my well-being."
367,3,"Didn’t we already discuss this? I could’ve sworn we covered it earlier!"
367,3,"Didn’t we already discuss this? You could’ve sworn we covered it earlier!"
370,3,"Please remember, I did keep you in the loop about the change."
370,3,"Please remember, you did keep me in the loop about the change."
387,3,"Please believe I was trying to be your ally, even if my approach feels different."
387,3,"Please believe you were trying to be my ally, even if your approach feels different."
385,3,"I promise I wasn’t being distant; I was simply caught up in my own thoughts."
385,3,"You promise you weren’t being distant; you were simply caught up in your own thoughts."
374,3,"I’m misremembering."
374,3,"You’re misremembering."
382,3,"I wasn't being dismissive; I was focusing on finding a solution"
382,3,"You weren't being dismissive; you were focusing on finding a solution."
378,3,"I didn't exclude you; I assumed you wouldn't be interested"
378,3,"You didn't exclude me; you assumed I wouldn't be interested."
374,3,"I didn't dismiss your concerns; I was addressing them in my own way"
