type,sentence
0,"I’m here because I care."
0,"I’m here because I genuinely care."
0,"You’re not okay with pretending things are fine."
0,"You’re not comfortable pretending everything is fine."
0,"We both seem afraid to be vulnerable right now."
0,"We both seem to be hesitant about being vulnerable right now."
0,"Why can’t you just open your heart to me like you used to?"
0,"Why can’t you just open your heart to me like you used to do?"
0,"You just want me to see how desperately you need that closeness back."
0,"You really want me to perceive how much you crave that closeness back."
0,"You feel trapped in this overwhelming fog of confusion, and all you ask for is a moment to breathe."
0,"You feel trapped in this heavy fog of confusion, and all you’re asking for is a moment to breathe."
0,"Please remember that I wouldn’t be here if I didn’t truly care!"
0,"Please keep in mind that I wouldn’t be here if I didn’t care deeply!"
0,"Why are we letting this happen slowly, day by day?"
0,"Why are we allowing this to unfold slowly, day by day?"
0,"Can we take a moment to truly understand the chaos surrounding us?"
0,"Can we take a moment to truly comprehend the chaos that surrounds us?"
0,"I wish this didn't feel like a performance anymore."
0,"I wish this didn’t feel so much like a performance anymore."
0,"Sometimes I need space to understand myself better."
0,"Sometimes I need a little space to better understand myself."
0,"I’m not trying to pressure you — I just need honesty."
0,"I’m not trying to rush you — I just desire honesty."
0,"This conversation matters to me"
0,"This conversation is really important to me."
0,"Can't you see how much I crave a richer emotional bond?"
0,"Can't you see how intensely I long for a deeper emotional connection?"
0,"I wish we could be more emotionally available to each other."
0,"I wish we could be more open and emotionally available to each other."
0,"Is it too much to ask for some space to grow apart?"
0,"Is it too much to ask for a little space to grow individually?"
0,"It’s terrifying to think that you’re no longer safe with me."
0,"It’s frightening to think that you might no longer feel safe with me."
0,"I’m here."
0,"I’m here for you."
0,"You’re here because you care."
0,"You’re here because you genuinely care."
0,"You're here because you care."
0,"You're present because you care about what happens."
0,"I want to talk."
0,"I want to have a conversation."
0,"You can’t keep wearing that mask of normalcy while you’re crumbling inside!"
0,"You can’t keep putting on that mask of normality while you’re falling apart inside!"
0,"It feels like you’ve built a wall that’s impossible to break through!"
0,"It feels like you’ve constructed an impenetrable wall between us!"
0,"You’re not sure what this relationship means to you anymore."
0,"You’re uncertain about what this relationship actually means to you now."
0,"Why can’t you just listen and truly hear me?"
0,"Why can’t you just listen and truly absorb what I’m saying?"
0,"You're not asking for perfection — just presence."
0,"You're not looking for perfection—just companionship."
0,"We’ve stopped listening"
