type,sentence
0,"I don’t have to be anything other than honest."
0,"I only need to be true to myself."
0,"This is more about finding understanding than picking sides."
0,"You don’t expect me to solve this — you just needed to express it."
0,"Let’s have an open conversation without trying to steer it; it’s important to remain receptive."
0,"There's no necessity for you to agree with everything I say."
0,"We can approach this gradually."
0,"I’m not required to have an answer right now."
0,"Your level of comfort is important to me."
0,"If I’m feeling unsure, just know that’s perfectly okay."
0,"Tell me how I can best support you."
0,"You’re here to hear everything I want to share."
0,"You’re not requesting anything; you simply wanted to talk."
0,"You aren’t obliged to agree with me; that’s entirely up to you."
0,"It’s about sharing my thoughts, not about making demands."
0,"I want this to feel reciprocal."
0,"This isn’t a request—just you being straightforward and sincere."
0,"Let’s prioritize authenticity over expectations."
0,"I’m not here to influence your viewpoint in any direction."
0,"It frustrates you when I act as though we’re adversaries instead of collaborators!"
0,"We can revisit this discussion whenever you feel ready."
0,"Take your time; I’m available whenever you want to discuss this."
0,"I prefer to hear your feelings rather than make assumptions."
0,"You appreciate that we can have such an open dialogue with each other."
0,"It’s completely acceptable if your feelings are different from mine."
0,"You want me to proceed at my own pace; I know you’re here when I’m ready to talk."
0,"We’re both allowed to take our time with this."
0,"We both have the right to take our time with this."
0,"I feel a bit upset knowing that you think I need to be doing something right away."
0,"It’s perfectly okay for us to take our time to work through this."
0,"You don’t owe me anything."
0,"I’m still deciding what feels right for me."
0,"I’m feeling a little upset knowing you believe I should be taking immediate action."
0,"All I want is transparency and openness as we discuss this together."
0,"It bothers me a bit that you think I need to jump into something right away."
0,"Feel free to disagree with you; there’s absolutely no pressure."
0,"We can just sit in this moment without deciding anything."
0,"You don't owe me anything at all."
0,"You’re not asking for anything in return — you just felt the need to express yourself."
0,"You aren’t required to give me anything in return."
0,"Please, just tell you how you can be there for me—I want to help."
0,"Whatever you choose"
0,"Whatever you decide."
0,"You don’t need to feel rushed to respond; take your time."
0,"You don’t have to rush your answer; take all the time you need."
0,"We can revisit this whenever I’m ready."
0,"We can come back to this when I’m ready."
0,"You feel a bit upset knowing that I think you need to be doing something right away."
0,"I can sense you might be a little upset because I think you need to act swiftly."
0,"This conversation isn’t about convincing — it’s about connection."
0,"This discussion is about connecting, not persuading."
0,"If you’re unsure"
0,"If you’re feeling uncertain."
0,"Whatever path you choose is completely valid."
0,"Any direction you choose is completely valid."
0,"Whatever decision you make"
0,"Whatever choice you make is acceptable."
0,"Let’s revisit this when things feel more settled for us."
0,"Let’s come back to this when things feel more stable for us."
0,"If my thoughts are different, that’s perfectly acceptable."
0,"If my views differ, that’s completely fine."
0,"Let’s both take the time we need to figure this out together."
0,"Let’s both take the time we require to sort this out together."
0,"I’m not looking for anything from you; I just wanted to voice my feelings."
0,"I’m not asking for anything from you; I just wanted to express my feelings."
0,"There’s no need for me to decide anything tonight."
0,"I don’t have to make a decision tonight."
0,"What are my thoughts on how to move forward?"
