type,sentence
0,"Let’s take this seriously — your voice deserves that."
0,"Let's approach this with the seriousness it deserves — your perspective is important."
0,"How sad is it that we get stuck on sides instead of simply recognizing each other?"
0,"It's unfortunate that we focus on divisions rather than just acknowledging one another."
0,"You want to understand my experience better."
0,"You want to have a deeper understanding of my experience."
0,"It breaks my heart to see you struggling; I genuinely want to support you through this."
0,"You're sincerely trying to support me as I navigate this difficult time."
0,"That emotion is valid even if you didn’t expect it."
0,"That feeling you have is completely valid, even if it surprised you."
0,"Thank you for being honest with me."
0,"I appreciate your honesty with me."
0,"I realize there’s room for me to grow; I’m committed to becoming a better listener for you."
0,"I see that I can improve; I'm dedicated to becoming a more attentive listener for you."
0,"It breaks your heart to know it affected me so deeply, and you’re grateful I shared that with you."
0,"It touches your heart to know how much this affected me, and you're thankful I opened up to you."
0,"That emotion is valid even if I didn’t expect it."
0,"That feeling is valid, even if it caught me off guard."
0,"You want to acknowledge what this has done to me; you feel a deep sense of compassion for the impact it’s had on my life."
0,"You're aware of the impact this has had on me; you feel a genuine compassion for how it has affected my life."
0,"I don’t need to tone it down for you."
0,"I don't feel the need to hold back for your sake."
0,"Why shouldn’t I express my feelings in their full force?"
0,"Why shouldn't I express my emotions in their entirety?"
0,"This clearly left a mark on me — let’s talk about it."
0,"This has clearly left a significant impression on me — let's discuss it."
0,"There’s no “should” when it comes to emotional pain."
0,"There's no "should" when dealing with emotional suffering."
0,"This clearly mattered to you — and that matters to me."
0,"This clearly meant something to you — and that resonates with me."
0,"I want to acknowledge what this has done to you; I feel a deep sense of compassion for the impact it’s had on your life."
0,"I want to recognize what this has done to you; I truly feel compassion for the effect it has had on your life."
0,"What I’m saying matters."
0,"What I'm expressing is important."
0,"Please, share this with me — I can't stand to see you in pain alone."
0,"Please, talk to me about this — I can't bear to see you suffering alone."
0,"There’s a sadness that lingers in knowing that my own feelings might cloud my understanding."
0,"There's a lingering sadness in knowing that my own feelings might obscure my understanding."
0,"Don't you understand how desperate you are to support me over winning an argument?"
0,"Don't you see how much you yearn to help me rather than just winning a debate?"
0,"Why should you have to bear this burden alone for so long?"
0,"Why do you have to carry this heavy burden all by yourself for so long?"
