type,sentence
0,"It irritates you that you’ve only now come to understand the pressure it created!"
0,"It frustrates you that it’s taken you this long to understand the pressure it created!"
0,"It annoys you that it has taken you this long to recognize the weight it held!"
0,"It bothers you that you’ve only now realized the weight it bore!"
0,"You were annoyed that you only just realized how heavy this burden was!"
0,"You were irritated that you just came to see how heavy this burden really was!"
0,"Why didn’t you voice your thoughts when you had the opportunity?"
0,"Why didn’t you share your thoughts when you had the chance?"
0,"I just wanted you to understand how this has affected me."
0,"All I wanted was for you to comprehend how this has impacted me."
0,"You know that some time has passed."
0,"You know that quite a bit of time has passed."
0,"The heaviness of unspoken expressions slowly eroded your spirit, dragging you into despair."
0,"The burden of unspoken feelings has gradually worn down your spirit, pulling you into despair."
0,"Why don’t you let your voice be heard when it matters most?"
0,"Why don’t you let your voice be heard at the times it matters most?"
0,"How can I not recognize that you’re being genuine and honest about your emotions?"
0,"How can I fail to see that you’re being sincere and truthful about your feelings?"
0,"You weren’t being dramatic — you were simply expressing your true emotions."
0,"You weren’t just being dramatic — you were expressing your genuine emotions."
0,"The feelings within me are overwhelming, and it's stifling."
0,"The emotions inside me are overwhelming, and it feels suffocating."
0,"It can be frustrating to think that just because we disagree, your feelings might go unacknowledged."
0,"It can be frustrating to consider that your feelings might be overlooked simply because we disagree."
0,"It angers you when we avoid addressing what truly matters!"
0,"It angers you when we avoid discussing what truly matters!"
0,"You didn’t want this to be overlooked again."
0,"You didn’t want this to slip by again."
0,"I feared the challenge of articulating something so hard to say."
0,"I dreaded the challenge of articulating something so tough to express."
0,"Even the tiniest hurt can leave a significant scar on my heart."
0,"Even a small hurt can leave an indelible scar on my heart."
0,"You’ve gone through this situation in your thoughts many times."
0,"You’ve replayed this situation in your mind many times."
0,"I’m upset that we’ve kept these emotions bottled up for too long."
0,"I’m distressed that we’ve kept these feelings bottled up for far too long."
0,"It's like a ghostly shadow that keeps me immobilized."
0,"It's like a haunting shadow that leaves me paralyzed."
0,"Please assist me in expressing this — it holds great significance."
0,"Please help me articulate this — it means so much to me."
0,"You've been holding back, fearing that I wouldn’t really listen to you."
0,"You’ve been hesitant, fearing that I wouldn’t truly listen to you."
0,"You will hope that I’ll listen without rushing to resolve things immediately."
0,"You hope that I’ll listen without hurrying to fix everything right away."
0,"It breaks my heart that I felt the need to hold back instead of being open with you."
0,"It pains me that I felt the need to withhold my feelings instead of being open with you."
0,"It's been challenging for me to find the courage to speak out!"
0,"It's been difficult for me to muster the courage to speak up!"
0,"Why couldn’t they just hold you during your time of need?"
0,"Why couldn’t they just comfort you during your time of need?"
0,"You will need to be able to express this without facing interruptions."
0,"You must be able to express this without interruptions."
0,"I want to talk about it"
0,"I want to discuss this matter."
0,"I need you to truly hear me out."
0,"I need you to genuinely hear me out."
