type,sentence
0,"It’s exhausting for you that you bear the burden of mending the rifts alone."
0,"It’s exhausting for you to bear the burden of mending the rifts alone."
0,"Can’t you understand how unsustainable this situation is for me emotionally?"
0,"You feel exhausted from having to mend the rifts all by yourself."
0,"Why can’t you break free from this endless loop with me in the future?"
0,"Can’t you understand how unsustainable this situation is for me emotionally?"
0,"This behavior impacts our relationship negatively."
0,"Don’t you see how this situation emotionally drains me and isn’t sustainable?"
0,"You desperately yearn for the truth, even if it causes pain."
0,"Why can’t you break free from this endless loop with me in the future?"
0,"You need some time before we go on with this discussion."
0,"What keeps you from breaking free from this endless loop we’re in for the future?"
0,"Was it possible for me to recognize just how distant we had become?"
0,"This behavior impacts our relationship negatively."
0,"I can't continue to wear this façade of happiness when the truth is desperate."
0,"Our relationship is negatively affected by this behavior."
0,"You rarely took ownership of the hurt you caused."
0,"You desperately yearn for the truth, even if it causes pain."
0,"What you choose to do has a profound impact on the basis of what we have."
0,"Even if it hurts, you have a deep desire for the truth."
0,"I really wished we could find a resolution instead of always being at odds."
0,"You need some time before we go on with this discussion."
0,"You always change the topic when it gets uncomfortable."
0,"Before we continue this discussion, you need some time."
0,"When you choose to ignore me, my self-worth diminishes into nothing."
0,"Was it possible for me to recognize just how distant we had become?"
0,"I wished for more transparency from you, and it's left me feeling gloomy and sad."
0,"Could I even see how far apart we had grown?"
0,"It disappointed me that you seldom recognized the pain you inflicted upon me."
0,"I can't continue to wear this façade of happiness when the truth is desperate."
0,"Was I even conscious of the pain this was causing you?"
0,"When the truth is so desperate, I can no longer maintain this façade of happiness."
0,"You really want the truth, even when it hurts."
0,"You rarely took ownership of the hurt you caused."
0,"Did you even recognize the hurt this was causing me?"
0,"Taking ownership of the hurt you inflicted is something you seldom do."
0,"I feel a profound hurt."
0,"What you choose to do has a profound impact on the basis of what we have."
0,"In the future, I won’t have to beg to be treated with respect."
0,"The choices you make significantly affect the foundation of what we share."
0,"You won’t be okay with how you are treated in the future."
0,"I really wished we could find a resolution instead of always being at odds."
0,"When I chose to disregard you, it diminished your sense of self-worth completely."
0,"It would be great if we could resolve our issues rather than always being in conflict."
0,"When you choose to overlook me, my self-esteem fades away completely."
0,"You always change the topic when it gets uncomfortable."
0,"You’ve hit a wall with how much you can tolerate."
0,"Whenever it becomes uncomfortable, you have a habit of changing the subject."
0,"You will be tearing me apart, and it will hurt so much."
0,"When you choose to ignore me, my self-worth diminishes into nothing."
0,"I was using every ounce of energy I had to repair this situation."
0,"I was exerting every bit of energy I had to mend this situation."
0,"Every ounce of energy I had was being used to repair this situation."
0,"It’s evident that this situation isn’t serving your best interests."
0,"It's clear that this situation does not serve your best interests."
0,"This situation clearly isn't working in your favor."
0,"It feels overwhelming to be the one who always has to start our connections."
0,"Being the one who always has to initiate our connections feels overwhelming."
0,"It feels like an overwhelming burden to always be the one who starts our connections."
0,"Currently, it’s beyond frustrating for you to be met with such disrespect!"
0,"It's incredibly frustrating for you to face such disrespect right now!"
0,"Right now, being met with such disrespect is extremely frustrating for you!"
0,"Was I even aware of the pain this was inflicting on you?"
0,"Was I even aware of the hurt this was causing you?"
0,"Did I really understand the pain this was inflicting on you?"
0,"It seems like you’re the only one putting in the effort to make this work."
0,"You seem to be the only one making an effort to keep this relationship going."
0,"It appears that you are the sole person trying to make this work."
0,"You won’t accept how you are treated moving forward."
0,"You will not accept how you are treated from now on."
0,"Moving forward, you won't tolerate how you are being treated."
0,"It will be so disheartening to leave each encounter feeling diminished!"
0,"Leaving each encounter feeling diminished will be really disheartening!"
0,"It will be so discouraging to part from each interaction feeling lessened!"
0,"We both need to determine what our goals are in this situation."
0,"We must both figure out what our goals are in this situation."
0,"It's essential for us both to determine what our objectives are in this circumstance."
0,"I felt emotionally exhausted and struggled to be heard."
0,"I felt drained emotionally and found it hard to be heard."
0,"Emotionally exhausted, I struggled to get my voice heard."
0,"Can’t you see how far we will drift from being a couple?"
0,"Do you not realize how distant we will become as a couple?"
0,"Can't you see how far apart we will drift from being a couple?"
0,"I viewed vulnerability as a sign of weakness."
0,"I thought of vulnerability as a weakness."
0,"Viewing vulnerability as a sign of weakness was my perspective."
0,"Every act of vulnerability seems to lead you into the risk of disappointment."
0,"Every time I show vulnerability seems to expose you to disappointment."
0,"Acts of vulnerability always seem to lead you to the risk of disappointment."
0,"I wouldn’t allow myself to be your emotional outlet."
0,"I wouldn’t let myself be your emotional support."
0,"I refused to be your outlet for emotional release."
0,"I could see clearly that I was also lacking what I needed from this situation."
0,"I clearly recognized that I was also missing what I needed from this situation."
0,"It was evident to me that I was lacking my own needs in this situation."
0,"I hope we could work through our issues instead of constantly battling each other."
0,"I hope we can resolve our issues rather than perpetually battling each other."
0,"It would be great if we could address our problems instead of continuously fighting."
0,"Can you not recognize how fragile you’ve turned?"
0,"Can’t you see how fragile you have become?"
0,"Don't you realize how fragile you've turned?"
0,"I’ve been biting my tongue for too long."
0,"I've been holding back my feelings for far too long."
0,"For too long, I've been suppressing my feelings."
0,"Currently, you need time to process all of this."
0,"Right now, you need some time to digest all of this."
0,"You currently require time to process everything that’s happening."
0,"What made me endure this intensity of suffering?"
0,"What caused me to endure this level of suffering?"
0,"What led me to withstand such intense suffering?"
0,"Won’t you see how detrimental this situation will be for your emotional health?"
0,"Won't you recognize the negative impact this situation will have on your emotional well-being?"
0,"Can’t you see how harmful this situation could be to your emotional health?"
0,"Why must you carry the weight of keeping us united?"
0,"Why do you have to bear the burden of keeping us together?"
0,"Why must you shoulder the responsibility of maintaining our unity?"
0,"Please tell me this isn’t what love was meant to feel like!"
0,"Please tell me this isn't what love is supposed to feel like!"
0,"Is this truly what love was meant to feel like?"
0,"This situation is not serving me well."
0,"This situation is not beneficial for me at all."
0,"I find that this situation is not serving me well."
0,"You shouldn’t have had to fight that hard to feel seen."
0,"You shouldn't have had to struggle so hard to feel acknowledged."
0,"You shouldn’t have to fight that hard to be seen."
0,"I will wish for change from you, but every moment will feel like it’s tearing me apart."
0,"I will long for change from you, yet each moment will feel as though it’s tearing me apart."
0,"I will feel my trust is genuinely at stake due to your reluctance to take responsibility."
0,"Every moment will feel like it’s ripping me apart, even though I wish for change from you."
0,"You are in pain."
0,"I genuinely feel that my trust is at stake because of your unwillingness to accept responsibility."
0,"It’s really sad that you need to battle for mere acknowledgment."
0,"Your reluctance to take responsibility makes me feel that my trust is truly at risk."
0,"There was no obligation for you to agree."
0,"You are experiencing pain."
0,"Sometimes, it will feel like you will be manipulating reality, and I will suffocate under the weight of it."
0,"You are in distress."
0,"What you decide impacts the very essence of our relationship."
0,"It’s really unfortunate that you have to fight just for some recognition."
0,"Each disagreement left me feeling guilty for trying to speak out."
0,"It’s sad that you must struggle merely for acknowledgment."
0,"I’m drained by this endless cycle of hurt and confusion."
0,"You were under no obligation to agree."
0,"It's discouraging to leave each time feeling belittled."
0,"There was no requirement for you to consent."
0,"You are present with us."
0,"Sometimes, it feels like you’re manipulating reality, and the burden of it suffocates me."
0,"Honesty is exactly what you need."
0,"It will seem like you’re twisting reality, and I will feel overwhelmed by its weight."
0,"You really expected me to take accountability this time, didn’t you?"
0,"What you choose affects the core of our relationship."
0,"It angers me that you think you can dictate my emotions and how valid they are."
0,"Your decisions impact the very foundation of what we have together."
0,"In the past, you found yourself justifying your feelings to me endlessly, and it was exhausting and discouraging."
0,"Each disagreement leaves me with a sense of guilt for having spoken out."
0,"You’re reaching your limit with this dynamic."
0,"I feel guilty for voicing my opinions after every disagreement."
0,"Can’t you feel how heavy this silence is?"
0,"I’m exhausted from this never-ending cycle of confusion and pain."
0,"It will seem like I’m giving up on our relationship."
0,"This continuous cycle of hurt and confusion has left me drained."
0,"In the past, honesty was what you really needed."
0,"It's disheartening to walk away each time feeling diminished."
0,"You shouldn’t have had to plead for basic respect."
0,"Each time I leave, it’s discouraging to feel belittled."
0,"Currently, can’t you feel how heavy this silence is?"
0,"You are with us."
0,"I think I might have given up on our relationship."
0,"You are present in this moment."
0,"Don’t you realize how distanced we've become from one another?"
0,"What you truly need is honesty."
0,"You won’t have to plead for basic respect."
0,"Honesty is what you really require."
0,"I’m hurt."
