cluster_id,type,sentence
305,3,My behavior directly provoked your frustration; you wish it hadn’t come to this.
305,3,My behavior directly provoked your frustration; you wish it hadn’t come to this.
305,3,My behavior directly provokes your frustration; you wish it doesn’t come to this.
305,3,My behavior will directly provoke your frustration; you will wish it hasn’t come to this.
321,3,My relentless complaints have made it impossible for you to engage without feeling drained.
321,3,My relentless complaints have made it impossible for you to engage without feeling drained.
321,3,My relentless complaints make it impossible for you to engage without feeling drained.
321,3,My relentless complaints will make it impossible for you to engage without feeling drained.
315,3,You only said/did that because of me.
315,3,You only said/did that because of me.
315,3,You only say/do that because of me.
315,3,You will only say/do that because of me.
305,3,I wouldn't have to check up on you if you weren't so untrustworthy
305,3,I wouldn't have to check up on you if you weren't so untrustworthy.
305,3,I don’t have to check up on you if you aren’t so untrustworthy.
305,3,I won’t have to check up on you if you aren’t so untrustworthy.
312,3,You only keep secrets because I can't handle the truth.
312,3,You only keep secrets because I can't handle the truth.
312,3,You only kept secrets because I couldn't handle the truth.
312,3,You will only keep secrets because I won't be able to handle the truth.
318,3,It wasn’t just criticism; it was your way of expressing disappointment in a situation.
318,3,It wasn’t just criticism; it was your way of expressing disappointment in a situation.
318,3,It isn't just criticism; it is your way of expressing disappointment in a situation.
318,3,It won’t just be criticism; it will be your way of expressing disappointment in a situation.
317,3,I only lied because you can't handle the truth
317,3,I only lied because you can't handle the truth.
317,3,I only lie because you can't handle the truth.
317,3,I will only lie because you won't be able to handle the truth.
306,3,"If only you would listen, I wouldn’t need to amplify my words in frustration."
306,3,"If only you would listen, I wouldn’t need to amplify my words in frustration."
306,3,"If only you listen, I won’t need to amplify my words in frustration."
306,3,"If only you will listen, I won’t need to amplify my words in frustration."
312,3,I wouldn't have to be so controlling if you weren't so irresponsible
312,3,I wouldn't have to be so controlling if you weren't so irresponsible.
312,3,I don’t have to be so controlling if you aren’t so irresponsible.
312,3,I won’t have to be so controlling if you aren’t so irresponsible.
318,3,I see clearly now; your behavior proves the animosity you hold against me.
318,3,I see clearly now; your behavior proves the animosity you hold against me.
318,3,I see clearly now; your behavior proves the animosity you hold against me.
318,3,I will see clearly then; your behavior will prove the animosity you hold against me.
318,3,I only withheld affection because you're too needy
318,3,I only withheld affection because you're too needy.
318,3,I only withhold affection because you are too needy.
318,3,I will only withhold affection because you will be too needy.
305,3,"I would gladly be close if you didn’t hold on so tightly, trapping me into distance."
305,3,"I would gladly be close if you didn’t hold on so tightly, trapping me into distance."
305,3,"I am glad to be close if you do not hold on so tightly, trapping me into distance."
305,3,"I will be glad to be close if you do not hold on so tightly, trapping me into distance."
326,3,I wouldn't have to be so controlling if you weren't so careless
326,3,I wouldn't have to be so controlling if you weren't so careless.
326,3,I don’t have to be so controlling if you aren’t so careless.
326,3,I won’t have to be so controlling if you aren’t so careless.
322,3,I wouldn't have to avoid you if you weren't so clingy
322,3,I wouldn't have to avoid you if you weren't so clingy.
322,3,I don’t have to avoid you if you aren’t so clingy.
322,3,I won’t have to avoid you if you aren’t so clingy.
302,3,"My demanding nature compels you to protect your thoughts, keeping them to yourself."
302,3,"My demanding nature compels you to protect your thoughts, keeping them to yourself."
302,3,"My demanding nature compels you to protect your thoughts, keeping them to yourself."
302,3,"My demanding nature will compel you to protect your thoughts, keeping them to yourself."
305,3,You took that direction solely because my indecisiveness led you to it.
305,3,You took that direction solely because my indecisiveness led you to it.
305,3,You take that direction solely because my indecisiveness leads you to it.
305,3,You will take that direction solely because my indecisiveness will lead you to it.
305,3,"Had you listened initially, my shouts wouldn’t be necessary."
305,3,"Had you listened initially, my shouts wouldn’t be necessary."
305,3,"If you listen initially, my shouts aren’t necessary."
305,3,"If you will listen initially, my shouts won’t be necessary."
326,3,"If my curiosity didn't lead to invasion, you wouldn’t need to hide."
326,3,"If my curiosity didn't lead to invasion, you wouldn’t need to hide."
326,3,"If my curiosity doesn’t lead to invasion, you don’t need to hide."
326,3,"If my curiosity doesn’t lead to invasion, you won’t need to hide."
321,3,You wouldn’t keep secrets if you didn’t fear my harsh judgments.
321,3,You wouldn’t keep secrets if you didn’t fear my harsh judgments.
321,3,You don’t keep secrets if you don’t fear my harsh judgments.
321,3,You won’t keep secrets if you don’t fear my harsh judgments.
302,3,You only dismissed my ideas because they're unrealistic.
302,3,You only dismissed my ideas because they're unrealistic.
302,3,You only dismiss my ideas because they are unrealistic.
302,3,You will only dismiss my ideas because they will be unrealistic.
310,3,Your lack of faith in me drives me to keep my feelings hidden from you.
310,3,Your lack of faith in me drives me to keep my feelings hidden from you.
310,3,Your lack of faith in me drives me to keep my feelings hidden from you.
310,3,Your lack of faith in me will drive me to keep my feelings hidden from you.
319,3,I’d be open if you weren’t so prone to prying into my life.
319,3,I’d be open if you weren’t so prone to prying into my life.
319,3,I am open if you aren’t so prone to prying into my life.
319,3,I will be open if you aren’t so prone to prying into my life.
323,3,You only criticized me because I embarrassed you.
323,3,You only criticized me because I embarrassed you.
323,3,You only criticize me because I embarrass you.
323,3,You will only criticize me because I will embarrass you.
323,3,You wouldn't have to be so impatient if I weren't so slow.
323,3,You wouldn't have to be so impatient if I weren't so slow.
323,3,You don’t have to be so impatient if I am not so slow.
323,3,You won’t have to be so impatient if I am not so slow.
311,3,Look at the mess I’ve pushed you into; this is a result of our struggles.
311,3,Look at the mess I’ve pushed you into; this is a result of our struggles.
311,3,Look at the mess I pushed you into; that was a result of our struggles.
311,3,Look at the mess I will push you into; that will be a result of our struggles.
305,3,Your relentless pursuit prompts my dismissive attitude instead of understanding.
305,3,Your relentless pursuit prompted my dismissive attitude instead of understanding.
305,3,Your relentless pursuit prompts my dismissive attitude instead of understanding.
305,3,Your relentless pursuit will prompt my dismissive attitude instead of understanding.
321,3,You only hid things because I'd blow them out of proportion.
321,3,You only hid things because I blew them out of proportion.
321,3,You hide things because I blow them out of proportion.
321,3,You will hide things because I blow them out of proportion.
315,3,"Your behavior put you in an awkward position, so you had to speak up."
315,3,"Your behavior put you in an awkward position, so you had to speak up."
315,3,"Your behavior puts you in an awkward position, so you have to speak up."
315,3,"Your behavior will put you in an awkward position, so you will have to speak up."
305,3,I found myself making that decision due to your inability to decide.
305,3,I found myself making that decision due to your inability to decide.
305,3,I find myself making that decision due to your inability to decide.
305,3,I will find myself making that decision due to your inability to decide.
312,3,"If you weren’t always on the offensive, I wouldn’t feel the need to be defensive."
312,3,"If you weren't always on the offensive, I wouldn't feel the need to be defensive."
312,3,"If you aren't always on the offensive, I don't feel the need to be defensive."
312,3,"If you aren't always on the offensive, I won't feel the need to be defensive."
318,3,"Had I taken my work seriously, you'd have had nothing but praise to offer."
318,3,"Had I taken my work seriously, you would have had nothing but praise to offer."
318,3,"If I take my work seriously, you will have nothing but praise to offer."
318,3,"If I take my work seriously, you would have nothing but praise to offer."
317,3,I only keep secrets because you can't handle the truth
317,3,I only keep secrets because you can't handle the truth.
317,3,I keep secrets because you can't handle the truth.
317,3,I will keep secrets because you can't handle the truth.
306,3,I had to lie about money because you'd overreact
306,3,I had to lie about money because you would overreact.
306,3,I have to lie about money because you overreact.
306,3,I will have to lie about money because you will overreact.
312,3,"When you turned away, I became desperate for connection, leading me to stray."
312,3,"When you turned away, I became desperate for connection, leading me to stray."
312,3,"When you turn away, I become desperate for connection, leading me to stray."
312,3,"When you turn away, I will become desperate for connection, leading me to stray."
318,3,Your carelessness is what makes you feel like you must control everything around you.
318,3,Your carelessness was what made you feel like you must control everything around you.
318,3,Your carelessness is what makes you feel like you must control everything around you.
318,3,Your carelessness will be what makes you feel like you must control everything around you.
318,3,I had to be defensive because you're always attacking me
318,3,I had to be defensive because you were always attacking me.
318,3,I have to be defensive because you are always attacking me.
318,3,I will have to be defensive because you will always be attacking me.
305,3,"If you could trust me fully, believe me, you wouldn’t be so worried about where I am."
305,3,"If you could trust me fully, believe me, you wouldn't be so worried about where I was."
305,3,"If you can trust me fully, believe me, you won't be so worried about where I am."
305,3,"If you can trust me fully, believe me, you will not be so worried about where I will be."
326,3,My nosiness forces you to keep things to yourself more than you wish.
326,3,My nosiness forced you to keep things to yourself more than you wished.
326,3,My nosiness forces you to keep things to yourself more than you wish.
326,3,My nosiness will force you to keep things to yourself more than you wish.
322,3,Now look what you made me do
322,3,Now look at what you made me do.
322,3,Now look at what you make me do.
322,3,Now look at what you will make me do.
302,3,I wish I didn’t have to lie; it's just that the truth is too heavy for you.
302,3,I wished I didn't have to lie; it's just that the truth was too heavy for you.
302,3,I wish I don't have to lie; it's just that the truth is too heavy for you.
302,3,I will wish I don't have to lie; it's just that the truth will be too heavy for you.
305,3,You wouldn’t have this impulse to buy carelessly if I were more open with finances.
305,3,You wouldn't have this impulse to buy carelessly if I were more open with finances.
305,3,You don't have this impulse to buy carelessly if I am more open with finances.
305,3,You won't have this impulse to buy carelessly if I am more open with finances.
305,3,It was my behavior that led you to make such decisions.
305,3,It was my behavior that led you to make such decisions.
305,3,It is my behavior that leads you to make such decisions.
305,3,It will be my behavior that will lead you to make such decisions.
326,3,I had to lie about my whereabouts because you'd get jealous
326,3,I had to lie about my whereabouts because you would get jealous.
326,3,I have to lie about my whereabouts because you get jealous.
326,3,I will have to lie about my whereabouts because you will get jealous.
321,3,"The truth feels like a burden that I can’t bear, so you had to hide it."
321,3,"The truth felt like a burden that I couldn't bear, so you had to hide it."
321,3,"The truth feels like a burden that I can't bear, so you have to hide it."
321,3,"The truth will feel like a burden that I can't bear, so you will have to hide it."
302,3,My tight hold on money makes you feel the need to splurge beyond reason.
302,3,My tight hold on money made you feel the need to splurge beyond reason.
302,3,My tight hold on money makes you feel the need to splurge beyond reason.
302,3,My tight hold on money will make you feel the need to splurge beyond reason.
310,3,"Were you able to grasp my thoughts, my words would be sincere instead of cutting."
310,3,"Were you able to grasp my thoughts, my words would have been sincere instead of cutting."
310,3,"If you grasp my thoughts, my words are sincere instead of cutting."
310,3,"If you grasp my thoughts, my words will be sincere instead of cutting."
319,3,I hid things from you because I knew you would react dramatically.
319,3,I hid things from you because I knew you would react dramatically.
319,3,I hide things from you because I know you will react dramatically.
319,3,I will hide things from you because I know you will react dramatically.
323,3,You wouldn't have to be so harsh if I weren't so sensitive.
323,3,You wouldn't have to be so harsh if I weren't so sensitive.
323,3,You don't have to be so harsh if I am not so sensitive.
323,3,You won't have to be so harsh if I am not so sensitive.
323,3,The way I escalate issues is why you feel the need to not engage.
323,3,The way I escalated issues was why you felt the need to not engage.
323,3,The way I escalate issues is why you feel the need to not engage.
323,3,The way I will escalate issues is why you will feel the need to not engage.
311,3,You felt the need to go through my phone because of my recent secrecy.
311,3,You felt the need to go through my phone because of my recent secrecy.
311,3,You feel the need to go through my phone because of my recent secrecy.
311,3,You will feel the need to go through my phone because of my recent secrecy.
305,3,I felt I had no choice but to defend myself against your constant attacks.
305,3,I felt I had no choice but to defend myself against your constant attacks.
305,3,I feel I have no choice but to defend myself against your constant attacks.
305,3,I will feel I have no choice but to defend myself against your constant attacks.
321,3,The absence of your trust has made me feel unsafe to share my true thoughts.
321,3,The absence of your trust has made me feel unsafe to share my true thoughts.
321,3,The absence of your trust makes me feel unsafe to share my true thoughts.
321,3,The absence of your trust will make me feel unsafe to share my true thoughts.
315,3,"I felt I had to protect myself by lying, knowing your reactions could be extreme."
315,3,"I felt I had to protect myself by lying, knowing your reactions could be extreme."
315,3,"I feel I have to protect myself by lying, knowing your reactions could be extreme."
315,3,"I will feel I have to protect myself by lying, knowing your reactions could be extreme."
305,3,"You just want me to do better, but my laziness compels you to push me."
305,3,"You just want me to do better, but my laziness compels you to push me."
305,3,"You want me to do better, but my laziness compels you to push me."
305,3,"You will want me to do better, but my laziness will compel you to push me."
312,3,I wouldn’t have such a bleak outlook if your optimism didn’t clash with reality.
312,3,I wouldn’t have such a bleak outlook if your optimism didn’t clash with reality.
312,3,I don't have such a bleak outlook if your optimism doesn't clash with reality.
312,3,I won't have such a bleak outlook if your optimism doesn't clash with reality.
318,3,"If trust existed between us, you could share your thoughts without fear of judgment."
318,3,"If trust existed between us, you could share your thoughts without fear of judgment."
318,3,"If trust exists between us, you can share your thoughts without fear of judgment."
318,3,"If trust will exist between us, you will be able to share your thoughts without fear of judgment."
317,3,I wouldn't have to make fun of you if you weren't so serious all the time
317,3,I wouldn't have to make fun of you if you weren't so serious all the time.
317,3,I don't have to make fun of you if you aren't so serious all the time.
317,3,I won't have to make fun of you if you aren't so serious all the time.
306,3,I wish I didn’t have to avoid you; your neediness creates a barrier between us.
306,3,I wish I didn’t have to avoid you; your neediness creates a barrier between us.
306,3,I wish I don't have to avoid you; your neediness creates a barrier between us.
306,3,I wish I won't have to avoid you; your neediness will create a barrier between us.
312,3,You only belittled me because I was acting superior.
312,3,You only belittled me because I was acting superior.
312,3,You belittle me because I act superior.
312,3,You will belittle me because I act superior.
318,3,"Your behavior put me in an awkward position, so I had to speak up."
318,3,"Your behavior put me in an awkward position, so I had to speak up."
318,3,"Your behavior puts me in an awkward position, so I have to speak up."
318,3,"Your behavior will put me in an awkward position, so I will have to speak up."
318,3,The drag of time due to my slowness forces you into a state of frustration.
318,3,The drag of time due to my slowness forces you into a state of frustration.
318,3,The drag of time due to my slowness forces you into a state of frustration.
318,3,The drag of time due to my slowness will force you into a state of frustration.
305,3,I felt I needed to take charge since you couldn’t make the choice.
305,3,I felt I needed to take charge since you couldn’t make the choice.
305,3,I feel I need to take charge since you can’t make the choice.
305,3,I will feel I need to take charge since you can’t make the choice.
326,3,Your actions often push me to respond in ways I wouldn't normally choose.
326,3,Your actions often push me to respond in ways I wouldn't normally choose.
326,3,Your actions push me to respond in ways I don't normally choose.
326,3,Your actions will push me to respond in ways I won't normally choose.
322,3,You wouldn't have to be so dismissive if I weren't so persistent.
322,3,You wouldn't have to be so dismissive if I weren't so persistent.
322,3,You don't have to be so dismissive if I am not so persistent.
322,3,You won't have to be so dismissive if I am not so persistent.
302,3,"It's frustrating for me to see such negative influences around you; otherwise, you'd stay quiet."
302,3,"It's frustrating for me to see such negative influences around you; otherwise, you'd stay quiet."
302,3,"It's frustrating for me to see such negative influences around you; otherwise, you stay quiet."
302,3,"It will be frustrating for me to see such negative influences around you; otherwise, you will stay quiet."
305,3,"I didn’t want to take charge, but your inability to decide left me no choice."
305,3,"I didn’t want to take charge, but your inability to decide left me no choice."
305,3,"I don't want to take charge, but your inability to decide leaves me no choice."
305,3,"I won't want to take charge, but your inability to decide will leave me no choice."
305,3,It’s not personal; my nagging just makes it necessary for you to shut me out.
305,3,It’s not personal; my nagging just makes it necessary for you to shut me out.
305,3,It's not personal; my nagging makes it necessary for you to shut me out.
305,3,It won't be personal; my nagging will make it necessary for you to shut me out.
