cluster_id,type,sentence
276,3,"That endless wait in line has left you feeling really grouchy."
276,3,"That endless wait in line left you feeling really grouchy."
276,3,"That endless wait in line leaves you feeling really grouchy."
276,3,"That endless wait in line will leave you feeling really grouchy."
266,3,"You’re at your breaking point with the noise from your neighbors; you’re just exhausted!"
266,3,"You were at your breaking point with the noise from your neighbors; you were just exhausted!"
266,3,"You are at your breaking point with the noise from your neighbors; you are just exhausted!"
266,3,"You will be at your breaking point with the noise from your neighbors; you will be just exhausted!"
282,3,"You spilled coffee on yourself first thing in the morning; it set the tone for your day."
282,3,"You spilled coffee on yourself first thing in the morning; it set the tone for your day."
282,3,"You spill coffee on yourself first thing in the morning; it sets the tone for your day."
282,3,"You will spill coffee on yourself first thing in the morning; it will set the tone for your day."
263,3,"You lost money in the stock market; it's affecting your mood."
263,3,"You lost money in the stock market; it affected your mood."
263,3,"You lose money in the stock market; it affects your mood."
263,3,"You will lose money in the stock market; it will affect your mood."
267,3,"Ugh, having a cold is the worst! It’s turning me into such a grouch!"
267,3,"Ugh, having a cold was the worst! It turned me into such a grouch!"
267,3,"Ugh, having a cold is the worst! It turns me into such a grouch!"
267,3,"Ugh, having a cold will be the worst! It will turn me into such a grouch!"
269,3,"When they told me my usual drink was out, I felt a familiar panic; my day feels derailed."
269,3,"When they told me my usual drink was out, I felt a familiar panic; my day felt derailed."
269,3,"When they tell me my usual drink is out, I feel a familiar panic; my day feels derailed."
269,3,"When they will tell me my usual drink is out, I will feel a familiar panic; my day will feel derailed."
276,3,"You’re so tired and irritable because that dog kept you up all night."
276,3,"You were so tired and irritable because that dog kept you up all night."
276,3,"You are so tired and irritable because that dog keeps you up all night."
276,3,"You will be so tired and irritable because that dog will keep you up all night."
282,3,"The weather is unbearably hot; no one can be in a good mood today"
282,3,"The weather was unbearably hot; no one could be in a good mood that day."
282,3,"The weather is unbearably hot; no one can be in a good mood today."
282,3,"The weather will be unbearably hot; no one will be in a good mood that day."
267,3,"Losing power while you were in the groove ruined everything; frustration overtook you."
267,3,"Losing power while you were in the groove ruined everything; frustration overtook you."
267,3,"Losing power while you are in the groove ruins everything; frustration overtakes you."
267,3,"Losing power while you will be in the groove will ruin everything; frustration will overtake you."
282,3,"You can't shake off that awful client meeting; you're still simmering with frustration!"
282,3,"You couldn't shake off that awful client meeting; you were still simmering with frustration!"
282,3,"You can't shake off that awful client meeting; you are still simmering with frustration!"
282,3,"You won't be able to shake off that awful client meeting; you will still be simmering with frustration!"
282,3,"Enduring constant back pain today is really fraying your temper."
282,3,"Enduring constant back pain today was really fraying your temper."
282,3,"Enduring constant back pain today is really fraying your temper."
282,3,"Enduring constant back pain today will really fray your temper."
269,3,"The washing machine broke; dealing with appliance issues is driving you crazy."
269,3,"The washing machine broke; dealing with appliance issues drove you crazy."
269,3,"The washing machine breaks; dealing with appliance issues drives you crazy."
269,3,"The washing machine will break; dealing with appliance issues will drive you crazy."
270,3,"Feeling the effects of jet lag is debilitating; your energy feels drained."
270,3,"Feeling the effects of jet lag was debilitating; your energy felt drained."
270,3,"Feeling the effects of jet lag is debilitating; your energy feels drained."
270,3,"Feeling the effects of jet lag will be debilitating; your energy will feel drained."
282,3,"Ugh, your favorite team lost! You've been feeling down ever since that game!"
282,3,"Ugh, your favorite team lost! You had been feeling down ever since that game!"
282,3,"Ugh, your favorite team loses! You feel down ever since that game!"
282,3,"Ugh, your favorite team will lose! You will feel down ever since that game!"
276,3,"I was stuck in line for hours; it put me in a bad mood"
276,3,"I was stuck in line for hours; it put me in a bad mood."
276,3,"I am stuck in line for hours; it puts me in a bad mood."
276,3,"I will be stuck in line for hours; it will put me in a bad mood."
262,3,"You spent the entire day fixing other people’s mistakes; you’re sick of it."
262,3,"You spent the entire day fixing other people’s mistakes; you were sick of it."
262,3,"You spend the entire day fixing other people’s mistakes; you are sick of it."
262,3,"You will spend the entire day fixing other people’s mistakes; you will be sick of it."
261,3,"The kids have been out of control all day; it’s no wonder anyone would lose their temper."
261,3,"The kids had been out of control all day; it was no wonder anyone would lose their temper."
261,3,"The kids are out of control all day; it is no wonder anyone would lose their temper."
261,3,"The kids will be out of control all day; it will be no wonder anyone will lose their temper."
276,3,"Those noisy neighbors kept me up all night; I’m running on empty today!"
276,3,"Those noisy neighbors kept you up all night; you were running on empty today!"
276,3,"Those noisy neighbors keep you up all night; you are running on empty today!"
276,3,"Those noisy neighbors will keep you up all night; you will be running on empty today!"
280,3,"The state of the house renovation is utterly chaotic; you’re losing your mind over it."
280,3,"The state of the house renovation was utterly chaotic; you were losing your mind over it."
280,3,"The state of the house renovation is utterly chaotic; you are losing your mind over it."
280,3,"The state of the house renovation will be utterly chaotic; you will be losing your mind over it."
263,3,"The neighbors were noisy all night; you're sleep-deprived."
263,3,"The neighbors were noisy all night; you were sleep-deprived."
263,3,"The neighbors are noisy all night; you are sleep-deprived."
263,3,"The neighbors will be noisy all night; you will be sleep-deprived."
262,3,"The house renovation is pure chaos; it’s driving you up the wall."
262,3,"The house renovation was pure chaos; it drove you up the wall."
262,3,"The house renovation is pure chaos; it drives you up the wall."
262,3,"The house renovation will be pure chaos; it will drive you up the wall."
282,3,"My struggle with insomnia is turning me into a short-tempered, cranky shell of myself."
282,3,"My struggle with insomnia was turning me into a short-tempered, cranky shell of myself."
282,3,"My struggle with insomnia is turning me into a short-tempered, cranky shell of myself."
282,3,"My struggle with insomnia will turn me into a short-tempered, cranky shell of myself."
264,3,"The lawnmower broke; unexpected chores stress me out"
264,3,"The lawnmower broke; unexpected chores stressed you out."
264,3,"The lawnmower breaks; unexpected chores stress you out."
264,3,"The lawnmower will break; unexpected chores will stress you out."
277,3,"Great, now I have a flat tire—this car trouble is pushing me to my limit!"
277,3,"Great, now I had a flat tire—this car trouble was pushing me to my limit!"
277,3,"Great, now I have a flat tire—this car trouble is pushing me to my limit!"
277,3,"Great, now I will have a flat tire—this car trouble will push me to my limit!"
272,3,"Overindulging in caffeine has me buzzing with anxiety; I can't seem to settle down."
