type,sentence
0,"This is a space for our honesty."
0,"This was a space for our honesty."
0,"It saddens you to think I believe you would manipulate my choices."
0,"It saddened you to think I believed you would manipulate my choices."
0,"It's perfectly fine if I haven't figured out what I want yet; we have plenty of time."
0,"It was perfectly fine if I hadn't figured out what I wanted yet; we had plenty of time."
0,"You're present to listen attentively."
0,"This is a space for our honesty."
0,"This isn’t a demand — it’s just you being transparent."
0,"It saddens you to think I believe you would manipulate my choices."
0,"Let’s pause and give each other space to reflect."
0,"It's perfectly fine if I haven't figured out what I want yet; we have plenty of time."
0,"There’s room for both of us to process this at our own pace."
0,"This will be a space for our honesty."
0,"It’s frustrating to think that my opinions don’t carry weight with you!"
0,"It will sadden you to think I will believe you would manipulate my choices."
0,"No matter what choice I make, you’ll respect it."
0,"It will be perfectly fine if I haven't figured out what I will want yet; we will have plenty of time."
0,"This isn’t about dominating the situation — it’s about building a connection."
0,"You're present to listen attentively."
0,"This is a space for honesty"
0,"It frustrates you that this can sometimes feel like a power struggle instead."
0,"This wasn’t a demand — it was just you being transparent."
0,"What do you think we should do to proceed from here?"
0,"We can explore options when the time is right."
0,"Let’s pause and give each other space to reflect."
0,"There’s no right answer — just your truth."
0,"If I’m feeling unsure, just know that’s perfectly okay."
0,"There was room for both of us to process this at our own pace."
0,"I’m not here to influence you."
0,"Let’s take a step back and unravel this together without haste."
0,"It was frustrating to think that my opinions didn’t carry weight with you!"
0,"It makes me feel uncomfortable to think you might feel hurried when I'm hoping for your sense of security."
0,"I’m here, ready to listen whenever you feel the need to talk."
0,"No matter what choice I made, you respected it."
0,"We should allow ourselves the time we need to sort this out."
0,"Let’s just take this moment by moment."
0,"This wasn’t about dominating the situation — it was about building a connection."
0,"There’s nothing I need to prove to you."
0,"This is not just a request."
0,"This is a space for honesty."
0,"I’m entitled to work through this in my own way."
0,"I value your boundaries, and I want to honor them."
0,"I valued your boundaries, and I wanted to honor them."
0,"You’re not asking for much; you just want to share your feelings without pressure."
0,"You weren’t asking for much; you just wanted to share your feelings without pressure."
0,"What are your thoughts on how to move forward?"
0,"What were your thoughts on how to move forward?"
0,"I just wanted to talk — no agenda."
0,"I just wanted to talk — no agenda."
0,"We’re both allowed to take our time with this."
0,"We were both allowed to take our time with this."
0,"We both need to feel secure during this conversation."
0,"We both needed to feel secure during that conversation."
0,"I feel a bit upset knowing that you think I need to be doing something right away."
0,"I felt a bit upset knowing that you thought I needed to be doing something right away."
0,"You don’t owe me anything."
0,"You didn’t owe me anything."
0,"I’m still deciding what feels right for me."
