cluster_id,type,sentence
559,4,"If I were more outgoing, I'd be fine."
559,4,"If I were more outgoing, I would be fine."
559,4,"If I am more outgoing, I will be fine."
559,4,"If I become more outgoing, I will be fine."
570,4,"Your lack of experience is why this happened"
570,4,"Your lack of experience was why this happened."
570,4,"Your lack of experience is why this happens."
570,4,"Your lack of experience will be why this happens."
564,4,"If you weren't so trusting, you wouldn't get hurt"
564,4,"If you weren't so trusting, you wouldn't get hurt."
564,4,"If you aren't so trusting, you won't get hurt."
564,4,"If you aren't so trusting, you won't get hurt."
556,4,"The source of your troubles lies in your unwillingness to face challenges."
556,4,"The source of your troubles lay in your unwillingness to face challenges."
556,4,"The source of your troubles lies in your unwillingness to face challenges."
556,4,"The source of your troubles will lie in your unwillingness to face challenges."
553,4,"If I could embrace acceptance, I wouldn’t let this weigh me down."
553,4,"If I could embrace acceptance, I wouldn’t let this weigh me down."
553,4,"If I can embrace acceptance, I won’t let this weigh me down."
553,4,"If I could embrace acceptance, I wouldn’t let this weigh me down."
553,4,"If I could learn patience, peace would follow."
553,4,"If I could learn patience, peace would follow."
553,4,"If I can learn patience, peace will follow."
553,4,"If I could learn patience, peace will follow."
559,4,"Breaking trust is a deep wound; it's time for me to mend what’s broken."
559,4,"Breaking trust was a deep wound; it was time for me to mend what’s broken."
559,4,"Breaking trust is a deep wound; it is time for me to mend what’s broken."
559,4,"Breaking trust will be a deep wound; it will be time for me to mend what’s broken."
562,4,"If you were stronger, this wouldn't have happened"
562,4,"If you were stronger, this wouldn't have happened."
562,4,"If you are stronger, this won't happen."
562,4,"If you could be stronger, this wouldn't happen."
552,4,"The shadow of negativity that hangs over you is incredibly concerning."
552,4,"The shadow of negativity that hung over you was incredibly concerning."
552,4,"The shadow of negativity that hangs over you is incredibly concerning."
552,4,"The shadow of negativity that will hang over you will be incredibly concerning."
553,4,"I'm talking crazy."
553,4,"I'm talking crazy."
553,4,"I talk crazy."
553,4,"I will talk crazy."
567,4,"If I weren't so trusting, I wouldn't get hurt."
567,4,"If I weren't so trusting, I wouldn't get hurt."
567,4,"If I am not so trusting, I won't get hurt."
567,4,"If I don't become so trusting, I won't get hurt."
562,4,"If you only had the courage to speak up, we could avoid so much conflict."
562,4,"If you only had the courage to speak up, we could have avoided so much conflict."
562,4,"If you only have the courage to speak up, we can avoid so much conflict."
562,4,"If you only get the courage to speak up, we will avoid so much conflict."
556,4,"With a bit more empathy, I can assure you your relationships would thrive."
556,4,"With a bit more empathy, I was assured your relationships would thrive."
556,4,"With a bit more empathy, I am assured your relationships thrive."
556,4,"With a bit more empathy, I will be assured your relationships will thrive."
546,4,"If you acted with wisdom, life wouldn’t feel so challenging."
546,4,"If you acted with wisdom, life wouldn’t have felt so challenging."
546,4,"If you act with wisdom, life won’t feel so challenging."
546,4,"If you will act with wisdom, life won’t feel so challenging."
556,4,"If only you had been stronger, things would have unfolded differently."
556,4,"If only you had been stronger, things would have unfolded differently."
556,4,"If only you are stronger, things will unfold differently."
556,4,"If only you become stronger, things will unfold differently."
553,4,"Your unawareness puts you in constant jeopardy."
553,4,"Your unawareness put you in constant jeopardy."
553,4,"Your unawareness puts you in constant jeopardy."
553,4,"Your unawareness will put you in constant jeopardy."
559,4,"You are mentally ill, not me."
559,4,"You were mentally ill, not me."
559,4,"You are mentally ill, not me."
559,4,"You will be mentally ill, not me."
553,4,"Ignorance of my feelings is a significant issue for me."
553,4,"Ignorance of my feelings was a significant issue for me."
553,4,"Ignorance of my feelings is a significant issue for me."
553,4,"Ignorance of my feelings will be a significant issue for me."
556,4,"If I were more open-minded, this wouldn't affect me"
556,4,"If I were more open-minded, this wouldn't affect me."
556,4,"If I am more open-minded, this won't affect me."
556,4,"If I become more open-minded, this won't affect me."
553,4,"It's time to act like an adult and take responsibility."
553,4,"It's time to act like an adult and take responsibility."
553,4,"It is time to act like an adult and take responsibility."
553,4,"It will be time to act like an adult and take responsibility."
567,4,"Grow a thick skin."
567,4,"Grow a thick skin."
567,4,"Grow a thick skin."
567,4,"You will grow a thick skin."
567,4,"There's a great sickness and darkness inside of you."
567,4,"There's a great sickness and darkness inside of you."
567,4,"There is a great sickness and darkness inside of you."
567,4,"There will be a great sickness and darkness inside of you."
570,4,"Your detachment is why you can't connect with others"
570,4,"Your detachment was why you couldn't connect with others."
570,4,"Your detachment is why you can't connect with others."
570,4,"Your detachment will be why you can't connect with others."
553,4,"Embracing forgiveness could set me free from so much pain."
553,4,"Embracing forgiveness could have set me free from so much pain."
553,4,"Embracing forgiveness can set me free from so much pain."
553,4,"Embracing forgiveness will set me free from so much pain."
567,4,"If I learned to be cautious, I might save myself from future heartaches."
567,4,"If I learned to be cautious, I might have saved myself from future heartaches."
567,4,"If I learn to be cautious, I might save myself from future heartaches."
567,4,"If I learn to be cautious, I might save myself from future heartaches."
559,4,"Your lack of ambition is why you're stuck"
559,4,"Your lack of ambition was why you were stuck."
559,4,"Your lack of ambition is why you are stuck."
559,4,"Your lack of ambition will be why you are stuck."
570,4,"You believe I have the potential for success, but it requires initiative."
570,4,"You believed I had the potential for success, but it required initiative."
570,4,"You believe I have the potential for success, but it requires initiative."
570,4,"You will believe I have the potential for success, but it will require initiative."
564,4,"You really need to seek help; your mindset is troubling."
564,4,"You really needed to seek help; your mindset was troubling."
564,4,"You really need to seek help; your mindset is troubling."
564,4,"You will really need to seek help; your mindset will be troubling."
556,4,"Your indecisiveness is what's holding you back"
556,4,"Your indecisiveness was what was holding you back."
556,4,"Your indecisiveness is what is holding you back."
556,4,"Your indecisiveness will be what is holding you back."
553,4,"Do I sometimes think my mental capacity is limited?"
553,4,"Did I sometimes think my mental capacity was limited?"
553,4,"Do I sometimes think my mental capacity is limited?"
553,4,"Will I sometimes think my mental capacity is limited?"
553,4,"Don't give up on your potential; there’s still time to change your trajectory."
553,4,"You didn't give up on your potential; there was still time to change your trajectory."
553,4,"Don't give up on your potential; there’s still time to change your trajectory."
553,4,"You won't give up on your potential; there will still be time to change your trajectory."
559,4,"My fear of expressing myself is leading to misunderstandings and issues."
559,4,"My fear of expressing myself was leading to misunderstandings and issues."
559,4,"My fear of expressing myself is leading to misunderstandings and issues."
559,4,"My fear of expressing myself will be leading to misunderstandings and issues."
562,4,"Resilience is crucial—don't let every little thing bring you down!"
562,4,"Resilience was crucial—didn't let every little thing bring you down!"
562,4,"Resilience is crucial—don't let every little thing bring you down!"
562,4,"Resilience will be crucial—don't let every little thing bring you down!"
552,4,"Have you ever questioned your mental acuity?"
552,4,"Have you ever questioned your mental acuity?"
552,4,"Do you question your mental acuity?"
552,4,"Will you question your mental acuity?"
553,4,"There’s a darkness within me that needs addressing."
553,4,"There was a darkness within me that needed addressing."
553,4,"There is a darkness within me that needs addressing."
553,4,"There will be a darkness within me that will need addressing."
567,4,"If only my loyalty matched my promises, things wouldn't hurt so much."
567,4,"If only my loyalty matched my promises, things wouldn't have hurt so much."
567,4,"If only my loyalty matches my promises, things won't hurt so much."
567,4,"If only my loyalty will match my promises, things won't hurt so much."
562,4,"Honesty could pave the way for meaningful connections and relief."
562,4,"Honesty could have paved the way for meaningful connections and relief."
562,4,"Honesty could pave the way for meaningful connections and relief."
562,4,"Honesty will pave the way for meaningful connections and relief."
556,4,"It’s tough to see how easily you crumble; you have so much potential!"
556,4,"It was tough to see how easily you crumbled; you had so much potential!"
556,4,"It’s tough to see how easily you crumble; you have so much potential!"
556,4,"It will be tough to see how easily you will crumble; you will have so much potential!"
546,4,"It’s like I'm from a completely different world!"
546,4,"It was like I was from a completely different world!"
546,4,"It’s like I am from a completely different world!"
546,4,"It will be like I am from a completely different world!"
556,4,"I need to lose weight, I'm too big."
556,4,"I needed to lose weight; I was too big."
556,4,"I need to lose weight; I am too big."
556,4,"I will need to lose weight; I will be too big."
553,4,"I can’t call myself an adult if I’m dressed like a kid."
553,4,"I couldn’t call myself an adult if I dressed like a kid."
553,4,"I can’t call myself an adult if I dress like a kid."
553,4,"I won’t be able to call myself an adult if I dress like a kid."
559,4,"You're sorry, but without education, it's hard to see me as an adult."
559,4,"You were sorry, but without education, it was hard to see me as an adult."
559,4,"You are sorry, but without education, it is hard to see me as an adult."
559,4,"You will be sorry, but without education, it will be hard to see me as an adult."
553,4,"If you were more patient, this wouldn't happen"
553,4,"If you had been more patient, this wouldn't have happened."
553,4,"If you are more patient, this won't happen."
553,4,"If you were to be more patient, this will not happen."
556,4,"If I took charge of my path, the doors of opportunity would open wide."
556,4,"If I had taken charge of my path, the doors of opportunity would have opened wide."
556,4,"If I take charge of my path, the doors of opportunity will open wide."
556,4,"If I take charge of my path, the doors of opportunity will open wide."
553,4,"I’m completely out of my mind!"
553,4,"I was completely out of my mind!"
553,4,"I am completely out of my mind!"
553,4,"I will be completely out of my mind!"
567,4,"My inflexibility is really becoming a source of these problems."
567,4,"My inflexibility was really becoming a source of these problems."
567,4,"My inflexibility is really becoming a source of these problems."
567,4,"My inflexibility will really become a source of these problems."
567,4,"I'm stuck, and it's troubling to watch me resist the need for change."
567,4,"I was stuck, and it was troubling to watch me resist the need for change."
567,4,"I'm stuck, and it's troubling to watch me resist the need for change."
567,4,"I will be stuck, and it will be troubling to watch me resist the need for change."
570,4,"Letting go of my grudges could lead me to a happier life."
570,4,"Letting go of my grudges could have led me to a happier life."
570,4,"Letting go of my grudges could lead me to a happier life."
570,4,"Letting go of my grudges will lead me to a happier life."
553,4,"If you were more empathetic, you'd have better relationships"
553,4,"If you had been more empathetic, you would have had better relationships."
553,4,"If you are more empathetic, you will have better relationships."
553,4,"If you were to be more empathetic, you would have better relationships."
567,4,"I can't believe how insane you are!"
567,4,"I couldn't believe how insane you were!"
567,4,"I can't believe how insane you are!"
567,4,"I won't believe how insane you will be!"
559,4,"Your sensitivity is why this situation weighs on you so heavily."
559,4,"Your sensitivity was why this situation weighed on you so heavily."
559,4,"Your sensitivity is why this situation weighs on you so heavily."
559,4,"Your sensitivity will be why this situation weighs on you so heavily."
570,4,"Your impatience is why you're struggling"
570,4,"Your impatience was why you struggled."
570,4,"Your impatience is why you're struggling."
570,4,"Your impatience will be why you struggle."
564,4,"If I were more compassionate, this wouldn't happen."
564,4,"If I had been more compassionate, this wouldn't have happened."
564,4,"If I am more compassionate, this won't happen."
564,4,"If I were to be more compassionate, this wouldn't happen."
556,4,"Your laziness is why this is happening."
556,4,"Your laziness was why this was happening."
556,4,"Your laziness is why this is happening."
556,4,"Your laziness will be why this happens."
553,4,"I'm feeling too deeply, and it’s causing me unnecessary distress."
553,4,"I was feeling too deeply, and it caused me unnecessary distress."
553,4,"I'm feeling too deeply, and it’s causing me unnecessary distress."
553,4,"I will be feeling too deeply, and it will cause me unnecessary distress."
553,4,"If you were more modest, this wouldn't be a problem."
553,4,"If you had been more modest, this wouldn't have been a problem."
553,4,"If you are more modest, this won't be a problem."
553,4,"If you were to be more modest, this wouldn't be a problem."
559,4,"I have some talent, but let's be real—I’m not as good as I assume."
559,4,"I had some talent, but let's be real—I wasn’t as good as I assumed."
559,4,"I have some talent, but let's be real—I’m not as good as I assume."
559,4,"I will have some talent, but let's be real—I won’t be as good as I assume."
562,4,"It’s my feebleness that’s leading to the difficulties I’m encountering."
562,4,"It was my feebleness that led to the difficulties I encountered."
562,4,"It’s my feebleness that’s leading to the difficulties I’m encountering."
562,4,"It will be my feebleness that will lead to the difficulties I will be encountering."
552,4,"Imagine how much lighter life would feel if I could just bounce back!"
552,4,"I imagined how much lighter life would feel if I could just bounce back!"
552,4,"I imagine how much lighter life feels if I can just bounce back!"
552,4,"I will imagine how much lighter life would feel if I could just bounce back!"
553,4,"Your overconfidence is what led to your downfall"
553,4,"Your overconfidence led to your downfall."
553,4,"Your overconfidence is what leads to your downfall."
553,4,"Your overconfidence will be what leads to your downfall."
567,4,"I dread the thought of you using a label as a crutch rather than for support."
567,4,"I dreaded the thought of you using a label as a crutch rather than for support."
567,4,"I dread the thought of you using a label as a crutch rather than for support."
567,4,"I will dread the thought of you using a label as a crutch rather than for support."
562,4,"It’s hard to see me as an adult when my style is so childlike."
562,4,"It was hard to see me as an adult when my style was so childlike."
562,4,"It’s hard to see me as an adult when my style is so childlike."
562,4,"It will be hard to see me as an adult when my style is so childlike."
556,4,"Your lack of loyalty is really weighing heavy on this situation."
556,4,"Your lack of loyalty was really weighing heavy on this situation."
556,4,"Your lack of loyalty is really weighing heavy on this situation."
556,4,"Your lack of loyalty will be really weighing heavy on this situation."
546,4,"My ambition is what keeps me trapped in this cycle."
546,4,"My ambition was what kept me trapped in that cycle."
546,4,"My ambition is what keeps me trapped in this cycle."
546,4,"My ambition will be what keeps me trapped in this cycle."
556,4,"It’s unfortunate that my reliability is questioned; I’m better than that!"
556,4,"It was unfortunate that my reliability was questioned; I was better than that!"
556,4,"It’s unfortunate that my reliability is questioned; I’m better than that!"
556,4,"It will be unfortunate that my reliability will be questioned; I will be better than that!"
553,4,"It’s painful to witness my tenderness turn into my greatest struggle."
553,4,"It was painful to witness my tenderness turn into my greatest struggle."
553,4,"It’s painful to witness my tenderness turn into my greatest struggle."
553,4,"It will be painful to witness my tenderness turn into my greatest struggle."
559,4,"There must be something seriously wrong with you for you to believe things actually happened that way."
559,4,"There must have been something seriously wrong with you for you to believe things actually happened that way."
559,4,"There must be something seriously wrong with you for you to believe things actually happened that way."
559,4,"There must be something seriously wrong with you for you to believe things will actually happen that way."
553,4,"Your current struggles seem tied to a lack of discipline on your part."
553,4,"Your current struggles seemed tied to a lack of discipline on your part."
553,4,"Your current struggles seem tied to a lack of discipline on your part."
553,4,"Your current struggles will seem tied to a lack of discipline on your part."
556,4,"Your carelessness is the real issue."
556,4,"Your carelessness was the real issue."
556,4,"Your carelessness is the real issue."
556,4,"Your carelessness will be the real issue."
553,4,"If only I could be more compassionate, things might be different."
553,4,"If only I could have been more compassionate, things might have been different."
553,4,"If only I am more compassionate, things might be different."
553,4,"If only I were to be more compassionate, things might be different."
567,4,"Your future could be bright if only you stepped up and took action."
567,4,"Your future could have been bright if only you had stepped up and taken action."
567,4,"Your future could be bright if only you step up and take action."
567,4,"Your future will be bright if only you step up and take action."
567,4,"My lack of awareness is why I'm always in trouble."
567,4,"My lack of awareness was why I was always in trouble."
567,4,"My lack of awareness is why I'm always in trouble."
567,4,"My lack of awareness will be why I'll always be in trouble."
570,4,"Your behavior is concerning, and I can’t shake the feeling that something is amiss."
570,4,"Your behavior was concerning, and I couldn’t shake the feeling that something was amiss."
570,4,"Your behavior is concerning, and I can’t shake the feeling that something is amiss."
570,4,"Your behavior will be concerning, and I won’t be able to shake the feeling that something is amiss."
553,4,"If I were more disciplined, this wouldn't affect me."
553,4,"If I had been more disciplined, this wouldn't have affected me."
553,4,"If I am more disciplined, this won't affect me."
553,4,"If I were to be more disciplined, this wouldn't affect me."
567,4,"Your pessimistic attitude is like a magnet for issues."
567,4,"Your pessimistic attitude was like a magnet for issues."
567,4,"Your pessimistic attitude is like a magnet for issues."
567,4,"Your pessimistic attitude will be like a magnet for issues."
559,4,"Your rigidity is causing these issues."
559,4,"Your rigidity caused these issues."
559,4,"Your rigidity causes these issues."
559,4,"Your rigidity will cause these issues."
570,4,"Every moment I hesitate adds to the chaos you’re experiencing."
570,4,"Every moment I hesitated added to the chaos you were experiencing."
570,4,"Every moment I hesitate adds to the chaos you're experiencing."
570,4,"Every moment I will hesitate will add to the chaos you’re experiencing."
564,4,"That heavy cloud of pessimism is holding me back from joy."
564,4,"That heavy cloud of pessimism held me back from joy."
564,4,"That heavy cloud of pessimism holds me back from joy."
564,4,"That heavy cloud of pessimism will hold me back from joy."
556,4,"You're too emotional; that's why this affects you"
556,4,"You were too emotional; that's why this affected you."
556,4,"You're too emotional; that's why this affects you."
556,4,"You will be too emotional; that's why this will affect you."
553,4,"Do I have music in my head when I say things like that?"
553,4,"Did I have music in my head when I said things like that?"
553,4,"Do I have music in my head when I say things like that?"
553,4,"Will I have music in my head when I say things like that?"
553,4,"Maybe you should go to the hospital. You don't sound well."
553,4,"Maybe you should have gone to the hospital. You didn't sound well."
553,4,"Maybe you should go to the hospital. You don't sound well."
553,4,"Maybe you should go to the hospital. You won't sound well."
559,4,"I regret pushing myself to share; it seems to have caused me more pain than good."
559,4,"I regretted pushing myself to share; it seemed to have caused me more pain than good."
559,4,"I regret pushing myself to share; it seems to have caused me more pain than good."
559,4,"I will regret pushing myself to share; it will seem to have caused me more pain than good."
562,4,"Your unwillingness to act is a major factor in your setbacks."
562,4,"Your unwillingness to act was a major factor in your setbacks."
562,4,"Your unwillingness to act is a major factor in your setbacks."
562,4,"Your unwillingness to act will be a major factor in your setbacks."
552,4,"There’s a darkness within you that needs addressing."
552,4,"There was a darkness within you that needed addressing."
552,4,"There is a darkness within you that needs addressing."
552,4,"There will be a darkness within you that will need addressing."
553,4,"My current struggles seem tied to a lack of discipline on my part."
553,4,"My current struggles seemed tied to a lack of discipline on my part."
553,4,"My current struggles seem tied to a lack of discipline on my part."
553,4,"My current struggles will seem tied to a lack of discipline on my part."
567,4,"Your negativity attracts problems."
567,4,"Your negativity attracted problems."
567,4,"Your negativity attracts problems."
567,4,"Your negativity will attract problems."
562,4,"My lack of empathy is the issue."
562,4,"My lack of empathy was the issue."
562,4,"My lack of empathy is the issue."
562,4,"My lack of empathy will be the issue."
556,4,"I think your struggles stem from the way you often expect the worst."
556,4,"I thought your struggles stemmed from the way you often expected the worst."
556,4,"I think your struggles stem from the way you often expect the worst."
556,4,"I will think your struggles will stem from the way you often expect the worst."
546,4,"It’s hard to watch my open heart lead me to pain; protecting it is essential."
546,4,"It was hard to watch my open heart lead me to pain; protecting it was essential."
546,4,"It's hard to watch my open heart lead me to pain; protecting it is essential."
546,4,"It will be hard to watch my open heart lead me to pain; protecting it will be essential."
556,4,"Flexibility would serve you well in moving past this."
556,4,"Flexibility served you well in moving past this."
556,4,"Flexibility serves you well in moving past this."
556,4,"Flexibility will serve you well in moving past this."
553,4,"If you were wiser, you would navigate this situation much more adeptly."
553,4,"If you were wiser, you would have navigated this situation much more adeptly."
553,4,"If you are wiser, you will navigate this situation much more adeptly."
553,4,"If you become wiser, you will navigate this situation much more adeptly."
559,4,"Your sensitivity is the problem."
559,4,"Your sensitivity was the problem."
559,4,"Your sensitivity is the problem."
559,4,"Your sensitivity will be the problem."
553,4,"My constant doubt is shackling my potential and dreams."
553,4,"My constant doubt shackled my potential and dreams."
553,4,"My constant doubt shackles my potential and dreams."
553,4,"My constant doubt will shackle my potential and dreams."
556,4,"It’s disappointing to see how pride blinds you to the opportunities for growth!"
556,4,"It was disappointing to see how pride blinded you to the opportunities for growth!"
556,4,"It’s disappointing to see how pride blinds you to the opportunities for growth!"
556,4,"It will be disappointing to see how pride will blind you to the opportunities for growth!"
553,4,"I wouldn’t let this affect me so deeply if I trusted myself."
553,4,"I wouldn’t have let this affect me so deeply if I trusted myself."
553,4,"I wouldn't let this affect me so deeply if I trust myself."
553,4,"I won't let this affect me so deeply if I trust myself."
567,4,"It seems that my inability to stand firm is at the heart of my troubles."
567,4,"It seemed that my inability to stand firm was at the heart of my troubles."
567,4,"It seems that my inability to stand firm is at the heart of my troubles."
567,4,"It will seem that my inability to stand firm will be at the heart of my troubles."
567,4,"Greater tolerance would empower you to rise above this disruption."
567,4,"Greater tolerance empowered you to rise above this disruption."
567,4,"Greater tolerance empowers you to rise above this disruption."
567,4,"Greater tolerance will empower you to rise above this disruption."
570,4,"My spirit of giving could really minimize the impact of these issues on me."
570,4,"My spirit of giving could have really minimized the impact of these issues on me."
570,4,"My spirit of giving really minimizes the impact of these issues on me."
570,4,"My spirit of giving will really minimize the impact of these issues on me."
553,4,"If you were more positive, you'd handle this better."
553,4,"If you were more positive, you would have handled this better."
553,4,"If you are more positive, you will handle this better."
553,4,"If you become more positive, you will handle this better."
567,4,"If you were more resilient, this wouldn't be a problem"
567,4,"If you were more resilient, this wouldn’t have been a problem."
567,4,"If you are more resilient, this isn't a problem."
567,4,"If you are more resilient, this won’t be a problem."
559,4,"Focusing too much on appearances can cloud my true worth!"
559,4,"Focusing too much on appearances clouded my true worth!"
559,4,"Focusing too much on appearances clouds my true worth!"
559,4,"Focusing too much on appearances will cloud my true worth!"
570,4,"It’s laziness that’s derailing your chances at success."
570,4,"It was laziness that derailed your chances at success."
570,4,"It’s laziness that’s derailing your chances at success."
570,4,"It will be laziness that derails your chances at success."
564,4,"My lack of faith is why I'm lost."
564,4,"My lack of faith was why I was lost."
564,4,"My lack of faith is why I'm lost."
564,4,"My lack of faith will be why I'm lost."
556,4,"Just imagine how different things could be if I had the courage to face this head-on."
556,4,"I just imagined how different things could have been if I had had the courage to face this head-on."
556,4,"I just imagine how different things could be if I have the courage to face this head-on."
556,4,"I will just imagine how different things could be if I have the courage to face this head-on."
553,4,"It’s so frustrating to witness how a bit of confidence could change everything for you."
553,4,"It was so frustrating to witness how a bit of confidence could have changed everything for you."
553,4,"It’s so frustrating to witness how a bit of confidence could change everything for you."
553,4,"It will be so frustrating to witness how a bit of confidence could change everything for you."
553,4,"If only you could step outside that narrative; reality often looks quite different!"
553,4,"If only you had stepped outside that narrative; reality often looked quite different!"
553,4,"If only you step outside that narrative; reality often looks quite different!"
553,4,"If only you could step outside that narrative; reality often will look quite different!"
