type,sentence
0,"What matters is the deep effect it had on the essence of your being."
0,"What mattered was the deep effect it had on the essence of your being."
0,"It’s completely okay if I don’t remember it — you just need to express your feelings about it."
0,"It was completely okay if I didn’t remember it — you just needed to express your feelings about it."
0,"Perhaps the specifics have faded in your memory, but they remain strikingly clear in mine."
0,"Perhaps the specifics had faded in your memory, but they remained strikingly clear in mine."
0,"I yearn for the moment when this won't have an impact on me anymore."
0,"I yearned for the moment when this wouldn't have an impact on me anymore."
0,"You’ve kept it close to you."
0,"You had kept it close to you."
0,"I can’t believe how that moment stole my feeling of safety!"
0,"I couldn’t believe how that moment stole my feeling of safety!"
0,"This is something I cannot just erase from my thoughts."
0,"This was something I could not just erase from my thoughts."
0,"That time still haunts me, leaving a sense of unease that I can't shake off."
0,"That time still haunted me, leaving a sense of unease that I couldn't shake off."
0,"The recollection still stirs fierce feelings within you."
0,"The recollection still stirred fierce feelings within you."
0,"This feeling has been like a stone in my chest for far too long."
0,"This feeling has been like a stone in my chest for far too long."
0,"Letting go of this was never an option for me."
0,"Letting go of this had never been an option for me."
0,"I wish I could forget it so vividly."
0,"I wished I could forget it so vividly."
0,"The recollection still stirs fierce feelings within me."
0,"The recollection still stirred fierce feelings within me."
0,"It triggered a major transformation in me that I can’t just dismiss."
0,"It triggered a major transformation in me that I couldn’t just dismiss."
0,"You can’t fathom why this memory torments you so vividly."
0,"You couldn’t fathom why this memory tormented you so vividly."
0,"Some experiences linger for a long time after they’re over for you."
0,"Some experiences lingered for a long time after they were over for you."
0,"Please, let that memory fade from your heart!"
0,"Please, let that memory fade from your heart!"
0,"That moment was a pivotal point for you."
0,"That moment was a pivotal point for you."
0,"Some things just have a way of lingering for you."
0,"Some things just had a way of lingering for you."
0,"Even if you're not recalling every single moment."
0,"Even if you weren't recalling every single moment."
0,"What has made you bear this weight by yourself for such a long time?"
0,"What had made you bear this weight by yourself for such a long time?"
0,"Even though time has progressed, the effect still resonates in my heart."
0,"Even though time had progressed, the effect still resonated in my heart."
0,"You believe that moment marked a significant shift in your journey."
0,"You believed that moment marked a significant shift in your journey."
0,"You held back from mentioning it back then."
0,"You had held back from mentioning it back then."
0,"Can’t I recognize how those varied memories still carry the same pain?"
0,"Could I recognize how those varied memories still carried the same pain?"
0,"That conversation has been a crushing burden on my heart."
0,"That conversation was a crushing burden on my heart."
0,"That conversation is a crushing burden on my heart."
0,"That conversation will be a crushing burden on my heart."
0,"You don't need a flawless recollection to feel the pain."
0,"You didn't need a flawless recollection to feel the pain."
0,"You don’t need a flawless recollection to feel the pain."
0,"You won’t need a flawless recollection to feel the pain."
0,"Even now"
0,"Even then."
0,"Even now."
0,"Even in the future."
0,"Even if I don't remember it, it undeniably changed everything for you."
0,"Even if I didn’t remember it, it undeniably changed everything for you."
0,"Even if I don’t remember it, it undeniably changes everything for you."
0,"Even if I don’t remember it, it will undeniably change everything for you."
0,"Some things just linger"
0,"Some things just lingered."
0,"Some things just linger."
0,"Some things will just linger."
0,"Please recognize that you’re not blaming — you’re simply expressing your perspective."
0,"Please recognized that you weren’t blaming — you were simply expressing your perspective."
0,"Please recognize that you’re not blaming — you’re simply expressing your perspective."
0,"Please recognize that you won’t be blaming — you’ll simply be expressing your perspective."
0,"To you, it might appear insignificant."
0,"To you, it might have appeared insignificant."
0,"To you, it might appear insignificant."
0,"To you, it might seem insignificant."
0,"I wish I could forget it — but I haven’t."
0,"I wished I could forget it — but I hadn’t."
0,"I wish I could forget it — but I haven’t."
0,"I will wish I could forget it — but I won't have."
0,"It’s not about who remembers what — it’s how it shaped me."
0,"It wasn’t about who remembered what — it was how it shaped me."
0,"It isn’t about who remembers what — it’s how it shapes me."
0,"It won’t be about who remembers what — it will be how it shapes me."
0,"I understand it's difficult to discuss."
0,"I understood it was difficult to discuss."
0,"I understand it's difficult to discuss."
0,"I will understand it will be difficult to discuss."
0,"It still plays in the back of your mind now and then."
0,"It still played in the back of your mind now and then."
0,"It still plays in the back of your mind now and then."
0,"It will still play in the back of your mind now and then."
0,"You've never really managed to let go of that feeling."
0,"You've never really managed to let go of that feeling."
0,"You haven’t really managed to let go of that feeling."
0,"You won’t really manage to let go of that feeling."
0,"I think that was a turning point"
0,"I thought that was a turning point."
0,"I think that is a turning point."
0,"I will think that will be a turning point."
0,"That feeling has settled in your heart, unwilling to release its grip."
0,"That feeling had settled in your heart, unwilling to release its grip."
0,"That feeling has settled in your heart, unwilling to release its grip."
0,"That feeling will have settled in your heart, unwilling to release its grip."
0,"I've mulled over that moment far more than I'd care to confess."
0,"I mulled over that moment far more than I cared to confess."
0,"I mull over that moment far more than I care to confess."
0,"I will mull over that moment far more than I will care to confess."
0,"It took me a long time to come to terms with that moment."
0,"It took me a long time to come to terms with that moment."
0,"It takes me a long time to come to terms with that moment."
0,"It will take me a long time to come to terms with that moment."
0,"It wasn’t just about your actions — it was the impact they had."
0,"It wasn’t just about your actions — it was the impact they had."
0,"It isn’t just about your actions — it’s the impact they have."
0,"It won’t just be about your actions — it will be the impact they have."
0,"I didn’t bring it up then."
0,"I didn’t bring it up then."
0,"I don’t bring it up now."
0,"I won’t bring it up then."
0,"That experience brought about a profound change within me that I must acknowledge."
0,"That experience brought about a profound change within me that I must acknowledge."
0,"That experience brings about a profound change within me that I must acknowledge."
0,"That experience will bring about a profound change within me that I must acknowledge."
0,"It may not have seemed like much."
0,"It may not have seemed like much."
0,"It may not seem like much."
0,"It may not seem like much in the future."
0,"This feeling has felt like a heavy burden in my chest for a long time."
0,"This feeling felt like a heavy burden in my chest for a long time."
0,"This feeling feels like a heavy burden in my chest."
0,"This feeling will feel like a heavy burden in my chest for a long time."
0,"The memory still evokes powerful emotions."
0,"The memory still evoked powerful emotions."
0,"The memory still evokes powerful emotions."
0,"The memory will still evoke powerful emotions."
0,"You can’t shake the devastation that day unleashed on your lives."
0,"You couldn’t shake the devastation that day unleashed on your lives."
0,"You can’t shake the devastation that day unleashes on your lives."
0,"You won’t be able to shake the devastation that day will unleash on your lives."
0,"I’ve held onto that memory longer than I thought I would."
0,"I had held onto that memory longer than I thought I would."
0,"I have held onto that memory longer than I thought I would."
0,"I will have held onto that memory longer than I thought I would."
0,"It stuck with me more than I expected."
0,"It stuck with me more than I expected."
0,"It sticks with me more than I expect."
0,"It will stick with me more than I expect."
0,"Please, let the memories fade away into nothingness."
0,"Please, let the memories faded away into nothingness."
0,"You may think it was a small incident, but it nearly broke me."
0,"You may have thought it was a small incident, but it nearly broke me."
0,"I wish it didn’t still matter to me"
0,"I wished it didn’t still matter to me."
0,"Why did that moment make you question your entire existence?"
0,"Why did that moment make you question your entire existence?"
0,"That instance changed your perspective on everything."
0,"That instance changed your perspective on everything."
0,"Some memories just won't fade away even when I try to forget."
0,"Some memories just wouldn't fade away even when I tried to forget."
0,"This incident revealed a pain I had buried deep inside."
0,"This incident revealed a pain I had buried deep inside."
0,"What occurred may appear insignificant to others."
0,"What occurred may have appeared insignificant to others."
0,"Why did I hold back my voice when I needed to be heard?"
0,"Why did I hold back my voice when I needed to be heard?"
0,"It's perfectly fine if you don’t recall it — I just need to voice my feelings about it."
0,"It was perfectly fine if you didn’t recall it — I just needed to voice my feelings about it."
0,"Even if I’m not recalling every detail."
0,"Even if I wasn’t recalling every detail."
0,"I’ve been carrying this feeling for a while."
0,"I had been carrying this feeling for a while."
0,"Even if it was brief"
0,"Even if it was brief."
0,"I might have forgotten, but the hurt still cuts deep for you."
0,"I might have forgotten, but the hurt still cut deep for you."
0,"I wish I could erase that hurtful memory from my mind."
0,"I wished I could have erased that hurtful memory from my mind."
0,"It held more significance to me than I ever revealed."
0,"It held more significance to me than I ever revealed."
0,"To you, it might seem trivial, but for me, it meant everything."
0,"To you, it might have seemed trivial, but for me, it meant everything."
0,"It was a turning point for you."
0,"It was a turning point for you."
0,"I didn’t truly confront that memory until just now."
0,"I didn’t truly confront that memory until just then."
0,"I’ve been pondering how that event has influenced my view of us."
0,"I had been pondering how that event influenced my view of us."
0,"Even if it seems minor now."
0,"Even if it seemed minor then."
0,"That instance transformed my perspective on life."
0,"That instance transformed my perspective on life."
0,"You don’t remember everything."
