cluster_id,type,sentence
128,3,"I check in with my team every day at 9 a.m. via video call."
128,3,"I checked in with my team every day at 9 a.m. via video call."
128,3,"I check in with my team every day at 9 a.m. via video call."
128,3,"I will check in with my team every day at 9 a.m. via video call."
139,3,"On Sunday afternoons, you embrace the chore of ironing, knowing it smooths the creases of forthcoming days."
139,3,"On Sunday afternoons, you embraced the chore of ironing, knowing it smoothed the creases of forthcoming days."
139,3,"On Sunday afternoons, you embrace the chore of ironing, knowing it smooths the creases of forthcoming days."
139,3,"On Sunday afternoons, you will embrace the chore of ironing, knowing it smooths the creases of forthcoming days."
139,3,"Sipping my coffee, I scan the headlines each morning, eager to learn what the world has to offer today."
139,3,"Sipping my coffee, I scanned the headlines each morning, eager to learn what the world had to offer that day."
139,3,"Sipping my coffee, I scan the headlines each morning, eager to learn what the world has to offer today."
139,3,"Sipping my coffee, I will scan the headlines each morning, eager to learn what the world has to offer each day."
150,3,"I find comfort in drinking green tea during my morning break."
150,3,"I found comfort in drinking green tea during my morning break."
150,3,"I find comfort in drinking green tea during my morning break."
150,3,"I will find comfort in drinking green tea during my morning break."
128,3,"You diligently check in with your team each morning, finding pride in your daily connection and preparation."
128,3,"You diligently checked in with your team each morning, finding pride in your daily connection and preparation."
128,3,"You diligently check in with your team each morning, finding pride in your daily connection and preparation."
128,3,"You will diligently check in with your team each morning, finding pride in your daily connection and preparation."
113,3,"I drink chamomile tea to help me fall asleep."
113,3,"I drank chamomile tea to help me fall asleep."
113,3,"I drink chamomile tea to help me fall asleep."
113,3,"I will drink chamomile tea to help me fall asleep."
142,3,"He goes to bed by 10:30 p.m. without fail."
142,3,"He went to bed by 10:30 p.m. without fail."
142,3,"He goes to bed by 10:30 p.m. without fail."
142,3,"He will go to bed by 10:30 p.m. without fail."
139,3,"You floss every night after brushing your teeth."
139,3,"You flossed every night after brushing your teeth."
139,3,"You floss every night after brushing your teeth."
139,3,"You will floss every night after brushing your teeth."
107,3,"You hastily take vitamins with breakfast to avoid forgetting later."
107,3,"You hastily took vitamins with breakfast to avoid forgetting later."
107,3,"You hastily take vitamins with breakfast to avoid forgetting later."
107,3,"You will hastily take vitamins with breakfast to avoid forgetting later."
103,3,"She spends ten minutes tidying up before bed."
103,3,"She spent ten minutes tidying up before bed."
103,3,"She spends ten minutes tidying up before bed."
103,3,"She will spend ten minutes tidying up before bed."
127,3,"He joyfully listens to relaxing music to wind down in the evening."
127,3,"He joyfully listened to relaxing music to wind down in the evening."
127,3,"He joyfully listens to relaxing music to wind down in the evening."
127,3,"He will joyfully listen to relaxing music to wind down in the evening."
139,3,"Over my breakfast, I reluctantly glance at the news, knowing I need to stay informed but longing for more cheerful updates."
139,3,"Over my breakfast, I reluctantly glanced at the news, knowing I needed to stay informed but longed for more cheerful updates."
139,3,"Over my breakfast, I reluctantly glance at the news, knowing I need to stay informed but long for more cheerful updates."
139,3,"Over my breakfast, I will reluctantly glance at the news, knowing I need to stay informed but will long for more cheerful updates."
142,3,"I rise with the sun at 6 a.m., savoring the refreshing start to my day with a crisp glass of water."
142,3,"I rose with the sun at 6 a.m., savoring the refreshing start to my day with a crisp glass of water."
142,3,"I rise with the sun at 6 a.m., savoring the refreshing start to my day with a crisp glass of water."
142,3,"I will rise with the sun at 6 a.m., savoring the refreshing start to my day with a crisp glass of water."
150,3,"As soon as you're home, you slip into your workout gear, feeling a surge of determination to push through the fatigue."
150,3,"As soon as you were home, you slipped into your workout gear, feeling a surge of determination to push through the fatigue."
150,3,"As soon as you're home, you slip into your workout gear, feeling a surge of determination to push through the fatigue."
150,3,"As soon as you are home, you will slip into your workout gear, feeling a surge of determination to push through the fatigue."
103,3,"I go for a 30-minute walk before starting work."
103,3,"I went for a 30-minute walk before starting work."
103,3,"I go for a 30-minute walk before starting work."
103,3,"I will go for a 30-minute walk before starting work."
104,3,"As the alarm chimes at 6 a.m., I groggily reach for my glass of water, trying to shake off the morning haze."
104,3,"As the alarm chimed at 6 a.m., I groggily reached for my glass of water, trying to shake off the morning haze."
104,3,"As the alarm chimes at 6 a.m., I groggily reach for my glass of water, trying to shake off the morning haze."
