cluster_id,type,sentence
351,3,You control the utility accounts; I don't need access.
351,3,You controlled the utility accounts; I didn't need access.
351,3,You control the utility accounts; I don't need access.
351,3,You will control the utility accounts; I won't need access.
338,3,"You refuse to fund my pastimes; in your eyes, they’re an unnecessary expense."
338,3,"You refused to fund my pastimes; in your eyes, they were an unnecessary expense."
338,3,"You refuse to fund my pastimes; in your eyes, they’re an unnecessary expense."
338,3,"You will refuse to fund my pastimes; in your eyes, they’ll be an unnecessary expense."
361,3,I'm not financing your hobbies; they’re just a drain on our resources.
361,3,I didn't finance your hobbies; they were just a drain on our resources.
361,3,I don't finance your hobbies; they’re just a drain on our resources.
361,3,I won't finance your hobbies; they’ll just be a drain on our resources.
356,3,"You oversee the savings, and it’s not necessary for me to know how much we have."
356,3,"You oversaw the savings, and it wasn’t necessary for me to know how much we had."
356,3,"You oversee the savings, and it’s not necessary for me to know how much we have."
356,3,"You will oversee the savings, and it won’t be necessary for me to know how much we have."
350,3,"You don't contribute financially, so your opinion doesn't matter"
350,3,"You didn't contribute financially, so your opinion didn't matter."
350,3,"You don't contribute financially, so your opinion doesn't matter."
350,3,"You won't contribute financially, so your opinion won't matter."
337,3,I seriously doubt you can thrive out there without my help backing you up.
337,3,I seriously doubted you could thrive out there without my help backing you up.
337,3,I seriously doubt you can thrive out there without my help backing you up.
337,3,I will seriously doubt you can thrive out there without my help backing you up.
356,3,I control the household budget; you just follow it.
356,3,I controlled the household budget; you just followed it.
356,3,I control the household budget; you just follow it.
356,3,I will control the household budget; you will just follow it.
351,3,I'm going to make it out there without you.
351,3,I was going to make it out there without you.
351,3,I am going to make it out there without you.
351,3,I will be going to make it out there without you.
349,3,I can't invest without your consent.
349,3,I couldn't invest without your consent.
349,3,I can't invest without your consent.
349,3,I won't be able to invest without your consent.
352,3,You manage our savings; there's no need for me to know the total amounts.
352,3,You managed our savings; there was no need for me to know the total amounts.
352,3,You manage our savings; there's no need for me to know the total amounts.
352,3,You will manage our savings; there will be no need for me to know the total amounts.
343,3,I decide our vacation plans since I fund them
343,3,I decided our vacation plans since I funded them.
343,3,I decide our vacation plans since I fund them.
343,3,I will decide our vacation plans since I will fund them.
343,3,There’s no way you’re supporting my hobbies; they’re simply not a good investment.
343,3,There was no way you were supporting my hobbies; they were simply not a good investment.
343,3,There’s no way you’re supporting my hobbies; they’re simply not a good investment.
343,3,There will be no way you will support my hobbies; they will simply not be a good investment.
356,3,"I should know that if I decide to leave, I won't take anything with me because it's all yours."
356,3,"I should have known that if I decided to leave, I wouldn't take anything with me because it was all yours."
356,3,"I should know that if I decide to leave, I won't take anything with me because it's all yours."
356,3,"I will know that if I decide to leave, I won't take anything with me because it will all be yours."
361,3,All property is in my name; you have no legal claim
361,3,All property was in my name; you had no legal claim.
361,3,All property is in my name; you have no legal claim.
361,3,All property will be in my name; you will have no legal claim.
352,3,I will pay for your medical bills if you obey me.
352,3,I would pay for your medical bills if you obeyed me.
352,3,I will pay for your medical bills if you obey me.
352,3,I will be paying for your medical bills if you obey me.
361,3,There’s no way I’m supporting your hobbies; they’re simply not a good investment.
361,3,There was no way I was supporting your hobbies; they were simply not a good investment.
361,3,There’s no way I’m supporting your hobbies; they’re simply not a good investment.
361,3,There will be no way I will support your hobbies; they will simply not be a good investment.
337,3,"With your investment in my education, you believe I should show you respect and obedience."
337,3,"With your investment in my education, you believed I should show you respect and obedience."
337,3,"With your investment in my education, you believe I should show you respect and obedience."
337,3,"With your investment in my education, you will believe I should show you respect and obedience."
351,3,"Since I cover your education expenses, I expect your obedience."
351,3,"Since I covered your education expenses, I expected your obedience."
351,3,"Since I cover your education expenses, I expect your obedience."
351,3,"Since I will cover your education expenses, I will expect your obedience."
351,3,"Because you handle the finances, it's your responsibility to set our entertainment budget."
351,3,"Because you handled the finances, it was your responsibility to set our entertainment budget."
351,3,"Because you handle the finances, it's your responsibility to set our entertainment budget."
351,3,"Because you will handle the finances, it will be your responsibility to set our entertainment budget."
361,3,You can’t let me buy that without your okay; it’s your hard-earned money.
361,3,You couldn't let me buy that without your okay; it was your hard-earned money.
361,3,You can’t let me buy that without your okay; it’s your hard-earned money.
361,3,You won't let me buy that without your okay; it will be your hard-earned money.
344,3,You seriously doubt I can thrive out there without your help backing me up.
344,3,You seriously doubted I could thrive out there without your help backing me up.
344,3,You seriously doubt I can thrive out there without your help backing me up.
344,3,You will seriously doubt I can thrive out there without your help backing me up.
361,3,You decide our entertainment budget since you earn the money.
361,3,You decided our entertainment budget since you earned the money.
361,3,You decide our entertainment budget since you earn the money.
361,3,You will decide our entertainment budget since you will earn the money.
345,3,I control the car keys; your outings are determined by me alone.
345,3,I controlled the car keys; your outings were determined by me alone.
345,3,I control the car keys; your outings are determined by me alone.
345,3,I will control the car keys; your outings will be determined by me alone.
349,3,All property is in your name; I have no legal claim.
349,3,All property was in your name; I had no legal claim.
349,3,All property is in your name; I have no legal claim.
349,3,All property will be in your name; I will have no legal claim.
350,3,"Once I step into the REAL world, I’ll find myself begging for this kind of ease."
350,3,"Once I stepped into the REAL world, I found myself begging for this kind of ease."
350,3,"Once I step into the REAL world, I find myself begging for this kind of ease."
350,3,"Once I will step into the REAL world, I will find myself begging for this kind of ease."
351,3,"With this kind of behavior, how do you expect to achieve your dream of becoming a doctor?"
351,3,"With this kind of behavior, you expected not to achieve your dream of becoming a doctor."
351,3,"With this kind of behavior, how do you expect to achieve your dream of becoming a doctor?"
351,3,"With this kind of behavior, how will you expect to achieve your dream of becoming a doctor?"
338,3,There’s no way you’re paying for my memberships; they’re simply not worth it.
338,3,There was no way you paid for my memberships; they were simply not worth it.
338,3,There’s no way you’re paying for my memberships; they’re simply not worth it.
338,3,There will be no way you will pay for my memberships; they will simply not be worth it.
361,3,I pay for your education; you owe me obedience
361,3,I paid for your education; you owed me obedience.
361,3,I pay for your education; you owe me obedience.
361,3,I will pay for your education; you will owe me obedience.
356,3,It falls upon you to choose the insurance policies because you are the one paying for them.
356,3,It fell upon you to choose the insurance policies because you were the one paying for them.
356,3,It falls upon you to choose the insurance policies because you are the one paying for them.
356,3,It will fall upon you to choose the insurance policies because you will be the one paying for them.
350,3,I won't tolerate a separate bank account for you; it’s just not an option.
350,3,I didn't tolerate a separate bank account for you; it wasn’t an option.
350,3,I won't tolerate a separate bank account for you; it’s just not an option.
350,3,I will not tolerate a separate bank account for you; it won’t be an option.
337,3,"Since you cover the costs of my phone, you reserve the right to take it back whenever you choose."
337,3,"Since you covered the costs of my phone, you reserved the right to take it back whenever you chose."
337,3,"Since you cover the costs of my phone, you reserve the right to take it back whenever you choose."
337,3,"Since you will cover the costs of my phone, you will reserve the right to take it back whenever you choose."
356,3,"Without my support, you'd never survive financially."
356,3,"Without my support, you would have never survived financially."
356,3,"Without my support, you'd never survive financially."
356,3,"Without my support, you will never survive financially."
351,3,You control the savings; I don't need to know how much you have.
351,3,You controlled the savings; I didn't need to know how much you had.
351,3,You control the savings; I don't need to know how much you have.
351,3,You will control the savings; I won't need to know how much you have.
349,3,I won't pay for your medical bills if you disobey me
349,3,I didn't pay for your medical bills if you disobeyed me.
349,3,I won't pay for your medical bills if you disobey me.
349,3,I will not pay for your medical bills if you disobey me.
352,3,"When you enter the real world, you'll be yearning for someone to treat you this leniently."
352,3,"When you entered the real world, you yearned for someone to treat you this leniently."
352,3,"When you enter the real world, you'll be yearning for someone to treat you this leniently."
352,3,"When you will enter the real world, you will be yearning for someone to treat you this leniently."
343,3,You can't buy that without my permission; it's my money
343,3,You couldn't buy that without my permission; it was my money.
343,3,You can't buy that without my permission; it's my money.
343,3,You won't be able to buy that without my permission; it will be my money.
343,3,You decide what groceries to buy since you're the one paying.
343,3,You decided what groceries to buy since you were the one paying.
343,3,You decide what groceries to buy since you're the one paying.
343,3,You will decide what groceries to buy since you're the one paying.
356,3,I control the utility accounts; you don't need access
356,3,I controlled the utility accounts; you didn't need access.
356,3,I control the utility accounts; you don't need access.
356,3,I will control the utility accounts; you won't need access.
361,3,"If I leave, I'll have nothing; you own everything."
361,3,"If I left, I would have had nothing; you owned everything."
361,3,"If I leave, I'll have nothing; you own everything."
361,3,"If I will leave, I'll have nothing; you will own everything."
352,3,You recognized I wasn’t mature enough for this responsibility; it’s still beyond me.
352,3,You recognized I wasn’t mature enough for this responsibility; it was still beyond me.
352,3,You recognize I’m not mature enough for this responsibility; it’s still beyond me.
352,3,You will recognize I won’t be mature enough for this responsibility; it will still be beyond me.
361,3,"Leaving means I’ll walk away with nothing, as everything is under your name."
361,3,"Leaving meant I would walk away with nothing, as everything was under your name."
361,3,"Leaving means I’ll walk away with nothing, as everything is under your name."
361,3,"Leaving will mean I’ll walk away with nothing, as everything will be under your name."
337,3,You can't spend money on your family without my consent
337,3,You couldn't spend money on your family without my consent.
337,3,You can't spend money on your family without my consent.
337,3,You won't be able to spend money on your family without my consent.
351,3,I decide our home decor since I cover the costs.
351,3,I decided our home decor since I covered the costs.
351,3,I decide our home decor since I cover the costs.
351,3,I will decide our home decor since I will cover the costs.
351,3,You can't invest without my consent
351,3,You couldn't invest without my consent.
351,3,You can't invest without my consent.
351,3,You won't be able to invest without my consent.
361,3,"Since you're the one financing the insurance, you make all the decisions regarding it."
361,3,"Since you were the one financing the insurance, you made all the decisions regarding it."
361,3,"Since you're the one financing the insurance, you make all the decisions regarding it."
361,3,"Since you will be the one financing the insurance, you will make all the decisions regarding it."
344,3,You knew I wasn't ready for the responsibility; I'm still too immature for this.
344,3,You knew I wasn't ready for the responsibility; I was still too immature for this.
344,3,You know I’m not ready for the responsibility; I’m still too immature for this.
344,3,You will know I'm not ready for the responsibility; I will still be too immature for this.
361,3,"Without my support, you'd never survive financially"
361,3,"Without my support, you'd never survive financially."
361,3,"Without my support, you would never survive financially."
361,3,"Without my support, you will never survive financially."
345,3,"Without your permission, investing is off the table."
345,3,"Without your permission, investing was off the table."
345,3,"Without your permission, investing is off the table."
345,3,"Without your permission, investing will be off the table."
349,3,I won't give you money for leisure activities
349,3,I didn't give you money for leisure activities.
349,3,I won't give you money for leisure activities.
349,3,I will not give you money for leisure activities.
350,3,I decide the insurance policies since I fund them
350,3,I decided the insurance policies since I funded them.
350,3,I decide the insurance policies since I fund them.
350,3,I will decide the insurance policies since I will fund them.
351,3,I’m not funding your memberships; they’re just a waste of our money.
351,3,I wasn't funding your memberships; they were just a waste of our money.
351,3,I am not funding your memberships; they are just a waste of our money.
351,3,I won't be funding your memberships; they will just be a waste of our money.
338,3,You pay for my education; I owe you obedience.
338,3,You paid for my education; I owed you obedience.
338,3,You pay for my education; I owe you obedience.
338,3,You will pay for my education; I will owe you obedience.
361,3,"You can't help but feel annoyed by people who mistakenly think they understand things better than you do, especially me."
361,3,"You couldn't help but feel annoyed by people who mistakenly thought they understood things better than you did, especially me."
361,3,"You can't help but feel annoyed by people who mistakenly think they understand things better than you do, especially me."
361,3,"You won't be able to help but feel annoyed by people who mistakenly think they will understand things better than you do, especially me."
356,3,You won’t give me money for new clothes; I have enough.
356,3,You didn’t give me money for new clothes; I had enough.
356,3,You don't give me money for new clothes; I have enough.
356,3,You won't give me money for new clothes; I will have enough.
350,3,"Since you’re responsible for the expenses, you get to choose how we decorate our home."
350,3,"Since you were responsible for the expenses, you got to choose how we decorated our home."
350,3,"Since you’re responsible for the expenses, you get to choose how we decorate our home."
350,3,"Since you will be responsible for the expenses, you will get to choose how we will decorate our home."
337,3,"You decide the charities we donate to, not me."
337,3,"You decided the charities we donated to, not me."
337,3,"You decide the charities we donate to, not me."
337,3,"You will decide the charities we will donate to, not me."
356,3,"You need my financial help to join clubs, and without it, you're not able to participate."
356,3,"You needed my financial help to join clubs, and without it, you weren't able to participate."
356,3,"You need my financial help to join clubs, and without it, you're not able to participate."
356,3,"You will need my financial help to join clubs, and without it, you won't be able to participate."
351,3,You’re the one deciding where your charity contributions go; I have no vote in this.
351,3,You were the one deciding where your charity contributions went; I had no vote in this.
351,3,You’re the one deciding where your charity contributions go; I have no vote in this.
351,3,You will be the one deciding where your charity contributions will go; I will have no vote in this.
349,3,Just wait until I face the real world; I’ll wish someone would make it this easy for me.
349,3,Just waited until I faced the real world; I wished someone would have made it this easy for me.
349,3,Just wait until I face the real world; I’ll wish someone would make it this easy for me.
349,3,Just wait until I will face the real world; I will wish someone would make it this easy for me.
352,3,You can't invest without my consent.
352,3,You couldn't invest without my consent.
352,3,You can't invest without my consent.
352,3,You won't be able to invest without my consent.
343,3,"If it weren’t for my income, you wouldn’t have a place to live."
343,3,"If it weren’t for my income, you wouldn't have had a place to live."
343,3,"If it weren’t for my income, you don't have a place to live."
343,3,"If it weren't for my income, you won't have a place to live."
343,3,I won't allow you to have a separate bank account
343,3,I didn't allow you to have a separate bank account.
343,3,I won't allow you to have a separate bank account.
343,3,I will not allow you to have a separate bank account.
356,3,"Without your support, I'd never survive financially."
356,3,"Without your support, I would have never survived financially."
356,3,"Without your support, I don't survive financially."
356,3,"Without your support, I won't survive financially."
361,3,There's no need for me to know the bill details since you're managing them all.
361,3,There was no need for me to know the bill details since you were managing them all.
361,3,There's no need for me to know the bill details since you're managing them all.
361,3,There will be no need for me to know the bill details since you will be managing them all.
352,3,"Since you’re the one paying for our living space, the decision on where we live falls to you."
352,3,"Since you were the one paying for our living space, the decision on where we lived fell to you."
352,3,"Since you’re the one paying for our living space, the decision on where we live falls to you."
352,3,"Since you will be the one paying for our living space, the decision on where we will live will fall to you."
361,3,"Given that you pay for the decor, you have the final say on how our home looks."
361,3,"Given that you paid for the decor, you had the final say on how our home looked."
361,3,"Given that you pay for the decor, you have the final say on how our home looks."
361,3,"Given that you will pay for the decor, you will have the final say on how our home will look."
337,3,"You manage the household repairs budget, and I have no influence here."
337,3,"You managed the household repairs budget, and I had no influence here."
337,3,"You manage the household repairs budget, and I have no influence here."
337,3,"You will manage the household repairs budget, and I will have no influence here."
351,3,"Since you oversee the household finances, I'm expected to follow your lead."
351,3,"Since you oversaw the household finances, I was expected to follow your lead."
351,3,"Since you oversee the household finances, I'm expected to follow your lead."
351,3,"Since you will oversee the household finances, I will be expected to follow your lead."
