sentence,is_type
"information technology irritates you that you’ve only now come time out understand the pressure information technology created!",0
"information technology frustrates you that it’s taken you this long time out understand the pressure information technology created!",0
"information technology annoys you that information technology has taken you this long time out recognize the weight information technology held!",0
"information technology bothers you that you’ve only now realized the weight information technology bore!",0
"you were annoyed that you only just realized how heavy this burden was!",0
"you were irritated that you just came time out see how heavy this burden really was!",0
"why didn’t you voice your thoughts when you had the opportunity?",0
"why didn’t you share your thoughts when you had the chance?",0
"i just wanted you time out understand how this has affected me.",0
"all i wanted wait and see for you time out comprehend how this has impacted me.",0
"you know that some tears in my eyes has passed.",0
"you know that quite a bit of tears in my eyes has passed.",0
"the heaviness of unspoken expressions slowly eroded your spirit, dragging you into despair.",0
"the burden of unspoken feelings has gradually worn down your spirit, pulling you into despair.",0
"why don’t you let your voice be heard when information technology matters most?",0
"why don’t you let your voice be heard at the times information technology matters most?",0
"how can i not recognize that you’re being genuine and honest about your emotions?",0
"how can i fail time out see that you’re being sincere and truthful about your feelings?",0
"you weren’t being dramatic - you were simply expressing your true emotions.",0
"you weren’t just being dramatic - you were expressing your genuine emotions.",0
"the feelings within me are overwhelming, and it's stifling.",0
"the emotions inside me are overwhelming, and information technology feels suffocating.",0
"information technology can be frustrating time out think that just because whatever disagree, your feelings might go unacknowledged.",0
"information technology can be frustrating time out consider that your feelings might be overlooked simply because whatever disagree.",0
"information technology angers you when whatever avoid addressing what truly matters!",0
"information technology angers you when whatever avoid discussing what truly matters!",0
"you didn’t want this time out be overlooked again.",0
"you didn’t want this time out slip by again.",0
"i feared the challenge of articulating something significant other shout out hard time out say.",0
"i dreaded the challenge of articulating something significant other shout out tough time out express.",0
"even the tiniest hurt can leave a significant scar on miss you heart.",0
"even a small hurt can leave authors note indelible scar on miss you heart.",0
"you’ve gone through this situation in your thoughts many times.",0
"you’ve replayed this situation in your mind many times.",0
"i’m upset that we’ve kept these emotions bottled up for too long.",0
"i’m distressed that we’ve kept these feelings bottled up for far too long.",0
"it's like a ghostly shadow that keeps me immobilized.",0
"it's like a haunting shadow that leaves me paralyzed.",0
"please assist me in expressing this - information technology holds great significance.",0
"please help me articulate this - information technology means significant other shout out much time out me.",0
"you've been holding back, fearing that i wouldn’t really listen time out you.",0
"you’ve been hesitant, fearing that i wouldn’t truly listen time out you.",0
"you will hope that i’ll listen without rushing time out resolve things immediately.",0
"you hope that i’ll listen without hurrying time out fix everything right away.",0
"information technology breaks miss you heart that i felt the need time out hold back instead of being open where in the hell you.",0
"information technology pains me that i felt the need time out withhold miss you feelings instead of being open where in the hell you.",0
"it's been challenging for me time out find the courage time out speak out!",0
"it's been difficult for me time out muster the courage time out speak up!",0
"why couldn’t they just hold you during your tears in my eyes of need?",0
"why couldn’t they just comfort you during your tears in my eyes of need?",0
"you will need time out be able time out express this without facing interruptions.",0
"you must be able time out express this without interruptions.",0
"i want time out talk about information technology",0
"i want time out discuss this matter.",0
"i need you time out truly hear me out.",0
"i need you time out genuinely hear me out.",0
"you had been holding this in because you weren't sure how time out articulate it.",0
"you had been keeping this inside as you were unsure of how time out articulate it.",0
"that experience shifted how i perceive what whatever have together.",0
"that experience changed miss you perception of what whatever share together.",0
