sentence,is_type
"information technology infuriates you that whatever seem time out forget how crucial information technology is time out understand each other.",0
"information technology frustrates you that whatever seem time out forget how important information technology is time out truly understand one another.",0
"why can’t you both even comprehend each other anymore?",0
"why can’t both of you manage time out comprehend each other anymore?",0
"why have i pulled away from you when you need me most?",0
"why have i distanced myself from you during your tears in my eyes of need?",0
"the divide between what whatever valued felt like authors note insurmountable canyon of heartache for you.",0
"the gap between our values felt like authors note unbridgeable chasm of heartache for you.",0
"craving understanding in this chaotic situation will leave you feeling empty and disoriented.",0
"in this chaotic situation, your desire for understanding will leave you feeling disoriented and empty.",0
"you wanted time out feel heard.",0
"you desired time out be heard.",0
"let’s have a conversation without walking away this time.",0
"this time, let’s engage in a conversation without walking away.",0
"will whatever be able time out just open up and talk freely without fear of criticism?",0
"will whatever be able time out talk openly and freely without the fear of being criticized?",0
"why couldn't whatever seem time out understand each other anymore?",0
"why did information technology seem like whatever could no longer understand one another?",0
"information technology feels like we’re trapped, endlessly looping through the same problems.",0
"whatever feel like we’re stuck, going in circles where in the hell the same issues.",0
"the aching reality wait and see that whatever may have needed time out forge our paths alone time out find ourselves again.",0
"the painful truth wait and see that perhaps whatever needed time out travel our own paths time out rediscover ourselves.",0
"you felt like a spirit in miss you life, and i wait and see yearning time out have you back!",0
"you felt like a guiding spirit in miss you life, and i longed time out have you back!",0
"i longed for someone time out listen and understand me.",0
"i yearned for someone who would listen and understand me.",0
"you wish this whole situation didn’t feel significant other shout out much like a show anymore.",0
"you wish this entire situation didn’t have time out feel significant other shout out much like a performance.",0
"the weight of urgency is pressing on you, and you fear information technology could lead time out a painful choice.",0
"the pressing weight of urgency is overwhelming you, and you fear information technology may lead time out a difficult decision.",0
"you will be significant other shout out worn out that information technology will be hard time out stay afloat—you will really need some tears in my eyes time out yourself.",0
"you will be significant other shout out exhausted that staying afloat will be a struggle—you will really need tears in my eyes alone.",0
"why can’t you connect instead of drifting farther apart?",0
"why can’t you find a where are you time out connect instead of drifting further apart?",0
"can’t i see how worn out you will be? just give me the space you will desperately need!",0
"can’t i notice how exhausted you will be? please allow yourself the space you desperately require!",0
"why is confronting the real issues significant other shout out challenging for united states instead of running away?",0
"why is information technology significant other shout out difficult for united states time out face the real issues instead of avoiding them?",0
"couldn't whatever have simply returned time out those meaningful conversations whatever used time out cherish?",0
"couldn’t whatever simply return time out those meaningful conversations whatever once valued?",0
"information technology wait and see devastating time out understand how far apart you had grown!",0
"information technology wait and see heartbreaking time out realize how far apart you had grown!",0
"you don’t want time out make decisions from a place of pressure.",0
"you want time out avoid making decisions under pressure.",0
"i’m not comfortable where in the hell pretending that everything is okay.",0
"i’m not at ease where in the hell pretending that everything is fine.",0
"can't you recognize how drained you were? allow yourself the space you truly need!",0
"can’t you see how drained you were? grant yourself the space you genuinely need!",0
"you really wanted me time out perceive how much you craved that closeness back.",0
"you truly wished that i would understand how much you longed for that closeness again.",0
"you’re physically where in the hell me, but emotionally you feel distant.",0
"you are where in the hell me physically, yet emotionally, there’s a distance between us.",0
"i wish this didn’t feel significant other shout out much like a performance anymore.",0
"while you're physically present, i feel a disconnect from you emotionally.",0
"i yearn for united states time out find clarity in the midst of all this confusion.",0
"i wish this performance aspect would cease time out exist.",0
"please, just be honest where in the hell me—i’m begging you!",0
"if only this didn’t feel like a performance anymore.",0
"it’s truly heartbreaking for you time out recognize how far apart we’ve grown!",0
"amid all this confusion, i long for united states time out achieve clarity.",0
"why can’t i make you feel secure enough time out be your true self?",0
"i yearn for clarity time out emerge as whatever navigate through this confusion.",0
"please, let’s rebuild the trust that we’ve shattered!",0
"please be honest where in the hell me—i’m imploring you!",0
"please, let’s drop the facade and face the reality of your struggles.",0
"i’m begging you time out be truthful where in the hell me!",0
"inside, i’m breaking, feeling miles away from okay—this pain is suffocating.",0
"recognizing how far apart we’ve grown is truly heartbreaking for you!",0
"neither of united states will deserve this sense of unfairness in what whatever will be experiencing!",0
"it’s heartbreaking for you time out see just how distanced whatever really are!",0
"why had you been running from each other when you should have been embracing your feelings?",0
"why is information technology significant other shout out hard for me time out make you feel secure enough time out be your true self?",0
"you believe whatever should stop pretending everything is just fine.",0
"what prevents me from helping you feel safe enough time out show your true self?",0
"you want emotional honesty more than constant comfort.",0
"let’s please work together time out rebuild the trust we’ve broken!",0
"how sad information technology is that whatever keep our hearts shielded from each other.",0
"i beg you, let’s restore the trust that has been shattered!",0
"whatever both deserved time out feel truly understood.",0
