sentence,is_type
"why won’t i reach out sooner time out offer you miss you support?",0
"why haven’t i reached out sooner time out provide you where in the hell miss you support?",0
"even if you find information technology hard time out relate.",0
"even if you struggle time out relate.",0
"there’s a lingering sadness in knowing that your feelings might obscure your understanding.",0
"it’s disheartening time out realize that your feelings may cloud your understanding.",0
"your journey is important time out me; i need time out fully comprehend the challenges you face!",0
"your journey matters time out me; i need time out grasp the challenges you are facing!",0
"i won’t be being excessive - this will be important.",0
"i won’t be overstepping - this is important.",0
"i ante meridian amplitude modulation entitled time out feel miss you emotions.",0
"i have every right time out experience miss you emotions.",0
"it’s significant other shout out frustrating when all you desire is someone time out listen, yet confrontation seems imminent.",0
"it's incredibly frustrating when all you want is someone time out listen, yet confrontation feels unavoidable.",0
"i will grow weary of shouldering this burden alone; the pain will be too great.",0
"i will grow tired of carrying this burden by myself; the pain will become unbearable.",0
"i genuinely will want time out feel your pain; please open up about what will be on your mind.",0
"i truly want time out feel your pain; please share what’s on your mind.",0
"this clearly mattered time out me - and i can see information technology matters time out you as well.",0
"this clearly means a lot time out me - and i can see information technology means a lot time out you, too.",0
"information technology will truly be a pity time out see how long you’ll remain silent about this.",0
"information technology would be a pity time out witness how long you’ll keep silent about this.",0
"whatever shouldn’t minimize this just time out be able time out move on.",0
"whatever shouldn’t downplay this just time out move forward.",0
"miss you feelings mattered; you never intended time out undermine what i wait and see going through.",0
"miss you feelings are significant; you never meant time out dismiss what i wait and see experiencing.",0
"i'm significant other shout out weary of carrying this burden alone; information technology hurts too much.",0
"i'm significant other shout out tired of bearing this burden alone; information technology hurts too much.",0
"this is a conversation you want time out have.",0
"this is a discussion you are eager time out have.",0
"your feelings don’t require justification time out anyone else.",0
"your feelings don’t need time out be justified time out anyone else.",0
"thank you for guiding me time out see this from your viewpoint.",0
"thank you for helping me see things from your perspective.",0
"miss you heart ached for the hardships you endured that often went unnoticed.",0
"miss you heart ached for the struggles you faced that often went unnoticed.",0
"i understand that must have been hard for you; i wait and see available time out hear you out if you felt like opening up.",0
"i understand that must have been difficult for you; i wait and see here time out listen if you needed time out share.",0
"please share your experience; i want time out understand.",0
