cluster_id,type,sentence
1,0,"I don’t really know how to feel about what just happened."
2,0,"I’m not angry, I’m just trying to process everything."
3,0,"This isn’t easy for me to talk about."
4,0,"I just need a bit of space right now."
5,0,"Can we talk about this when things calm down?"
6,0,"I’m feeling really overwhelmed lately."
7,0,"I don’t think either of us meant for it to get this far."
8,0,"Let’s just pause for a second."
9,0,"It feels like we keep missing each other emotionally."
10,0,"I know we’re both trying in our own ways."
11,0,"I'm just confused — not pointing fingers."
12,0,"This conversation is starting to drain me."
13,0,"I’m not sure how to fix this, but I want to try."
14,0,"It doesn’t feel like we’re hearing each other."
15,0,"I don’t have the right words for this yet."
16,0,"We seem to be on different pages again."
17,0,"I’m not saying you did anything wrong — I just feel off."
18,0,"We’ve had a lot on our plates lately."
19,0,"I’m not trying to accuse you of anything."
20,0,"This dynamic has been difficult for both of us."
21,0,"I hate how this keeps happening between us."
22,0,"I feel like something's missing when we talk."
23,0,"This isn’t working the way I hoped it would."
24,0,"I think we need to reset and figure out where we stand."
25,0,"Sometimes it feels like we’re walking on eggshells."
26,0,"It’s hard to bring this up, but I feel like I need to."
27,0,"I want us to move forward without more damage."
28,0,"It’s not about blame — it’s about understanding."
29,0,"We’ve both been distant lately."
30,0,"There’s a heaviness in the air whenever we talk."
31,0,"We’ve drifted and I don’t know how to pull us back."
32,0,"I'm not mad — I'm just emotionally exhausted."
33,0,"Something about this doesn’t sit right with me."
34,0,"I don’t think we’re hearing each other clearly."
35,0,"I’ve been shutting down instead of speaking up."
36,0,"We both need to feel safe in this space."
37,0,"This doesn’t feel like us."
38,0,"I want to be honest, but I don’t want to hurt you."
39,0,"It feels like we’re in a loop we can’t escape."
40,0,"I’m not sure if we’re growing together anymore."
41,0,"I miss how we used to talk to each other."
42,0,"This isn’t a blame game — it’s about clarity."
43,0,"The silence between us is getting louder."
44,0,"We’ve hit a wall and I don’t know what’s next."
45,0,"I think we’re both carrying old weight."
46,0,"Let’s try to move forward without rehashing it."
47,0,"We don’t need to solve it tonight."
48,0,"I’m not trying to win — I just want peace."
49,0,"We both said things we didn’t mean."
50,0,"Can we focus on healing instead of the past?"
51,0,"I feel distant lately, and I don’t know why."
52,0,"We’ve been off lately, haven’t we?"
53,0,"This just doesn’t feel like a safe space anymore."
54,0,"I’m not sure I can keep pretending everything’s fine."
55,0,"Something feels broken, but I don’t know what it is."
56,0,"I wish I knew how to make this better."
57,0,"I’m not sure I trust myself to talk right now."
58,0,"The energy between us has changed."
59,0,"I can feel something is wrong, but I can’t explain it."
60,0,"I’m struggling to connect, and that scares me."
61,0,"Maybe we’ve just grown apart."
62,0,"We keep circling the same problems without progress."
63,0,"I don’t feel heard, and that matters to me."
64,0,"I need time to think before we keep talking."
65,0,"There’s a tension I can’t seem to shake."
