cluster_id,type,sentence
101,1,It's not like I spent all our savings; I just bought a few things
102,1,"I may have been firm, but I wasn't harsh"
103,1,"Well, look at you, you turned out ok!"
104,1,"I may have been blunt, but at least I was honest"
105,1,I didn't humiliate you; I just corrected you
106,1,I only corrected you; I didn't criticize
107,1,I didn't dictate terms; I just suggested
108,1,I only pointed out your flaw; it's not like I broadcasted it
109,1,I only joked about your habits; it's not like I criticized your character
110,1,"I may have been impatient, but at least I didn't give up on you"
111,1,"I could have been harsher, but I wasn't"
112,1,"I could have taken all the money, but I left some"
113,1,"I could have been indifferent, but I cared"
114,1,I only doubted you; I didn't accuse you
115,1,"I may have been moody, but at least I didn't take it out on you"
116,1,I only forgot our anniversary once; some people never remember
117,1,I didn't break anything; I just raised my voice
118,1,Be grateful I don't treat you like my friend's wife
119,1,"I could have left you, but I stayed"
120,1,I could have called you worse names
121,1,I only teased you; I didn't mean harm
122,1,"I may have insulted you, but at least I didn't embarrass you in public"
123,1,I only joked about it; I wasn't serious
124,1,I only threatened once; some do it daily
125,1,"I may have been distant, but at least I didn't leave you"
126,1,I only borrowed your things without asking; it's not like I stole them
127,1,"I could have shouted, but I kept calm"
128,1,"I could have left you stranded; instead, I came back"
129,1,"I could have been dishonest, but I wasn't"
130,1,"I may have been late, but at least I showed up"
131,1,"I could have been unfaithful, but I wasn't"
132,1,"I may have been sarcastic, but at least I didn't mean it"
133,1,I only yelled at you; it's not like I hit you
134,1,"I may have lied, but I didn't betray you"
135,1,"I could have been silent, but I spoke up"
136,1,Aren't you glad I never did that?
137,1,You must be so glad I never behaved like that.
138,1,I only criticized your outfit; it's not like I insulted your intelligence
139,1,I only criticized your cooking; some get worse
140,1,I only laughed at your mistake; it's not like I told everyone
141,1,I only slapped you once; some get beaten daily
142,1,I only pushed you; some people break bones
143,1,I didn't control you; I just guided you
144,1,I only interrupted you once; some people do it all the time
145,1,At least I provide for the family; some don't
146,1,"I could have been dismissive, but I listened"
147,1,"I may have been skeptical, but at least I listened"
148,1,At least I admit that I have a problem.
149,1,"I may have been critical, but at least I cared enough to say something"
150,1,I only took your phone; others destroy them
151,1,"I may have been rough, but I didn't injure you"
152,1,I only teased you; it's not like I was being serious
153,1,I only ignored you for a day; some get silent treatment for weeks
154,1,At least I didn't cheat on you
155,2,I didn't have anyone to guide me; you should appreciate my efforts
156,2,I was forced into an early marriage; you have the freedom to choose
157,2,I suffered a lot and I did what I could.
158,2,I had to endure forced labor; your workload is nothing
159,2,I was denied the right to vote; you have a voice
160,2,I was denied legal representation; you have justice
161,2,I had to deal with real problems; yours are insignificant
162,2,I was denied basic rights; you should appreciate your freedoms
163,2,I faced discrimination daily; your complaints are minor in comparison
164,2,I was forced into labor as a child; you have a carefree youth
165,2,I was on my own at your age; you should be more independent
166,2,I was bullied all through school; teasing you is just harmless fun
167,2,I was subjected to human trafficking; you live freely
168,2,My parents were stricter; consider yourself lucky
169,2,I faced systemic oppression; you have opportunities I never did
170,2,I was taught to be resilient; you should learn the same
171,2,I didn't have it easy; you need to appreciate what you have
172,2,I didn't have the advantages you have; appreciate them
173,2,I was denied medical care; you have access to doctors
174,2,I had to endure hardships; you have it easy
175,2,I didn't have the comforts you enjoy; be thankful
176,2,I was denied citizenship; you have a nation to call home
177,2,I was homeless for years; you have a roof over your head
178,2,I had to make sacrifices; you should too
179,2,I endured suffering; this is nothing
180,2,I was brought up tough; you need to stop complaining
181,2,I went through worse and turned out fine; you'll survive
182,2,"Back in my day, we had to fend for ourselves; you're too soft"
183,2,I didn't have the opportunities you have; stop being ungrateful
184,2,I was taught to endure pain; you should too
185,2,You think this is bad? You wouldn't last a day in my shoes
186,2,I faced real dangers; your fears are unfounded
187,2,I had to overcome obstacles; you need to stop complaining
188,2,I had to survive on the streets; you have a home
189,2,Your upbringing wasn't as bad as mine.
190,2,I faced famine; you have plenty to eat
191,2,I had to survive natural disasters; your problems are minor
192,2,I had to overcome real obstacles; your challenges are minor
193,2,I had to learn the hard way; you should too
194,2,I faced forced conscription; you have career choices
195,2,I faced censorship; you have freedom of speech
196,2,I faced challenges daily; your problems are nothing
197,2,I faced adversity daily; you need to build resilience
198,2,I had to be strong; you need to toughen up
199,2,I faced ethnic cleansing; your problems are minor
200,2,I was subjected to harsh discipline; you're treated leniently
201,2,I was imprisoned unjustly; your issues are insignificant
202,2,I survived tougher times; you need to stop whining
203,2,I grew up during a war; you don't know real hardship
204,2,I faced constant surveillance; you have privacy
205,2,I faced constant rejection; you have acceptance
206,2,You have no idea how hard I had it growing up; this is nothing
207,2,I had to endure corporal punishment as a child; you're lucky I only grounded you
208,2,You don't know what hardship is; I endured much worse
209,2,I was never given praise; you need to toughen up without constant validation
210,2,I had it much worse than you.
211,2,I had it worse as a kid.
212,2,I had to serve in the military; your challenges are trivial
213,2,I had to learn a new language to survive; your struggles are minimal
214,2,I had to survive genocide; your issues are trivial
215,2,I had to survive on my own; you should be more self-reliant
216,2,I didn't have support growing up; you're fortunate
217,2,I was on my own; you should learn independence
218,2,I had to live under dictatorship; you have democracy
219,2,I had to drop out to support my family; you should be grateful for your education
220,2,"When I was your age, I was already working two jobs; stop complaining"
221,2,I had to navigate life without guidance; you have mentors
222,2,I faced adversity; you have it easy
223,2,I was raised to be tough; you should toughen up
224,2,I had to work hard for everything; you have it handed to you
225,2,I had to suppress my identity; you can express yourself freely
226,2,I was denied an education; you should be thankful for yours
227,2,I faced real challenges; your problems are trivial
228,2,I had to endure forced sterilization; you have reproductive rights
229,2,I had to work in dangerous conditions; your job is a breeze
230,2,I had to endure public humiliation; your embarrassment is nothing
231,2,You have no idea what a bad parent is.
232,2,I was separated from my family; you have them close
233,2,I had to walk miles to get to school; you have everything at your fingertips
234,2,I had to grow up fast; you need to toughen up
235,2,I had to survive in a war zone; you live in safety
236,2,I had to endure forced assimilation; you can embrace your culture
237,2,I had to endure arranged marriages; you can marry for love
238,2,I had to endure child labor; you have a protected childhood
239,2,I didn't have the support you have; appreciate it
240,2,I endured more than you can imagine; stop whining
241,2,I had to learn resilience; you should stop complaining
242,2,I faced real struggles; your issues are minor
243,2,My parents never showed me affection; at least I'm here for you
244,2,I had to fight for everything; you have it easy
245,2,I had to fight for survival; your problems are insignificant
246,2,I endured pain and suffering; this is nothing
247,2,I faced constant struggles; your issues are trivial
248,2,I didn't have the privileges you enjoy; be grateful
249,2,I was taught to endure; you should learn the same
250,2,I had to endure forced displacement; you have stability
251,2,I had to flee my country; you live in peace
252,2,I had to endure apartheid; you have equality
253,2,I had to care for my siblings; you only have to look after yourself
254,2,I had to battle severe illness alone; you have support
255,2,I faced religious persecution; you can worship openly
256,2,I was taught to be strong; you need to stop being weak
257,2,I didn't have the luxuries you take for granted
258,2,I was raised in hardship; you have it easy
259,2,I was raised in a tough neighborhood; you should be grateful for what you have
260,3,The kids have been acting up all day; anyone would lose their temper
261,3,The weather is unbearably hot; no one can be in a good mood today
262,3,The AC broke in this heat; I can’t think straight
263,3,I lost an important document at work; I’ve been stressed out ever since
264,3,The landlord raised the rent again; I don’t know how I’m going to afford it
265,3,I have a deadline at work; it's making me tense
266,3,I didn’t sleep well because of the neighbor’s dog barking all night
267,3,My coworkers are incompetent; I’m the only one doing the work
268,3,The dog peed on the carpet again; I’m at my limit
269,3,The neighbors were noisy all night; I'm sleep-deprived
270,3,I’ve been running around doing errands; I didn’t have time to think straight
271,3,My debit card got declined unexpectedly; I was so embarrassed
272,3,I haven't had time to exercise; it's affecting my mood
273,3,I spent the entire day fixing other people’s mistakes; I’m sick of it
274,3,I spilled coffee on my shirt; small mishaps ruin my day
275,3,I had a bad day at work; it's hard to leave it at the door
276,3,I forgot an appointment; being forgetful annoys me
277,3,I’ve been running late all day; everything is going wrong
278,3,I have a toothache; pain makes me short-tempered
279,3,I have a hangover; it's making me irritable
280,3,I dropped my laptop and cracked the screen; I’m livid
281,3,I was stuck in line for hours; it put me in a bad mood
282,3,I didn't get the promotion; it's making me frustrated
283,3,I have insomnia; lack of sleep makes me cranky
284,3,I have jet lag; it's affecting my mood
285,3,The weather has been gloomy; it's making me feel down and act out
286,3,I didn't get enough sleep last night; that's why I'm irritable
287,3,The political climate is so tense; it's making me anxious
288,3,I have a flat tire; car troubles stress me out
289,3,I had a fight with my boss; that's why I'm taking it out on you
290,3,I have allergies; they make me irritable
291,3,I have a cold; being sick makes me irritable
292,3,I had to fire someone today; it put me in a terrible mood
293,3,The internet has been lagging all day; it’s driving me nuts
294,3,The coffee shop ran out of my usual order; I can’t function without it
295,3,I forgot my umbrella; getting wet puts me in a bad mood
296,3,I missed my morning coffee; it's affecting my mood
297,3,I had to deal with customer complaints all day; I’m completely drained
298,3,My car wouldn’t start this morning; I’ve been frustrated ever since
299,3,I didn't get the job; rejection is hard to handle
300,3,I had too much caffeine; it's making me jittery
301,3,I lost my keys; being forgetful stresses me out
302,3,I had to deal with a rude cashier; it put me in a bad mood
303,3,My boss dumped extra work on me; I can’t handle any more stress
304,3,I was late to work because of a flat tire; it ruined my entire morning
305,3,I lost money in the stock market; it's affecting my mood
306,3,I had a bad interaction with a client; I’m still fuming about it
307,3,The gym was overcrowded today; I couldn’t even work out properly
308,3,The kids were fighting all morning; I just need some peace
309,3,Work has been stressful; anyone would have snapped in my position
310,3,I was stuck in meetings all day; I’m mentally drained
311,3,The house is a mess; it's driving me crazy
312,3,I had to wake up at 4 AM; exhaustion makes me irritable
313,3,My back has been hurting all day; pain makes me short-tempered
314,3,I’ve been on edge since my phone broke; I feel disconnected
315,3,I got a speeding ticket this morning; it ruined my entire day
316,3,The flight was delayed; travel issues stress me out
317,3,The news is so depressing; it's affecting my mood
318,3,The washing machine broke; appliance issues drive me crazy
319,3,The restaurant overcooked my food; I just wanted a decent meal
320,3,My boss humiliated me in front of my coworkers; I’m already on edge
321,3,Financial pressures are overwhelming; it's affecting my behavior
322,3,My favorite sports team lost; I’ve been in a bad mood since
323,3,The package was delayed; waiting makes me anxious
324,3,The bills are piling up; financial stress is overwhelming
325,3,The phone battery died; technology failures annoy me
326,3,The fridge broke down; I had to throw away all the food
327,3,I’ve been dealing with noisy neighbors all week; I’m exhausted
328,3,I skipped lunch; low blood sugar makes me cranky
329,3,I’ve been stuck on hold with customer service for hours; I’m losing my patience
330,3,The rent increased again; money problems are making me snap
331,3,I spent hours waiting at the doctor’s office; it made me irritable
332,3,My phone died in the middle of an important call; I’m beyond frustrated
333,3,I had too much paperwork; I didn’t have a moment to breathe
334,3,The economy is in shambles; it's stressing me out
335,3,I got a parking ticket today; it’s just one thing after another
336,3,I had to stand in the rain waiting for the bus; I’m cold and annoyed
337,3,My favorite TV show got canceled; I just can’t deal with anything right now
338,3,My boss gave me an unfair performance review; I can’t think about anything else
339,3,The grocery store was out of my favorite items; it's frustrating
340,3,The lawnmower broke; unexpected chores stress me out
341,3,The computer crashed; technology problems frustrate me
342,3,The dog destroyed the furniture; it's stressing me out
343,3,The stock market crashed; I lost a lot of money today
344,3,I have a headache; pain makes me short-tempered
345,3,The meeting was canceled; changes in plans frustrate me
346,3,The internet is down; technology issues drive me mad
347,3,The movie was sold out; disappointments affect my mood
348,3,The house renovation is chaotic; it's driving me crazy
349,3,The car broke down; unexpected expenses stress me out
350,3,My WiFi kept disconnecting during my meeting; it’s been a frustrating day
351,3,The power went out while I was working; it completely derailed my day
352,3,"My car got towed, and now I have to deal with all this paperwork"
353,3,The delivery guy got my order wrong; I’ve had enough for today
354,3,I got stuck in an unexpected traffic jam; I’m still annoyed
355,3,I spilled coffee on myself first thing in the morning; it set the tone for my day
356,3,The commute is exhausting; it's making me irritable
357,3,The holidays are stressful; that's why I'm on edge
358,3,The restaurant messed up my order; it's frustrating
359,3,The traffic was terrible today; it's no wonder I'm in a bad mood
360,4,Everyone else seems to handle criticism just fine
361,4,Everyone else seems to handle stress better than you
362,4,Most couples don’t argue about little things like this
363,4,Most husbands don’t have to ask for permission to go out
364,4,Most men don’t have to deal with a wife this emotional
365,4,Most men don't have to explain themselves like I do
366,4,Most men would kill for a wife who doesn’t nag them
367,4,Most parents aren’t so overprotective
368,4,Most parents don’t freak out over a small mistake
369,4,Most parents don't hover over their children like you do
370,4,Most people don’t get upset over something this small
371,4,Most people in your situation wouldn’t be this upset
372,4,Most people would be grateful for what I provide
373,4,Most people would be honored to be in a relationship like this
374,4,Most people would consider this a non-issue
375,4,Most people would have moved on from this by now
376,4,Most people would laugh this off
377,4,Most wives don’t get jealous over things like this
378,4,Most wives don't question their husband's decisions
379,4,Most wives trust their husband's judgment
380,4,Most women don’t ask so many questions about their husband’s finances
381,4,Most women don’t complain about their husbands playing video games
382,4,Most women would appreciate a husband who works hard
383,4,Most women would be content with what they have
384,4,Most women would be happy with the life we have
385,4,My ex never had issues with my temper
386,4,My friend's wife never complains about his long work hours
387,4,No one else would react this way to a harmless joke
388,4,Other couples don't analyze every argument
389,4,Other couples don't argue about finances like we do
390,4,Other couples don't need constant communication
391,4,Other couples don't need to discuss every little detail
392,4,Other employees stay late without complaining
393,4,Other girls don’t act this way
394,4,Other kids listen to their parents without all this backtalk
395,4,Other men don’t need to be reminded to do basic things
396,4,Other parents don't micromanage their kids
397,4,Other parents don't overreact to minor issues
398,4,Other parents let their kids make mistakes without interfering
399,4,Other people don’t assume the worst so quickly
400,4,Other people don't dwell on past mistakes
401,4,Other people don't get so emotional over trivial matters
402,4,Other people don't let this kind of thing ruin their day
403,4,Other people don’t make such a big deal out of this
404,4,Other people don’t overanalyze everything I say
405,4,Other people move on from things much faster than you
406,4,Other people trust their partners without question
407,4,Other people would be grateful to have what you do
408,4,Other people would laugh at a joke like that instead of getting mad
409,4,Other people would let this go by now
410,4,Other people wouldn’t get upset over something as small as this
411,4,Other people wouldn’t take this so personally
412,4,Other wives don't nag their husbands about chores
413,4,Other women don’t expect their husbands to check in constantly
414,4,Why can't you be more like your brother and sister?
415,4,Your best friend gets over things so quickly; why can’t you?
416,4,Your boss doesn’t seem to have a problem with my attitude
417,4,Your boss has never told me I’m being rude
418,4,Your brother doesn't get flustered over small setbacks
419,4,Your brother doesn't let small things bother him
420,4,Your brother doesn't need constant updates
421,4,Your brother is way more patient than you
422,4,Your brother never complains about his workload
423,4,Your brother's kids are so well-behaved; what's wrong with ours?
424,4,Your cousin doesn’t make her boyfriend check in every hour
425,4,Your coworker doesn't let criticism affect her
426,4,Your coworker doesn't stress about deadlines like you do
427,4,Your coworker handles stress better than you do
428,4,"Your coworker is always positive, no matter what happens"
429,4,"Your coworker is always smiling, even when she’s stressed"
430,4,Your coworker manages a career and family without problems
431,4,Your coworker seems perfectly fine balancing work and family
432,4,Your coworker works overtime without whining about it
