cluster_id,type,sentence
101,1,You always make things up
102,1,You're just being too touchy
103,1,You're making a big stink over nothing
104,1,Do you really think I'd make that up?
105,1,You're just being paranoid
106,1,You're just being childish
107,1,You're just being overemotional
108,1,You're just being too dramatic
109,1,You're just being too thin-skinned
110,1,You're taking this too far
111,1,You're just being emotional
112,1,You're overthinking this
113,1,You're overanalyzing this
114,1,You're just being too sensitive about this
115,1,You're reading too much into this
116,1,You're taking this too personally
117,1,You're just being too emotional
118,1,You're taking this the wrong way
119,1,You're just being selfish
120,1,You're just being overreactive
121,1,You're taking this too much to heart
122,1,You're making a fuss over nothing
123,1,You're overreacting
124,1,You're seeing things that aren't there
125,1,You're just being overdramatic
126,1,You're just being uptight
127,1,You're just being melodramatic
128,1,You're just being petty
129,1,You're just being touchy
130,1,It's not a big deal; why are you so upset?
131,1,You're just being too uptight
132,1,You're just being too overreactive
133,1,You're making it all about you
134,1,You're making a scene
135,1,You're making something out of nothing
136,1,You're making a big thing out of nothing
137,1,You're just being jealous
138,1,You're just being too emotional
139,1,You're just being high-maintenance
140,1,You're just being dramatic
141,1,You're taking this too seriously
142,1,You're just being thin-skinned
143,1,You're just being too reactive
144,1,You're making that up
145,1,You're taking this the wrong way
146,1,You're reading too much into this
147,1,You're just being hypersensitive
148,1,You're just being too serious
149,1,You're making a big fuss over nothing
150,1,You're making a fuss over nothing
151,1,You're making a big deal out of nothing
152,1,You're just being paranoid
153,1,You're just being clingy
154,1,You're blowing this out of proportion
155,1,You're taking this too far
156,1,You're just being melodramatic
157,1,You're just being irrational
158,1,You're making it all about you
159,1,You're just being too literal
160,1,You're just being childish
161,1,You're taking this too much to heart
162,1,You're just being uptight
163,1,You're just being insecure
164,1,You're making a big issue out of nothing
165,1,You're making a big stink over nothing
166,1,You're just being emotional
167,1,You're making a big deal out of nothing
168,1,I never said that You must be imagining things
169,1,You're making a big to-do over nothing
170,1,You're making a big fuss over nothing
171,1,You're making a big fuss over nothing
172,1,You're just being needy
173,1,You're taking this too seriously
174,1,You're just being jealous
175,1,You're taking this too seriously
176,1,You're just being selfish
177,1,You're making a big deal out of nothing
178,1,You're making a federal case out of nothing
179,1,You're too sensitive
180,1,You're making a scene
181,1,You're imagining things
182,1,You're making a big fuss over nothing
183,1,You're taking this out of context
184,1,You're making a mountain out of a molehill
185,1,You're taking this too literally
186,1,You're taking this too personally
187,1,You're overanalyzing this
188,1,You're taking this too seriously
189,1,You're taking this too far
190,1,You're just being unreasonable
191,1,You're making a big deal out of nothing
192,1,You're just being irrational
193,1,You're just being unreasonable
194,1,You're just being clingy
195,1,You're taking this too much to heart
196,1,You're just being petty
197,1,You're seeing things that aren't there
198,1,You're just being needy
199,1,You're just being high-maintenance
200,1,You're taking this too personally
201,1,You're just being insecure
202,1,You're overthinking this
203,1,Everyone agrees that you're wrong
204,1,You're making something out of nothing
205,1,You're just being hypersensitive
206,1,"I was just joking, no need to get all melodramatic."
207,1,It can't be that bad.
208,1,"Suck it up, it's not as bad as you're making it out to be."
209,1,You shouldn't let it bother you.
210,1,"Oh come on, it's not that big a deal, why are you being a big baby about this?"
211,1,There is no reason to get upset.
212,1,Why do you always think it’s a big deal?
213,1,It's not worth getting that upset over.
214,1,It's nothing to get upset over.
215,1,You should be over that by now.
216,2,Someone call the whambulance
217,2,"Oh, you're offended? Imagine that"
218,2,You're upset about that? How precious
219,2,Here come the waterworks
220,2,"Oh no, the drama queen is back"
221,2,You're making a big deal out of nothing
222,2,You're just being petty
223,2,"Oh, you're upset? Join the club"
224,2,Is this really worth all the drama?
225,2,You're really upset over that? How sweet
226,2,"Wow, you're offended? That's hilarious"
227,2,You're mad about that? How amusing
228,2,You're upset about that? How charming
229,2,"Oh, you're crying? How original"
230,2,You're really upset over that? How amusing
231,2,"Oh, you're offended? How precious"
232,2,Is this your way of getting back at me?
233,2,"Oh, you're hurt? How sweet"
234,2,You're acting like it's the end of the world
235,2,enwikipediaorg
236,2,You're so overemotional
237,2,"Oh, poor you"
238,2,"Oh, you're upset? How cute"
239,2,You're blowing things out of proportion
240,2,You're acting like a martyr
241,2,You're making a scene over nothing
242,2,You're so touchy
243,2,You're so emotional
244,2,You're so delicate
245,2,Look who's being sensitive now
246,2,Is this really something to get worked up over?
247,2,"Oh, you're hurt? Imagine that"
248,2,You're mad about that? How sweet
249,2,"Oh, you're offended? How charming"
250,2,"Oh, you're hurt? How charming"
251,2,You're just being hypersensitive
252,2,You're acting like a baby
253,2,Is this really such a big deal?
254,2,You're acting like a diva
255,2,Is it that time of the month?
