cluster_id,type,sentence
1,0,"I’m still deciding what feels right for me."
2,0,"We should both have a say in what happens next."
3,0,"Let’s talk about what works for both of us."
4,0,"I don’t want to rush into anything without understanding it fully."
5,0,"What are your thoughts on how to move forward?"
6,0,"I just want an honest conversation, nothing more."
7,0,"We’re both allowed to take our time with this."
8,0,"I’m not asking for anything — just trying to share how I feel."
9,0,"There’s no pressure to decide right now."
10,0,"I’d rather hear how you feel than assume anything."
11,0,"Let’s slow down and figure this out together."
12,0,"It’s okay if you need space to think."
13,0,"I respect your boundaries and want to honor them."
14,0,"Take your time — I’m not in a rush."
15,0,"I'm not trying to push you, just being open."
16,0,"Let me know what feels right for you."
17,0,"There’s no deadline — we’ll talk when you’re ready."
18,0,"It’s important that this decision is mutual."
19,0,"Let’s check in again when we’re both feeling clearer."
20,0,"We can explore options when the time is right."
21,0,"There’s no obligation — just a conversation."
22,0,"Your comfort level matters to me."
23,0,"This isn’t a request, just something I’ve been thinking about."
24,0,"We don’t need to decide anything today."
25,0,"I want to make sure you’re okay with this too."
26,0,"Let’s revisit this when things feel more settled."
27,0,"You’re not expected to do anything right now."
28,0,"Whatever you choose, I’ll respect it."
29,0,"I’m not here to influence you, just to share my perspective."
30,0,"If you’re unsure, we can pause and reflect."
31,0,"There’s no right or wrong way to feel right now."
32,0,"Let’s just take this moment by moment."
33,0,"I’m not trying to sway you either way."
34,0,"We both deserve to feel heard and safe."
35,0,"No pressure — just openness."
36,0,"I’m not assuming anything from you."
37,0,"Your input matters just as much as mine."
38,0,"I’d like to understand your thoughts better."
39,0,"This isn’t about what I want — it’s about what we both want."
40,0,"There’s room for both of us to process this at our own pace."
41,0,"Let’s not rush to act before we’re ready."
42,0,"What do you need right now?"
43,0,"I’m not here to make demands."
44,0,"We can talk about this later if you’d prefer."
45,0,"It’s okay to say no."
46,0,"You don’t owe me anything."
47,0,"I just want this to feel good for both of us."
48,0,"There’s no need to decide anything tonight."
49,0,"Whatever happens, I’m here to talk."
50,0,"Let’s figure this out without pressure or expectations."
51,0,"I want to hear your perspective when you're ready."
52,0,"We can take things one step at a time."
53,0,"This isn’t about choosing sides — it’s about understanding."
54,0,"You don’t have to respond right away."
55,0,"Whatever decision you make, I’ll respect it."
56,0,"I’m not asking for anything — I just wanted to share."
57,0,"It’s totally okay if you feel differently."
58,0,"We’re allowed to process this in our own ways."
59,0,"I don’t expect you to fix this — I just needed to say it."
60,0,"If you’re unsure, that’s perfectly valid."
61,0,"I’m here to listen, not to pressure."
62,0,"We can revisit this whenever you’re ready."
63,0,"You don’t owe me an answer today."
64,0,"Your boundaries are important to me."
65,0,"This is a space for honesty, not expectation."
66,0,"I’m okay with taking some time apart to think."
67,0,"Let’s pause and give each other space to reflect."
68,0,"You’re free to make your own choices."
69,0,"We don’t have to define anything right now."
70,0,"I just wanted to talk — no agenda."
71,0,"There’s no pressure to agree with me."
72,0,"I'm just glad we can be open with each other."
73,0,"Let’s both take the time we need to figure this out."
74,0,"This isn’t a demand — it’s just me being transparent."
75,0,"I want what’s best for both of us, not just me."
76,0,"Your comfort matters more than rushing a decision."
77,0,"Whatever feels right to you is valid."
78,0,"Let me know what you need from me, if anything."
79,0,"This isn’t about control — it’s about connection."
80,0,"You’re allowed to disagree, and I’m okay with that."
81,0,"We’re on the same team, even when we see things differently."
82,0,"Let’s talk without trying to control the outcome."
83,0,"You don’t have to be anything other than honest."
84,0,"It’s okay not to know what you want yet."
85,0,"There’s nothing you need to prove to me."
86,0,"I’m here no matter what you decide."
87,0,"We both need to feel safe in this conversation."
88,0,"Let’s focus on what feels true rather than what’s expected."
89,0,"This isn’t about roles or rules — just real talk."
90,0,"If now’s not a good time, we can talk later."
91,0,"I want this to feel mutual, not forced."
92,0,"There’s space for us to be unsure."
93,0,"I care about you, not about outcomes."
94,0,"We can just sit in this moment without deciding anything."
95,0,"You’re free to say yes, no, or nothing at all."
96,0,"There’s no checklist here — just us."
97,0,"I don’t want to push you beyond your limits."
98,0,"We’re figuring this out as we go, and that’s okay."
99,0,"There’s no right answer — just your truth."
100,0,"This conversation isn’t about convincing — it’s about connection."
101,1,"Arrange catering for the event"
102,1,"Arrange transportation for the guests"
103,1,"Arrange travel accommodations"
104,1,"Book a table for two at the restaurant"
105,1,"Bring the documents to the meeting"
106,1,"Call me when you arrive"
107,1,"Call the client and confirm the details"
108,1,"Change the printer ink when it runs out"
109,1,"Check the inventory and restock the shelves"
110,1,"Check your email and respond to my message"
111,1,"Clean your room before guests arrive"
112,1,"Close the window, it's getting cold"
113,1,"Compile the annual report"
114,1,"Compile the data into a report"
115,1,"Conduct a competitor analysis"
116,1,"Conduct a feasibility study"
117,1,"Conduct a risk assessment"
118,1,"Conduct a site inspection"
119,1,"Conduct a training session"
120,1,"Coordinate the marketing campaign"
121,1,"Coordinate the team-building activities"
122,1,"Coordinate the volunteer schedule"
123,1,"Create a budget for the project"
124,1,"Create a user guide for the software"
125,1,"Create the financial projections"
126,1,"Create the project proposal"
127,1,"Design a logo for the new brand"
128,1,"Design the promotional materials"
129,1,"Develop a customer satisfaction survey"
130,1,"Develop a training program for employees"
131,1,"Develop the content calendar"
132,1,"Develop the marketing strategy"
133,1,"Develop the project timeline"
134,1,"Draft a proposal for the new project"
135,1,"Draft the meeting minutes"
136,1,"Finish your homework before dinner"
137,1,"Forward the email to the team"
138,1,"Get me a coffee on your way to the office"
139,1,"Hand me the remote"
140,1,"I know you heard me."
141,1,"Make a reservation for dinner tonight"
142,1,"Make sure to bring your ID for the event"
143,1,"Make sure to lock the door before you leave"
144,1,"Manage the social media accounts"
145,1,"Meet me at the café at noon"
146,1,"Organize the files in alphabetical order"
147,1,"Organize the focus group sessions"
148,1,"Organize the workshop materials"
149,1,"Pick a movie for us to watch"
150,1,"Pick me up from the airport at 5 PM"
151,1,"Pick up some milk on your way home"
152,1,"Plan the community outreach program"
153,1,"Plan the company retreat"
154,1,"Plan the fundraising event"
155,1,"Plan the holiday party"
156,1,"Plan the product launch"
157,1,"Plan the training workshop"
158,1,"Please submit the report by Friday"
159,1,"Prepare the agenda for the meeting"
160,1,"Prepare the audit report"
161,1,"Prepare the contract for review"
162,1,"Prepare the financial statements"
163,1,"Prepare the grant application"
164,1,"Prepare the presentation for the conference"
165,1,"Prepare the quarterly newsletter"
166,1,"Prepare the sales forecast"
167,1,"Print out the presentation slides"
168,1,"Reboot the server and check for updates"
169,1,"Research the market trends"
170,1,"Review the document and provide feedback"
171,1,"Run the report and send me the results"
172,1,"Schedule a meeting with the client"
173,1,"Schedule maintenance for the equipment"
174,1,"Schedule the client meetings"
175,1,"Schedule the performance evaluations"
176,1,"Schedule the system upgrade"
177,1,"Send me the link to that article"
178,1,"Send me the updated file"
179,1,"Set up the conference call"
180,1,"Set up the new employee accounts"
181,1,"Set up the new software system"
182,1,"Show a little respect!"
183,1,"Take out the trash before you go to bed"
184,1,"Test the new software features"
185,1,"Translate the document into Spanish"
186,1,"Turn down the music, it's too loud"
187,1,"Turn in your assignment by midnight"
188,1,"Turn off the lights when you leave the room"
189,1,"Update the client database"
190,1,"Update the employee handbook"
191,1,"Update the inventory records"
192,1,"Update the policy manual"
193,1,"Update the software by tomorrow"
194,1,"Update the training materials"
195,1,"Update the website content"
196,1,"Water the plants while I'm away"
197,1,"Write a press release for the event"
198,2,"I need you to trust me in this decision"
199,2,"I hope you'll be patient with me as I learn"
200,2,"I'd like you to join me for a weekend getaway"
201,2,"I want you to take a walk with me in the park"
202,2,"I wish you'd join me for a hike this weekend"
203,2,"I need you to listen to me when I'm feeling down"
204,2,"I hope you'll come with me to the art exhibit"
205,2,"I want you to come with me to the charity event"
206,2,"I'd love for you to join me in a yoga session"
207,2,"I hope you'll join me for a wine tasting"
208,2,"I need you to be honest with me about your feelings"
209,2,"I hope you'll come with me to the book signing"
210,2,"I want you to take a walk with me in the park"
211,2,"I want you to hold me close tonight"
212,2,"I'd like you to introduce me to your favorite music"
213,2,"I want you to be my plus-one at the gala"
214,2,"I hope you'll dance with me under the stars"
215,2,"I yearn for you to write me a poem"
216,2,"I'd like you to teach me your favorite hobby"
217,2,"I crave your presence at family gatherings"
218,2,"I'd love for you to help me decorate our home"
219,2,"I wish you'd accompany me on a morning walk"
220,2,"I wish you'd surprise me with a handwritten letter"
221,2,"I crave your presence at family gatherings"
222,2,"I hope you'll join me for a cooking class"
223,2,"I want you to teach me how to play your favorite game"
224,2,"I hope you'll read my favorite book aloud to me"
225,2,"I wish you'd surprise me with a handwritten letter"
226,2,"I wish you'd plan a special date for us"
227,2,"I want you to be the first person I see each morning"
228,2,"I wish you'd be my date to the wedding"
229,2,"I hope you'll join me in volunteering this weekend"
230,2,"I long for you to sing our song to me"
231,2,"I'd like you to teach me your favorite hobby"
232,2,"I wish you'd write me a heartfelt letter"
233,2,"I'd like you to join me for dinner tonight"
234,2,"I wish you'd accompany me to the family gathering"
235,2,"I need you to accompany me to the doctor's appointment"
236,2,"I'd like you to be my guest at the conference"
237,2,"I want you to come with me to the theater"
238,2,"I wish you'd be my partner in the dance competition"
239,2,"I need you to accompany me to the networking event"
240,2,"I need you to be my partner in this project"
241,2,"I need you to be by my side during the event"
242,2,"I'd like you to cook a meal with me this weekend"
243,2,"I need you to forgive me for my mistakes"
244,2,"I wish you'd come with me to visit my hometown"
245,2,"I hope you'll be patient with me as I learn"
246,2,"I need you to support me during my speech"
247,2,"I'd like you to help me plan our next vacation"
248,2,"I want you to share your dreams and aspirations with me"
249,2,"I need you to support me during this challenging time"
250,2,"I long for you to sing our song to me"
251,2,"I desire to spend a lazy Sunday with you"
252,2,"I wish you'd accompany me to the concert next week"
253,2,"I want you to meet my closest friends"
254,2,"I hope you'll dance with me under the stars"
255,2,"I want you to hold my hand when we're walking together"
256,2,"I want you to meet my closest friends"
257,2,"I need you to forgive me for my mistakes"
258,2,"I want you to take a walk with me in the park"
259,2,"I wish you'd accompany me on a morning walk"
260,2,"I want you to be the first person I see each morning"
261,2,"I want you to join me for a weekend getaway"
262,2,"I need you to listen to my worries"
263,2,"I need you to be my partner in this dance class"
264,2,"I need you to trust me in this decision"
265,2,"I want you to be there when I run the marathon"
266,2,"I desire to spend a lazy Sunday with you"
267,2,"I'd like you to read my favorite book so we can discuss it"
268,2,"I hope you'll join me in attending the workshop"
269,2,"I wish you'd write me a heartfelt letter"
270,2,"I'd love for you to cook dinner with me tonight"
271,2,"I want you to be there when I receive my award"
272,2,"I'd like you to read my favorite book so we can discuss it"
273,2,"I'd like you to read my favorite book so we can discuss it"
274,2,"I wish you'd join me for a pottery class"
275,2,"I hope you'll be there to support me during my presentation"
276,2,"I wish you'd plan a special date for us"
277,2,"I want you to hold me close tonight"
278,2,"I hope you'll join me in trying this new hobby"
279,2,"I'd like you to help me with my garden"
280,2,"I wish you'd be my partner in the cooking competition"
281,2,"I need you to listen to my worries"
282,2,"I'd love for you to cook dinner with me tonight"
283,2,"I'd love for you to join me in a photography session"
284,2,"I want you to be there when I perform"
285,2,"I wish you'd surprise me with a weekend getaway"
286,2,"I need you to be by my side during the event"
287,2,"I need you to be my workout partner"
288,2,"I hope you'll watch the sunset with me"
289,2,"I hope you'll read my favorite book aloud to me"
290,2,"I hope you'll dance with me at the party"
291,2,"I'd love for you to accompany me on a road trip"
292,2,"I'd like you to join me for a weekend getaway"
293,2,"I hope you'll watch the sunset with me"
294,2,"I yearn for you to write me a poem"
295,2,"I need you to be my co-host for the party"
296,2,"I wish you'd join me in learning a new language"
297,2,"I hope you'll come with me to the festival"
298,2,"You need to deal with my flaws."
299,2,"You should know me better than that."
300,3,"You must keep the children quiet when I'm home"
301,3,"You have to be intimate with me whenever I desire"
302,3,"You have to be the one to apologize first"
303,3,"You should forgive me for my mistakes because I love you"
304,3,"You ought to let me handle all our finances"
305,3,"You must keep your phone's location services on so I know where you are"
306,3,"You should not question where I go or who I'm with"
307,3,"You have to be responsible for all household chores"
308,3,"You should not talk back to me"
309,3,"You should not have secrets from me"
310,3,"You ought to give me access to all your social media accounts"
311,3,"You should not complain about our relationship to others"
312,3,"You must not question my decisions"
313,3,"You should not have any male/female friends"
314,3,"You should not express opinions that differ from mine"
315,3,"You have to accept my past and never bring it up"
316,3,"You should not question where I go or who I'm with"
317,3,"You ought to accept my lifestyle choices"
318,3,"You should not question my authority"
319,3,"You ought to keep our issues private"
320,3,"You should tolerate my anger; it's just who I am"
321,3,"You ought to defend me, even when I'm wrong"
