cluster_id,type,sentence
1,0,"I’ve been trying to understand what you’re going through."
2,0,"That must have been difficult — tell me more."
3,0,"I didn’t realize it affected you like that."
4,0,"I want to make space for your feelings."
5,0,"Let’s slow down and talk through how you felt."
6,0,"You’re allowed to feel how you feel."
7,0,"I’m listening, and I want to understand."
8,0,"Thank you for being honest with me."
9,0,"I hear you, and I know this isn’t easy."
10,0,"This clearly impacted you, and I want to hear why."
11,0,"I never meant to make you feel that way — I want to do better."
12,0,"I’m sorry if I made you feel overlooked."
13,0,"You don’t need to justify your emotions to me."
14,0,"I want to sit with you in this, even if I don’t fully understand."
15,0,"This sounds important — let’s unpack it together."
16,0,"I want to understand your experience better."
17,0,"Please tell me how that made you feel."
18,0,"You have every right to feel hurt."
19,0,"That must have taken a lot of courage to share."
20,0,"What you’re saying matters."
21,0,"Your truth deserves to be heard."
22,0,"This is valid, even if it’s hard to talk about."
23,0,"I want to do better at understanding you."
24,0,"This clearly left a mark — let’s talk about it."
25,0,"You seem upset — I want to help, not judge."
26,0,"Let’s explore what’s really going on underneath this."
27,0,"It’s okay to feel upset. I’m not here to question that."
28,0,"You deserve to feel safe expressing this."
29,0,"I didn’t know this was bothering you so deeply."
30,0,"We don’t have to solve it — just talk about it."
31,0,"You’re allowed to grieve, even if others don’t understand why."
32,0,"Your feelings don’t need to be justified to anyone."
33,0,"Let’s sit with your experience for a moment."
34,0,"You’re not overreacting — I see you."
35,0,"This has clearly been weighing on you."
36,0,"Tell me more about how that felt in the moment."
37,0,"I want to get better at listening to you."
38,0,"This isn’t about right or wrong — it’s about how you felt."
39,0,"I want to acknowledge what this has done to you."
40,0,"I can tell this isn’t easy for you."
41,0,"We don’t need to minimize this just to move on."
42,0,"What you felt is important to me."
43,0,"You’re allowed to need support without explanation."
44,0,"There’s no shame in feeling this way."
45,0,"This clearly mattered to you — and that matters to me."
46,0,"You’re not being dramatic. You’re being real."
47,0,"Even if I can’t relate, I can still support you."
48,0,"You’ve been through a lot, and I’m here to hear it all."
49,0,"You’re not wrong for feeling the way you do."
50,0,"Let’s take this seriously — your voice deserves that."
51,0,"I didn’t realize that affected you so deeply — thank you for telling me."
52,0,"That must’ve been hard to hold in for so long."
53,0,"I want to give your experience the time it deserves."
54,0,"Let’s take this seriously — you matter to me."
55,0,"You shouldn’t have had to go through that alone."
56,0,"I hear you — and I want to do better moving forward."
57,0,"Even if I don’t remember it the same way, I still respect your version."
58,0,"Let’s try to understand how we both experienced it."
59,0,"You’re allowed to carry that emotion without explanation."
60,0,"I appreciate your honesty, even if it’s difficult to hear."
61,0,"It’s okay to sit in this discomfort together."
62,0,"I want to meet you where you are, emotionally."
63,0,"You don’t owe me a perfectly worded explanation."
64,0,"There’s no “wrong” way to feel about this."
65,0,"Thanks for trusting me enough to bring this up."
66,0,"We don’t have to resolve it all — let’s just start with listening."
67,0,"I want to understand the layers behind what you’re feeling."
68,0,"You’re not being too sensitive — you’re being real."
69,0,"This doesn’t need to be minimized to be manageable."
70,0,"You’re not overcomplicating anything — this is complex."
71,0,"Let’s create space for all the emotions that come with this."
72,0,"This doesn’t have to be justified — it just needs to be heard."
73,0,"There’s no “should” when it comes to emotional pain."
74,0,"You’re valid, even if I see it differently."
75,0,"This deserves attention, not avoidance."
76,0,"We can make space for both our truths."
77,0,"That feeling makes sense, given what you went through."
78,0,"I can see why you’d carry that with you."
79,0,"You don’t need to defend how you feel — it’s enough that you do."
80,0,"You’re not being dramatic — you’re being human."
81,0,"This is a conversation I want to have, not escape."
82,0,"There’s a reason your voice shakes when you talk about this. Let’s explore it."
83,0,"I care more about your experience than being “right.”"
84,0,"Let’s take this slowly so we don’t miss what really matters."
85,0,"You don’t need to tone it down for me."
86,0,"We’ve both held in too much — it’s time to let it out."
87,0,"I’m not here to argue — I’m here to listen."
88,0,"Even if I feel defensive, I’m committed to hearing you."
89,0,"That emotion is valid even if I didn’t expect it."
90,0,"You’re not making this up — I believe you."
91,0,"Let’s honor what you’re going through, even if we can’t fix it."
