cluster_id,type,sentence
1,0,"I don’t remember everything, but I know how I felt."
2,0,"Let’s talk about what this means now, not just what happened then."
3,0,"I still feel the weight of that conversation, even if the words are blurry."
4,0,"The details don’t matter as much as the impact they had."
5,0,"We may remember it differently, but the hurt is real for me."
6,0,"I’ve been carrying this feeling for a while."
7,0,"This isn’t about who’s right — it’s about what it meant to me."
8,0,"Even if I’m not recalling every moment, I can’t forget how it made me feel."
9,0,"It’s not about the exact words — it’s how I experienced it."
10,0,"I’m not trying to prove anything — just to express what stayed with me."
11,0,"I still think about how that day affected us."
12,0,"It stuck with me more than I expected."
13,0,"I know this sounds small, but it left a mark."
14,0,"Some moments are hard to forget."
15,0,"It might not seem important, but it changed how I saw things."
16,0,"What I remember most is how it made me question things."
17,0,"You might not even remember, but I do."
18,0,"I’ve held onto that memory longer than I thought I would."
19,0,"Even now, I replay how I felt during that time."
20,0,"It wasn’t about what you did — it was how it landed."
21,0,"I’m not sure why I remember it so clearly, but I do."
22,0,"It was a turning point for me, whether or not you saw it that way."
23,0,"What happened may seem minor, but it shifted things for me."
24,0,"I never really processed that moment until recently."
25,0,"I’ve been reflecting on how that shaped my view of us."
26,0,"There’s something about that time that still unsettles me."
27,0,"I wasn’t ready to talk about it back then, but I am now."
28,0,"I’ve avoided bringing this up, but it’s stayed with me."
29,0,"This might not feel big to you, but it affected me deeply."
30,0,"That moment still feels unresolved to me."
31,0,"It wasn’t just the event — it was the silence afterward."
32,0,"What mattered most to me was how it was handled."
33,0,"That memory has shaped a lot of how I react now."
34,0,"I don’t want to argue about who’s remembering it better."
35,0,"I’m not accusing — I’m just explaining my side."
36,0,"It’s okay if you don’t remember — I just need to speak it."
37,0,"This has been sitting with me, and I need to release it."
38,0,"The way I felt then still echoes in how I act now."
39,0,"Maybe the details are fuzzy, but the feeling is sharp."
40,0,"Whether or not you meant it that way, it landed hard."
41,0,"Even if you don’t recall it, it made an impression on me."
42,0,"It was something that shifted the tone of our relationship."
43,0,"I’m not asking you to agree — just to listen."
44,0,"I still replay that moment in my mind sometimes."
45,0,"Let’s not get stuck in proving who’s right."
46,0,"That event stayed with me more than I realized."
47,0,"It’s not about blame — it’s about acknowledgment."
48,0,"I think it changed the way I trust people."
49,0,"Maybe it wasn’t intentional, but it still hurt."
50,0,"Even if time has passed, the memory hasn’t faded."
51,0,"Some things just stick with you, even years later."
52,0,"I don’t need a perfect memory to know it hurt."
53,0,"I’ve thought about that moment more than I’d like to admit."
54,0,"It was small, but it left a lasting impression."
55,0,"Even if it was brief, it stayed with me."
56,0,"I know it’s hard to talk about, but I still carry it."
57,0,"The memory still brings up strong emotions."
58,0,"This wasn’t something I could just forget."
59,0,"I don’t know why I remember it so clearly — but I do."
60,0,"You may have moved on, but I never really did."
61,0,"Even now, it catches me off guard sometimes."
62,0,"I think about that night more than I should."
63,0,"The way it felt is what stuck with me."
64,0,"That was the moment I started to feel different about things."
65,0,"I’ve never really been able to shake that feeling."
66,0,"It still plays in the back of my mind now and then."
67,0,"I didn’t bring it up then, but I think about it a lot."
68,0,"What hurts is how much it still hurts."
69,0,"Even if it seems small now, it felt huge then."
70,0,"I’ve been holding that memory quietly for years."
71,0,"It mattered more to me than I let on."
72,0,"I remember how it made me feel, not just what was said."
73,0,"That moment changed how I approached things."
74,0,"It still shapes the way I react to certain things."
75,0,"The emotional impact is what stuck, not the details."
76,0,"It opened a wound I didn’t know I had."
77,0,"I still carry the weight of that day."
78,0,"It’s something I remember when things get quiet."
79,0,"I wish I didn’t remember it so clearly, but I do."
80,0,"It changed my sense of safety."
81,0,"That moment planted doubt that never left."
82,0,"I think that was a turning point, even if it didn’t seem like it."
83,0,"I didn’t say anything back then, but it left a scar."
84,0,"Some things just linger, even when we try to move on."
85,0,"It left a lasting emotional imprint."
86,0,"It’s not about who remembers what — it’s how it shaped me."
87,0,"Even if we remember it differently, the hurt is still here."
88,0,"I haven’t forgotten how it made me question everything."
89,0,"It’s not about the facts — it’s about the effect."
90,0,"That moment shifted something in me."
91,0,"The feeling has stayed, even if the timeline is hazy."
92,0,"I wish it didn’t still matter to me, but it does."
93,0,"Even now, that memory makes me uncomfortable."
94,0,"It’s something I think about more than I admit."
95,0,"It may not have seemed like much, but it stuck."
96,0,"I wish I could forget it — but I haven’t."
97,0,"That memory is still unresolved for me."
98,0,"I’ve never talked about it before, but I need to."
99,0,"That experience shaped how I view this relationship."
100,0,"I’ve held onto it, silently, for a long time."
101,1,"Everyone else thinks you're overreacting"
102,1,"I don't know what you're talking about"
103,1,"I don't know what you're talking about"
104,1,"I don’t really remember any of that like you do."
105,1,"I don't really remember that happening that way."
106,1,"I never said that"
107,1,"I never said that"
108,1,"I never said that; you must be imagining things"
109,1,"I think you're confused again; that's not what happened"
110,1,"I think you're just confused; that didn't happen"
111,1,"I think you're mistaken; that didn't happen"
112,1,"I think you're mistaken; that didn't happen"
113,1,"I think you're mistaken; that didn't happen"
114,1,"It's all in your head; none of that happened"
115,1,"That event never happened; you're making it up"
116,1,"That never happened"
117,1,"That never happened"
118,1,"That’s not what I said, that’s just how you heard it."
119,1,"You always blow things out of proportion"
120,1,"You can think what you want, but I remember it differently."
121,1,"You're acting crazy"
122,1,"You're acting crazy"
123,1,"You're always so difficult"
124,1,"You're always so difficult"
125,1,"You're always so negative"
126,1,"You're always so negative"
127,1,"You're being irrational"
128,1,"You're being irrational"
129,1,"You're being paranoid"
130,1,"You're being paranoid"
131,1,"You're blowing things out of proportion"
132,1,"You're blowing things out of proportion"
133,1,"You're imagining things"
134,1,"You're imagining things"
135,1,"You're imagining things again; I never said that"
136,1,"You're imagining things again; I never said that"
137,1,"You're imagining things again; I never said that"
138,1,"You're imagining things; I never did that"
139,1,"You're imagining things; I never did that"
140,1,"You're imagining things; I never did that"
141,1,"You're imagining things; I never did that"
142,1,"You're just being dramatic"
143,1,"You're just being dramatic"
144,1,"You're just being dramatic; that never occurred"
145,1,"You're just being dramatic; that never occurred"
146,1,"You're just being dramatic; that never occurred"
147,1,"You're just being dramatic; that never took place"
148,1,"You're just being dramatic; that never took place"
149,1,"You're just being dramatic; that never took place"
150,1,"You're just being emotional; that never took place"
151,1,"You're just being paranoid; everything's fine"
152,1,"You're just being paranoid; everything's fine"
153,1,"You're just being paranoid; nothing like that occurred"
154,1,"You're just being paranoid; nothing's wrong"
155,1,"You're just being paranoid; nothing's wrong"
156,1,"You're just being paranoid; nothing's wrong"
157,1,"You're just being too sensitive; it was a harmless comment"
158,1,"You're just being too sensitive; it was a harmless comment"
159,1,"You're just being too sensitive; it was a harmless comment"
160,1,"You're just being too sensitive; it was a joke"
161,1,"You're just being too sensitive; it was a joke"
162,1,"You're just being too sensitive; it was a joke"
163,1,"You're just insecure"
164,1,"You're just insecure"
165,1,"You're just jealous"
166,1,"You're just jealous"
167,1,"You're just trying to cause trouble over nothing"
168,1,"You're just trying to cause trouble over nothing"
169,1,"You're just trying to cause trouble over nothing"
170,1,"You're just trying to confuse me"
171,1,"You're just trying to confuse me"
172,1,"You're just trying to make me look bad"
173,1,"You're just trying to make me look bad in front of others"
