cluster_id,type,sentence
1,1,"Heavy rain fell consistently for six hours overnight."
2,1,"A thick blanket of snow now covers the entire street."
3,1,"The sky was completely overcast by noon."
4,1,"Wind gusts exceeded 40 km/h in the afternoon."
5,1,"A dust storm was reported in the northern region."
6,1,"Light drizzle began just after sunrise."
7,1,"The barometric pressure dropped steadily all day."
8,1,"It remained cloudy but dry throughout the morning."
9,1,"The dew point is higher than average today."
10,1,"Visibility is down to 200 meters due to fog."
11,1,"Temperatures remained stable around 18°C."
12,1,"The afternoon sun briefly broke through the clouds."
13,1,"Snow flurries started during the early commute."
14,1,"The local river levels rose slightly after rainfall."
15,1,"Ice formed on the power lines overnight."
16,1,"The air felt dry due to low humidity."
17,1,"A cool breeze came in from the northwest."
18,1,"The hailstorm lasted only a few minutes."
19,1,"Sunrise was delayed by heavy cloud cover."
20,1,"Temperatures peaked at 29°C in the late afternoon."
21,1,"Satellite imagery showed a cyclone forming offshore."
22,1,"The ground remained damp even after the rain stopped."
23,1,"A layer of frost appeared on rooftops this morning."
24,1,"The heat index made it feel warmer than it was."
25,1,"Cloud types changed rapidly throughout the day."
26,1,"A thunderstorm developed near the valley edge."
27,1,"Rainwater pooled in low-lying parts of the field."
28,1,"A red sky appeared at sunset without rain."
29,1,"Fog lingered longer than usual into mid-morning."
30,1,"The weather station recorded no precipitation today."
31,1,"Lightning was visible but no thunder followed."
32,1,"The snow depth increased by 3 centimeters overnight."
33,1,"Clouds formed in distinct layers above the hills."
34,1,"A patch of blue sky opened up around midday."
35,1,"There was a sudden drop in temperature at dusk."
36,1,"The wind shifted direction multiple times today."
37,1,"No weather alerts have been issued for the area."
38,1,"An anticyclone is expected to bring clear skies."
39,1,"The afternoon remained overcast without rain."
40,1,"Snowmelt caused minor flooding in some areas."
41,1,"Sunset occurred at 6:48 p.m. sharp."
42,1,"The weather remained consistent with yesterday’s forecast."
43,1,"Lightning strikes were reported near the airport."
44,1,"There’s a noticeable temperature inversion this evening."
45,1,"No measurable snowfall was recorded despite flurries."
46,1,"The clouds appeared stratified along the horizon."
47,1,"Rainfall intensity varied during the storm period."
48,1,"It was the third consecutive day of strong winds."
49,1,"The sun rose behind a thin layer of clouds."
50,1,"The breeze turned calm as nightfall approached."
