cluster_id,type,sentence
1,0,"Let’s figure this out as equals."
2,0,"I’m not trying to control anything — I just want to talk."
3,0,"We both bring value to this, in different ways."
4,0,"I want this to be a shared decision."
5,0,"We should each have a say in how this goes."
6,0,"I'm not trying to take over — I just want to understand."
7,0,"Let’s collaborate and find a solution together."
8,0,"This works best when we’re both heard."
9,0,"I don’t want to dominate this — just contribute."
10,0,"We both have valid perspectives here."
11,0,"This isn’t about rank — it’s about what’s right."
12,0,"I want us to come to this as partners, not opponents."
13,0,"Let’s make sure both our needs are accounted for."
14,0,"It doesn’t matter who knows more — let’s listen to each other."
15,0,"I respect your input and want to find middle ground."
16,0,"This isn’t about who’s in charge — it’s about working together."
17,0,"I want you to feel just as involved as I do."
18,0,"You know things I don’t, and vice versa — let’s use that."
19,0,"We each bring something different to the table."
20,0,"Let’s keep this open and fair for both of us."
21,0,"This isn’t about authority — it’s about respect."
22,0,"We both have the right to speak up."
23,0,"Let’s make space for both our ideas."
24,0,"No one has the final say here — let’s discuss it together."
25,0,"Let’s avoid turning this into a power struggle."
26,0,"I want this to feel balanced for both of us."
27,0,"This should be based on agreement, not control."
28,0,"I want this to be collaborative, not hierarchical."
29,0,"Neither of us should be calling all the shots."
30,0,"Let’s keep each other accountable in a fair way."
31,0,"This isn’t a contest — it’s a relationship."
32,0,"You don’t have to prove anything — we’re equals here."
33,0,"Let’s avoid making this about who’s “right.”"
34,0,"I don’t want this to feel like one of us is above the other."
35,0,"Your voice matters just as much as mine."
36,0,"Let’s treat each other like we’re on the same team."
37,0,"I value your perspective even if I disagree."
38,0,"This should be a partnership, not a directive."
39,0,"Let’s decide this together — no pressure."
40,0,"We both have the right to walk away from this if needed."
41,0,"Neither of us should feel like we’re under the other."
42,0,"Let’s be careful not to dismiss each other."
43,0,"This isn’t a command — it’s a conversation."
44,0,"I’m not the boss of you — let’s figure this out respectfully."
45,0,"We each get a vote here."
46,0,"I’d rather compromise than dictate anything."
47,0,"You’re free to disagree — I won’t hold it against you."
48,0,"Let’s avoid falling into power dynamics."
49,0,"This isn’t about who’s smarter or more experienced."
50,0,"We’re both trying to do our best — let’s meet in the middle."
