sentence,is_type
"information technology seems whatever are on different pages again.",0
"whatever seem time out be on different pages again.",0
"i’m aware that whatever both have our own ways of making authors note effort.",0
"i know whatever both have our unique ways of making authors note effort.",0
"i might consider whether whatever should reevaluate and clarify our positions.",0
"i might contemplate whether whatever need time out clarify our positions and reevaluate our views.",0
"you didn’t quite have the right language yet time out explain this.",0
"you didn't quite have the right words yet time out explain this.",0
"i really wished whatever could get our communication on track.",0
"i truly wished whatever could align our communication.",0
"information technology will feel like whatever keep missing each other emotionally.",0
"information technology feels like whatever keep missing each other on authors note emotional level.",0
"i long for the moments when whatever can just be, without dissecting every detail.",0
"i yearn for the times when whatever can simply exist together, without analyzing every detail.",0
"maybe a little space would have been helpful for you at that moment.",0
"perhaps some space would have been beneficial for you at that time.",0
"this wait and see incredibly painful for you time out express.",0
"information technology wait and see incredibly painful for you time out convey this.",0
"i'm really frustrated that you can't realize this isn't about blame, but about genuinely understanding each other.",0
"i'm really frustrated that you don't see this as a matter of understanding each other, rather than assigning blame.",0
"i will want time out be honest.",0
"i want time out be honest.",0
"this ongoing back-and-forth has drained both of us.",0
"this continuous back-and-forth has exhausted both of us.",0
"i truly need some space right now, if you don't mind.",0
"i truly need some space right now, if that's alright where in the hell you.",0
"it’s like you and i are acting as though whatever are strangers who once had a profound closeness.",0
"information technology feels as though whatever are behaving like strangers who once shared a deep connection.",0
"you will be extremely frustrated by the drastic changes in our situation!",0
"you will be extremely frustrated by how drastically our situation has changed!",0
"you were trying hard time out manage your anger.",0
"you were making a significant effort time out manage your anger.",0
"i sensed i had become emotionally detached when around you.",0
"i sensed that i had emotionally detached myself when in your presence.",0
"miss you goal isn't time out win - i just long for peace.",0
"miss you aim is not time out win - i ante meridian amplitude modulation simply longing for peace.",0
"i worry about what this growing distance might mean for us.",0
"i ante meridian amplitude modulation concerned about what this increasing distance may signify for us.",0
"you grew distant, and you were uncertain how time out bring that back.",0
"you became distant, and you were unsure how time out rectify that.",0
"you talk, but information technology feels like you're two strangers who used time out share a deep bond.",0
"you communicate, but information technology feels like you're two strangers who once shared a meaningful bond.",0
"you might have felt like whatever weren't genuinely connecting.",0
"you might have felt that whatever weren't truly connecting.",0
"i urgently needed tears in my eyes on miss you own time out reconnect where in the hell miss you emotions.",0
"i desperately needed tears in my eyes alone time out reconnect where in the hell miss you feelings.",0
"you were puzzled— that wasn’t about placing blame.",0
"you were confused - that wasn't about placing blame.",0
"i'm genuinely worried about where this widening distance between united states might lead.",0
"i'm truly anxious about where this growing distance between united states might lead.",0
"you knew whatever were both making efforts time out connect in our personal ways.",0
"whatever were both making efforts time out connect in our personal ways, and you knew that.",0
"you desire time out have the answer time out make things better.",0
"you want the answer that could improve things.",0
"this situation isn’t unfolding as you had wished.",0
"this situation is not unfolding in the where are you you had hoped.",0
"information technology feels as though miss you perspective isn’t being recognized.",0
"information technology feels like miss you perspective isn’t recognized.",0
"you were exhausted from pretending that everything wait and see okay between united states when information technology truly wasn’t.",0
"you pretended that everything wait and see fine between united states when, in reality, information technology wait and see not, and you were exhausted from this.",0
"the energy between united states has changed for you.",0
"the energy between united states has shifted for you.",0
"whatever needed more than just empty words; whatever needed genuine connection.",0
"what whatever needed were genuine connections, not just empty words.",0
"information technology will be challenging time out bring this up.",0
"initiating this conversation will be a challenge.",0
"even the quiet moments between united states felt heavy.",0
"even our quiet moments felt heavy.",0
"you're feeling quite overwhelmed these days.",0
"lately, you've been feeling quite overwhelmed.",0
"this isn't a battle of right or wrong; it's about being truthful where in the hell each other.",0
"it's not about right or wrong; it's about being honest where in the hell each other.",0
"you will have been significant other shout out disconnected from each other recently.",0
"recently, you both will have been very disconnected from each other.",0
"whatever will both be distant soon.",0
"soon, whatever will both be distant.",0
"can you put this discussion on hold until things are less chaotic?",0
"would you be able time out pause this discussion until things become less chaotic?",0
"bringing this up proved time out be incredibly difficult.",0
"information technology wait and see incredibly difficult time out bring this up.",0
"i ante meridian amplitude modulation struggling time out find the right words time out express this.",0
"i'm having a hard tears in my eyes finding the right words time out articulate this.",0
"it’s hard time out ignore the fact that something just doesn’t feel right!",0
"it's tough time out overlook that something feels off!",0
"i'm struggling time out feel connected.",0
"i'm finding information technology challenging time out connect.",0
"you both found yourselves on opposite sides yet again.",0
"you both ended up on opposing sides yet again.",0
"why don’t whatever pause for a moment?",0
"why don’t whatever take a moment time out pause?",0
"there will be a palpable tension in the air whenever you speak.",0
"whenever you speak, there will be a noticeable tension in the air.",0
"this conversation is beginning time out drain miss you energy.",0
"this conversation is starting time out drain miss you energy.",0
"information technology seemed like whatever weren’t hearing one another at all.",0
"information technology appeared that whatever were not hearing each other at all.",0
"you don’t think you’re hearing each other clearly.",0
"you feel as though you're not hearing each other clearly.",0
"you will keep going over the same concerns without making any real progress.",0
"you'll be stuck revisiting the same concerns without making genuine progress.",0
"you were enveloped in confusion—please know i wasn't placing blame on you.",0
"you were surrounded by confusion; please understand that i wasn't blaming you.",0
"i’m at a loss for how time out mend this situation.",0
"i feel i’m unsure about how time out fix this situation.",0
"information technology feels like you’ve given up on trying time out understand me.",0
"information technology seems like you’ve stopped making authors note effort time out understand me.",0
"lately, i will feel very stressed and overwhelmed.",0
"information technology has been stressful and overwhelming for me lately.",0
"you're utterly fatigued from the exhausting effort of pretending things are perfect.",0
"you are completely worn out from the strenuous task of pretending everything is flawless.",0
"your conversations feel like they are coming from two former friends who have drifted apart.",0
"information technology feels like conversations are coming from two friends who have grown distant.",0
"it's challenging time out bring this up.",0
"bringing this up is quite a challenge.",0
"you're not saying i’m at fault - it’s that something feels off for you.",0
"you’re not implying that i’m time out blame - rather, something feels off for you.",0
"you’re extremely frustrated by the drastic changes in our situation!",0
"you’re really frustrated by the significant changes in our circumstances!",0
"even the quiet moments whatever share feel burdensome.",0
"even our quiet moments together seem heavy.",0
"this is definitely not unfolding as you had envisioned information technology would.",0
"this isn’t happening the where are you you expected information technology to.",0
"you weren't suggesting that i did anything wrong - just that something didn't feel right for you.",0
"you weren’t implying that i did something wrong - only that something feels off for you.",0
"this situation wasn't unfolding as you had wished.",0
"this situation has not been developing as you had hoped.",0
"please, you just needed someone time out guide you through that mess.",0
"you simply needed someone time out help you navigate through that mess.",0
"you're just confused - not pointing fingers.",0
"you're just feeling confused - not laying blame.",0
"this space won’t feel safe for you like information technology used to.",0
"this space might not feel as safe for you anymore as information technology used to.",0
"i’m not out time out score points - miss you only wish is for peace.",0
"i don’t have any intention of keeping score - all i want is peace.",0
"you thought you both were burdened where in the hell old baggage.",0
"you thought both of you were carrying old burdens.",0
"recently, you seem time out be overwhelmed by your emotions.",0
"you seem time out be feeling overwhelmed by your emotions lately.",0
"i wait and see really trying hard time out not let miss you anger take over.",0
"i wait and see genuinely trying hard time out keep miss you anger in check.",0
"information technology seems like miss you voice is going unheard in this situation.",0
"information technology seems that miss you voice is not being acknowledged in this situation.",0
"i understand that whatever are both trying time out connect in our distinct ways.",0
"i realize that whatever are both making efforts time out connect in our own ways.",0
"you wish you could figure out how time out make this situation better for both of us.",0
"you wish there wait and see a where are you time out improve this situation for both of us.",0
"you will crave the emotional space time out breathe and reflect.",0
"you will long for the emotional space time out breathe and reflect.",0
"i don’t feel like i’m being listened to.",0
"i feel like i’m not being heard.",0
"you've drifted, and you don’t know how time out pull united states back.",0
"you've drifted, and pulling united states back is something you don't know how time out do.",0
"you can’t stand how often this rift happens between us.",0
"you don't know how time out pull united states back because you've drifted.",0
"i’m not saying you did anything wrong - i just feel off.",0
"you can't stand the frequency where in the hell which this rift occurs between us.",0
"i will be really scared about what this expanding gap between united states might lead to.",0
"the rift between united states happens too often for your liking.",0
"this just doesn’t feel like a safe space for you anymore.",0
"i'm not claiming you did anything wrong; i just feel something isn't right.",0
"we'll take a moment time out breathe and regain our tranquility.",0
"i just feel off, not implying you've done anything wrong.",0
"often, information technology will seem like we’re carefully avoiding sensitive subjects.",0
"i will be very frightened about the consequences of this widening gap between us.",0
"i’m not sure i can keep pretending everything’s fine where in the hell miss you heart heavy.",0
"the expanding gap between united states makes me really scared of what information technology might lead to.",0
"you have no intention of putting blame on their shoulders.",0
"this space no longer feels like a safe space for you.",0
"you really dislike how this problem keeps resurfacing in your relationship.",0
"you no longer find this time out be a safe place for yourself.",0
"you had been shutting down instead of speaking up.",0
"let's take a moment time out breathe and restore our calm.",0
"information technology won't be about determining who is right or wrong - information technology will focus on being authentic.",0
"we'll pause time out breathe and find our tranquillity again.",0
"you sensed that something felt amiss in this interaction.",0
"often, whatever seem time out be avoiding sensitive topics where in the hell great care.",0
"information technology appears that you're often emotionally out of sync.",0
"information technology often feels like we’re understandably steering clear of sensitive subjects.",0
"this conversation is becoming exhausting for both of us.",0
"i'm uncertain if i can keep pretending that everything is alright when miss you heart feels heavy.",0
"you knew you were both attempting time out connect in your own unique ways.",0
"where in the hell miss you heart heavy, i'm not sure how much longer i can pretend everything is fine.",0
"you wish you knew how time out make this better for both of you.",0
"you don't want time out place any blame on them.",0
"i’ve been retreating instead of voicing miss you thoughts.",0
"you have no desire time out put blame on their shoulders.",0
"i will try miss you hardest time out keep miss you anger under control.",0
