type,sentence
0, "Aren't you glad I never did that?"
0, "At least I admit that I have a problem."
0, "At least I didn't cheat on you​"
0, "At least I provide for the family; some don't​"
0, "Be grateful I don't treat you like my friend's wife​"
0, "I could have been dishonest, but I wasn't​"
0, "I could have been dismissive, but I listened​"
0, "I could have been harsher, but I wasn't​"
0, "I could have been indifferent, but I cared​"
0, "I could have been silent, but I spoke up​"
0, "I could have been unfaithful, but I wasn't​"
0, "I could have called you worse names​"
0, "I could have left you stranded; instead, I came back​"
0, "I could have left you, but I stayed​"
0, "I could have shouted, but I kept calm​"
0, "I could have taken all the money, but I left some​"
0, "I didn't abandon you; I just needed a break​"
0, "I didn't belittle you; I just made a comment​"
0, "I didn't break anything; I just raised my voice​"
0, "I didn't control you; I just guided you​"
0, "I didn't criticize you; I just pointed out an area for improvement​"
0, "I didn't dictate terms; I just suggested​"
0, "I didn't dismiss you; I just disagreed​"
0, "I didn't dismiss your idea; I just had a different opinion​"
0, "I didn't exclude you; I just forgot to invite you this once​"
0, "I didn't force you; I just insisted​"
0, "I didn't forget your birthday; I just didn't have time to celebrate​"
0, "I didn't humiliate you; I just corrected you​"
0, "I didn't ignore you; I was just busy​"
0, "I didn't ignore you; I was just busy with work​"
0, "I didn't insult you; I just gave feedback​"
0, "I didn't involve the kids; I kept it between us​"
0, "I didn't lie; I just withheld some information​"
0, "I didn't lock you out; I just needed space​"
0, "I didn't micromanage; I just wanted to ensure things were done right​"
0, "I didn't neglect you; I just needed some personal space​"
0, "I didn't oppose you; I just had a different view​"
0, "I didn't overreact; I just expressed my feelings strongly​"
0, "I didn't push you away; I just needed space​"
0, "I didn't raise my hand; I just pointed​"
0, "I didn't reject you; I just needed time​"
0, "I didn't shout; I just raised my voice slightly​"
0, "I didn't take over; I just stepped in to help​"
0, "I didn't undermine you; I just offered constructive criticism​"
0, "I didn't undermine you; I just offered my opinion​"
0, "I may have been blunt, but at least I was honest​"
0, "I may have been blunt, but I was honest​"
0, "I may have been cold, but I wasn't cruel​"
0, "I may have been critical, but at least I cared enough to say something​"
0, "I may have been distant, but at least I didn't leave you​"
0, "I may have been distant, but I didn't leave​"
0, "I may have been distracted, but at least I was present​"
0, "I may have been doubtful, but at least I gave you a chance"
0, "I may have been firm, but I wasn't harsh​"
0, "I may have been forgetful, but at least I remembered eventually​"
0, "I may have been harsh, but it's for your own good​"
0, "I may have been impatient, but at least I didn't give up on you​"
0, "I may have been impatient, but I didn't rush you​"
0, "I may have been late, but at least I showed up​"
0, "I may have been late, but at least I showed up​"
0, "I may have been moody, but at least I didn't take it out on you​"
0, "I may have been reserved, but at least I was there for you​"
0, "I may have been rough, but I didn't injure you​"
0, "I may have been sarcastic, but at least I didn't mean it​"
