type,sentence
0, "Do you really think I'd make that up?"
0, "Everyone agrees that you're wrong"
0, "I never said that You must be imagining things"
0, "I was just joking, no need to get all melodramatic."
0, "It can't be that bad."
0, "It's not a big deal; why are you so upset?"
0, "It's not worth getting that upset over."
0, "It's nothing to get upset over."
0, "Oh come on, it's not that big a deal, why are you being a big baby about this?"
0, "Suck it up, it's not as bad as you're making it out to be."
0, "There is no reason to get upset."
0, "Why do you always think it's a big deal?"
0, "You always make things up"
0, "You should be over that by now."
0, "You shouldn't let it bother you."
0, "You're blowing this out of proportion"
0, "You're imagining things"
0, "You're just being childish"
0, "You're just being childish"
0, "You're just being clingy"
0, "You're just being clingy"
0, "You're just being dramatic"
0, "You're just being emotional"
0, "You're just being emotional"
0, "You're just being high-maintenance"
0, "You're just being high-maintenance"
0, "You're just being hypersensitive"
0, "You're just being hypersensitive"
0, "You're just being insecure"
0, "You're just being insecure"
0, "You're just being irrational"
0, "You're just being irrational"
0, "You're just being jealous"
0, "You're just being jealous"
0, "You're just being melodramatic"
0, "You're just being melodramatic"
0, "You're just being needy"
0, "You're just being needy"
0, "You're just being overdramatic"
0, "You're just being overemotional"
0, "You're just being overreactive"
0, "You're just being paranoid"
0, "You're just being paranoid"
0, "You're just being petty"
0, "You're just being petty"
0, "You're just being selfish"
0, "You're just being selfish"
0, "You're just being thin-skinned"
0, "You're just being too dramatic"
0, "You're just being too emotional"
0, "You're just being too emotional"
0, "You're just being too literal"
0, "You're just being too overreactive"
0, "You're just being too reactive"
0, "You're just being too sensitive about this"
0, "You're just being too serious"
0, "You're just being too thin-skinned"
0, "You're just being too touchy"
0, "You're just being too uptight"
0, "You're just being touchy"
0, "You're just being unreasonable"
0, "You're just being unreasonable"
0, "You're just being uptight"
0, "You're just being uptight"
0, "You're making a big deal out of nothing"
0, "You're making a big deal out of nothing"
0, "You're making a big deal out of nothing"
0, "You're making a big deal out of nothing"
0, "You're making a big fuss over nothing"
0, "You're making a big fuss over nothing"
0, "You're making a big fuss over nothing"
0, "You're making a big fuss over nothing"
0, "You're making a big issue out of nothing"
0, "You're making a big stink over nothing"
0, "You're making a big stink over nothing"
0, "You're making a big thing out of nothing"
0, "You're making a big to-do over nothing"
0, "You're making a federal case out of nothing"
0, "You're making a fuss over nothing"
0, "You're making a fuss over nothing"
0, "You're making a mountain out of a molehill"
0, "You're making a scene"
0, "You're making a scene"
0, "You're making it all about you"
0, "You're making it all about you"
0, "You're making something out of nothing"
0, "You're making something out of nothing"
0, "You're making that up"
0, "You're overanalyzing this"
0, "You're overanalyzing this"
0, "You're overreacting"
0, "You're overthinking this"
0, "You're overthinking this"
0, "You're reading too much into this"
0, "You're reading too much into this"
0, "You're seeing things that aren't there"
0, "You're seeing things that aren't there"
0, "You're taking this out of context"
0, "You're taking this the wrong way"
0, "You're taking this the wrong way"
0, "You're taking this too far"
0, "You're taking this too far"
0, "You're taking this too far"
0, "You're taking this too literally"
0, "You're taking this too much to heart"
0, "You're taking this too much to heart"
0, "You're taking this too much to heart"
0, "You're taking this too personally"
0, "You're taking this too personally"
0, "You're taking this too personally"
0, "You're taking this too seriously"
0, "You're taking this too seriously"
0, "You're taking this too seriously"
0, "You're taking this too seriously"
0, "You're too sensitive"
1, "Are you going to pout all day?"
1, "Aww, did I hurt your feelings?"
1, "Can't you take a joke?"
1, "Come on, I was just joking."
1, "Cry me a river"
1, "Do you need a pacifier?"
1, "Do you need a safe space?"
1, "enwikipediaorg"
1, "Grab a sense of humor."
1, "Here come the waterworks"
1, "Here comes the overreaction"
1, "Here we go again with the theatrics"
1, "I criticize you because I like you."
1, "I was just joking, no need to get all melodramatic."
1, "I was just teasing."
1, "I was only kidding."
1, "I wasn't making fun of you, I was just poking fun."
1, "Is it that time of the month?"
1, "Is this really something to get worked up over?"
1, "Is this really such a big deal?"
1, "Is this really worth all the drama?"
1, "Is this really worth all the fuss?"
1, "Is this really worth getting upset over?"
1, "Is this your way of getting attention?"
1, "Is this your way of getting back at me?"
1, "Is this your way of making a statement?"
1, "Is this your way of playing the martyr?"
1, "Is this your way of seeking attention?"
1, "Is this your way of throwing a tantrum?"
1, "Isn't that precious? You're upset"
1, "It's just a joke."
1, "Learn to take a joke!"
1, "Look who's being sensitive now"
1, "Oh no, the drama queen is back"
1, "Oh, did I offend you?"
1, "Oh, poor you"
1, "Oh, the drama!"
1, "Oh, the humanity!"
1, "Oh, the poor victim"
1, "Oh, the princess is upset"
1, "Oh, the tragedy!"
1, "Oh, you're crying? How original"
1, "Oh, you're hurt? Big surprise"
1, "Oh, you're hurt? How charming"
1, "Oh, you're hurt? How charming"
1, "Oh, you're hurt? How delightful"
1, "Oh, you're hurt? How quaint"
1, "Oh, you're hurt? How sweet"
1, "Oh, you're hurt? How touching"
1, "Oh, you're hurt? Imagine that"
1, "Oh, you're offended? How charming"
1, "Oh, you're offended? How delightful"
1, "Oh, you're offended? How precious"
1, "Oh, you're offended? How quaint"
1, "Oh, you're offended? How touching"
1, "Oh, you're offended? Imagine that"
1, "Oh, you're offended? Shocking"
1, "Oh, you're upset again? What a surprise"
1, "Oh, you're upset? How cute"
1, "Oh, you're upset? How precious"
1, "Oh, you're upset? How predictable"
1, "Oh, you're upset? Join the club"
1, "OMG YOU need to learn to take a joke."
1, "Someone call the whambulance"
1, "Why are you upset? I was only kidding."
1, "Why can't you take a joke?"
1, "Wow, you're offended? That's hilarious"
1, "You can't take a joke."
1, "You're acting like a baby"
1, "You're acting like a child"
1, "You're acting like a diva"
1, "You're acting like a martyr"
1, "You're acting like a prima donna"
1, "You're acting like a princess"
1, "You're acting like a soap opera star"
1, "You're acting like a spoiled brat"
1, "You're acting like it's the end of the world"
1, "You're blowing things out of proportion"
1, "You're just being dramatic"
1, "You're just being hypersensitive"
1, "You're just being hysterical"
1, "You're just being irrational"
1, "You're just being overdramatic"
1, "You're just being petty"
1, "You're just being ridiculous"
1, "You're just being too emotional"
1, "You're just fishing for sympathy"
1, "You're mad about that? Adorable"
1, "You're mad about that? How amusing"
1, "You're mad about that? How delightful"
1, "You're mad about that? How quaint"
1, "You're mad about that? How sweet"
1, "You're mad about that? How touching"
1, "You're making a big deal out of nothing"
1, "You're making a mountain out of a molehill"
1, "You're making a scene over nothing"
1, "You're no fun to tease when you get so hurt all the time."
