type,sentence
0, "Are you sure you didn't dream that?"
0, "But I do listen to you"
0, "But if you really think about it."
0, "But of course I respect you"
0, "Cheer up "
0, "Don't cry over that nonsense "
0, "I honestly don't judge you as much as you think"
0, "I'm sure she didn't mean that"
0, "I'm sure she means well"
0, "It can't be that bad"
0, "It doesn't bother anyone else, why should it bother you?"
0, "It doesn't bother anyone else; why should it bother you?"
0, "It's all in your head"
0, "It's all in your head."
0, "It's just a story you're telling yourself."
0, "It's not going to happen."
0, "It's not real"
0, "It's not that bad "
0, "It's not worth getting that upset over"
0, "It's nothing to get upset over"
0, "It's nothing to get upset over"
0, "Just drop it"
0, "Just get over it"
0, "Maybe he was just having a bad day"
0, "Mental illness doesn't exist"
0, "No, but I do think you have a distorted sense of reality."
0, "People have it way harder than you"
0, "Relax "
0, "Sweetheart, you are such a compulsive liar."
0, "That is ridiculous"
0, "That is ridiculous, nonsense, totally absurd, etc."
0, "That never happened "
0, "That sounds kind of crazy, don't you think?"
0, "That's not a real illness"
0, "That's not the way things are"
0, "There's nothing wrong with you"
0, "This is nonsense"
0, "Well, that's just your perception of what happened."
0, "What you are saying is not important."
0, "You are the only one who feels that way"
0, "You are the only one who feels that way."
0, "You don't really mean that"
0, "You have to be strong "
0, "You know that isn't true"
0, "You live in another reality, and in actual reality, things are not done the way you think."
0, "You must be kidding"
0, "You need to get out of your fantasy world."
0, "You should just forget about it"
0, "You shouldn't let it bother you"
0, "You're blowing things out of proportion"
0, "You're imagining things "
0, "You're just attention-seeking"
0, "You're just being a drama queen"
0, "You're just being a drama queen "
0, "You're just being antisocial"
0, "You're just being antisocial "
0, "You're just being avoidant "
0, "You're just being bipolar"
0, "You're just being bipolar "
0, "You're just being borderline"
0, "You're just being borderline "
0, "You're just being compulsive"
0, "You're just being compulsive "
0, "You're just being controlling "
0, "You're just being crazy"
0, "You're just being crazy "
0, "You're just being delusional"
0, "You're just being delusional "
0, "You're just being dependent"
0, "You're just being dependent "
0, "You're just being dramatic"
0, "You're just being dramatic "
0, "You're just being emotional"
0, "You're just being histrionic"
0, "You're just being histrionic "
0, "You're just being hysterical"
0, "You're just being insecure "
0, "You're just being irrational"
0, "You're just being irrational "
0, "You're just being lazy"
0, "You're just being lazy "
0, "You're just being manipulative "
0, "You're just being narcissistic"
0, "You're just being narcissistic "
0, "You're just being neurotic"
0, "You're just being neurotic "
0, "You're just being obsessive"
0, "You're just being obsessive "
0, "You're just being overly dramatic "
0, "You're just being overly sensitive "
0, "You're just being paranoid"
0, "You're just being paranoid "
0, "You're just being passive-aggressive "
0, "You're just being psychotic"
0, "You're just being psychotic "
0, "You're just being schizophrenic"
0, "You're just being schizophrenic "
0, "You're just being self-centered "
0, "You're just being selfish "
0, "You're just being too dramatic"
0, "You're just being too emotional "
0, "You're just being too sensitive "
0, "You're just overreacting "
0, "You're just playing the victim"
0, "You're just seeking attention "
0, "You're just tired"
0, "You're just tired"
0, "You're making that up"
0, "You're not in a movie."
0, "You're too sensitive"
0, "You've got it all wrong."
0, "Your life can't be that bad"
0, "Your problems with me are not even valid!"
1, "But it doesn't make any sense to feel that way."
1, "Can you hear yourself?"
1, "Don't be like that."
1, "Don't be so dramatic."
1, "Don't be so sensitive."
1, "Don't take it personally."
1, "Don't you think you're overreacting?"
1, "He is blowing this out of proportion."
1, "I can't be around you when you're acting irrational like this."
1, "I don't like this attitude you're always taking with me."
1, "I just can't help but think you think about things that don't really matter."
1, "I think you're misunderstanding the situation"
1, "I understand that you're very intelligent and you need to analyze things, but this is not the time. You are overanalyzing."
1, "I'm just trying to get you to look at the big picture."
1, "I'm not arguing with you!"
1, "I'm not arguing; I'm discussing."
1, "I'm sorry that you always take things the wrong way."
1, "I'm sorry you feel that way."
1, "I'm sorry you feel the need to be hurt."
1, "It's your problem that you are offended."
1, "Quit being sensitive."
1, "She freaked out for no reason."
1, "She is impossible to talk to."
1, "Stop being dramatic."
1, "Stop being so emotional."
1, "Stop being so negative!"
1, "Stop being so sensitive."
1, "Stop feeling sorry for yourself."
1, "Stop taking everything I say so seriously."
1, "Stop taking everything so personally."
1, "Stop with the pity party."
1, "That's a terrible way to feel."
1, "This is getting really old."
1, "This is getting really pathetic."
1, "Umm, I'm just talking in an even tone. You just don't like what I'm saying."
1, "Why are you being like that?"
1, "Why are you being so paranoid?"
1, "Why are you so sensitive?"
1, "Why are you yelling?"
1, "Why do you always have to argue with me?"
1, "Why do you have to be so difficult?"
1, "Why would you think that? What does that say about you?"
1, "You always have to try to be different."
1, "You always jump to the wrong conclusion."
1, "You always read into things."
1, "You always tell me I'm wrong."
1, "You are always on the defensive."
1, "You are just being difficult."
1, "You are just being dramatic."
1, "You are just being in a bad mood."
1, "You are just being tired."
1, "You are just confused."
1, "You are just saying that to get attention."
1, "You are not being rational."
1, "You are so defensive."
1, "You are so sensitive."
1, "You are too uptight."
1, "You can't be serious."
1, "You don't always have to be so dramatic and sensitive."
1, "You don't really mean that. You are just cranky."
1, "You don't really mean that. You are just in a bad mood."
1, "You don't really mean that. You are just tired."
1, "You don't understand things."
1, "You grumpy, are you?"
1, "You just took it wrong."
1, "You keep believing what social media tells you."
1, "You misinterpreted what I said."
1, "You missed the point."
1, "You misunderstood me."
1, "You must be kidding."
1, "You need to learn to communicate better."
1, "You need to quit holding grudges."
1, "You read too much into everything."
1, "You shouldn't say that about your father."
1, "You shouldn't wear your heart out on your sleeve."
1, "You take everything seriously."
1, "You take everything so seriously!"
1, "You're avoiding the truth"
1, "You're being close-minded"
1, "You're being delusional"
1, "You're being dramatic"
1, "You're being dramatic "
1, "You're being hypersensitive"
1, "You're being irrational"
1, "You're being irrational "
1, "You're being one-sided"
1, "You're being overly dramatic"
1, "You're being overly dramatic "
1, "You're being overly emotional"
1, "You're being overly emotional"
1, "You're being paranoid"
1, "You're being paranoid "
1, "You're being too critical"
1, "You're being too emotional about this"
1, "You're being too negative"
1, "You're being too subjective"
1, "You're being unrealistic"
1, "You're being unreasonable"
